DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
07/06/2004|Jerson Kelman|1|Paulo Markun|Boa noite. A água permitiu a existência da vida no planeta Terra e, agora, no século XXI, a água promete ser o bem mais disputado e caro da humanidade. Por ela, muitos povos entraram em guerra e, segundo dados do Conselho Mundial da Água, no ano que vem metade da população do planeta vai ter problemas de acesso à água potável. Hoje a falta de saneamento e água potável mata 1 milhão e 600 mil pessoas por ano, segundo a Organização Mundial da Saúde. De toda a água do planeta, só 2,5% é doce, e desse total, só 1% está disponível para o uso humano. O Brasil tem uma natureza privilegiada. O país reúne 12% das reservas mundiais de água doce, mas também é aqui onde estão 70% dos rios contaminados. Para falar do bem mais precioso da humanidade, o Roda Viva de hoje entrevista o presidente da Agência Nacional de Águas, Jerson Kelman. Antes, vamos ver, rapidamente, um pequeno histórico da água.
07/06/2004|Jerson Kelman|2|[Comentarista]|O Brasil é um país rico em água, mas só recentemente vem regulamentando seu uso para que não falte para gerações futuras. A lei das águas foi criada no país em 1997, inspirada no modelo francês, e se propõe a gerir o uso da água doce em todo o território nacional. A Agência Nacional de Águas, a ANA, é uma autarquia com autonomia administrativa e financeira vinculada ao Ministério do Meio Ambiente. O projeto de criação da ANA foi aprovado pelo Congresso em junho do ano 2000. A Agência é responsável pela implantação da Política Nacional de Recursos Hídricos. Desde sua criação, o diretor-presidente é o cientista Jerson Kelman, engenheiro civil e mestre em Ciência Hidráulica pela Universidade Federal do Rio de Janeiro e Phd em Hidrologia e Recursos Hídricos pela Universidade do Estado do Colorado, nos EUA. Desde 1973 ele é professor de recursos hídricos na pós-graduação da Universidade Federal do Rio de Janeiro. Nesta sua primeira fase, a ANA deve implantar a lei das águas, promovendo a criação dos comitês de bacias, para disciplinar o uso dos rios. O objetivo é o Brasil ter dezenas de comitês de bacias com suas respectivas agências de bacias. Para a ANA, os dois problemas prioritários hoje, são as secas prolongadas, principalmente no Nordeste e a poluição dos rios. Cabe ainda à Agência Nacional de Águas garantir água ao agricultor desde que ele tenha licença para usar a água dos rios. Também está previsto em lei a cobrança pelo uso das águas dos rios brasileiros. A implantação dessas novas normas para o uso dos recursos hídricos no Brasil é o desafio maior da Agência Nacional de Águas.
07/06/2004|Jerson Kelman|3|Paulo Markun|Para entrevistar o presidente da Agência Nacional de Águas, Jerson Kelman, nós convidamos: Liana John, editora executiva da revista Terra da Gente; Washington Novaes, documentarista, consultor de meio ambiente da TV Cultura e supervisor geral do programa Repórter Eco; Viviane Kulzynski, editora de geral do jornal O Estado de S. Paulo; Alexandre Mansur, sub-editor de ciência e tecnologia da revista Época; Samuel Barreto, coordenador do programa "Água para Vida", da ONG WWF Brasil, e Ricardo Araújo, assessor da diretoria daqui da Grande São Paulo, da Companhia de Tecnologia e Saneamento Básico do Estado de São Paulo (Sabesp) e coordenador técnico do programa Mananciais. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Jerson Kelman, boa noite.
07/06/2004|Jerson Kelman|4|Jerson Kelman|Boa noite.
07/06/2004|Jerson Kelman|5|Paulo Markun|A atividade que a Agência Nacional de Água executa, hoje em dia, com os comitês de bacias já instalados e, se não estou enganado quanto ao número, com algo em torno de 400 e poucos pedidos de outorga examinados, não é muito pouco em relação à imensa tarefa que tem uma instituição desse tipo, para resolver, gerenciar, o problema da água no Brasil?
07/06/2004|Jerson Kelman|6|Jerson Kelman|Em termos de número de comitês, não. Hoje nós estamos lidando com os comitês, nas principais bacias do país: Bacia de São Francisco, Bacia do Paraíba do Sul, Bacia de Piracicaba, Bacia do Doce, do Piranhas-Açu. Nós estamos lidando com as bacias hidrográficas, onde os problemas pela disputa pelo uso da água ou contaminação são mais agudos. No que diz respeito à outorga, sim, tem razão, nós estamos ainda com... O que é outorga, primeiro? Para o telespectador entender melhor. Até um tempo atrás, qualquer indústria, qualquer empresa de irrigação podia chegar na beira de um rio qualquer e tirar a água ou lançar algum efluente, sem nenhum tipo de licença. O rio era como se fosse terra de ninguém, ou água de ninguém. Hoje, não. Hoje existe a lei, à que foi feita a referência, exige que haja uma licença, que chama-se Outorga de Direito de Uso da Água, que garante ao cidadão que aquela água estará disponível, porque a outorga só será dada se o pedido que lhe faz é compatível com a disponibilidade de água naquele rio, olhando o conjunto de usuários. Pois bem, a sua pergunta é se esses pedidos de outorga estão em número suficiente. Não, porque é um processo que estamos começando, estamos há três anos e pouco atuando e nós temos dois tipos de pedidos de outorga: aqueles que vêm no balcão, algum irrigante, ou alguma indústria, em qualquer lugar do país, solicita a outorga, isso de um tipo. O outro, que nós estamos fazendo mais sistemático, é pegar uma bacia hidrográfica - fizemos isso no Paraíba do Sul - a bacia hidrográfica no todo e resolvemos regularizar a situação daquelas empresas que utilizam os rios. Então fizemos isso à semelhança do Imposto de Renda. De que maneira? Fizemos a propaganda e as empresas preencheram uma declaração de como estão utilizando o rio: quanta água capta, quanto efluente lança no rio e de que qualidade. Essas declarações constituíram um cadastro, e nós estamos agora na fase de verificar se essas declarações, não todas, por amostragem, como fazem no Imposto de Renda, se essas declarações estão verdadeiras ou não, enfim, quais são as retificações.
07/06/2004|Jerson Kelman|7|Paulo Markun|Uma outra coisa. As agências regulatórias, e imagino que a ANA não escapa desta condição, foram criadas no governo Fernando Henrique, dentro de um determinado modelo, um modelo em que a agência seria um espécie de fiscal, que não era nem carne, nem peixe. Quer dizer, não era nem governo e nem sociedade civil, mas tinha uma certa autonomia, uma autonomia efetiva, deveria controlar a operação que se dava. No governo Lula, houve a declaração de que isso ia mudar. Isso mudou no caso da ANA?
07/06/2004|Jerson Kelman|8|Jerson Kelman|Primeiro, a natureza das agências reguladoras, elas são entidades de Estado, não são entidades de governo, assim como também as entidades de Estado, os tribunais, por exemplo, são organismos que vivem na máquina, mas não subordinados ao governo. Por que foi concebida essa condição de entidade de Estado para as agências reguladoras? Porque há muitas áreas de investimento e infra-estrutura que requerem maturação a longo prazo - 20 anos, 30 anos - como é o caso de hidrelétricas, como é o caso de exploração de campos de petróleo e como é o caso também de utilização de água dos rios para qualquer atividade produtiva. E que essas regras, seja de utilização de bem público, seja de serviço público, as regras que regem isso têm que ser estáveis para que alguém se disponha a fazer um investimento cuja maturação seja de 30 anos. Então, as agências reguladoras tiveram essa característica, foram criadas com a concepção de serem independentes e terem uma certa autonomia para dar a garantia àqueles que vão fazer um investimento, que as regras do jogo serão estáveis por longos períodos. E, de fato, no início do governo Lula, os jornais estamparam uma desconfiança em relação às agências, como se elas estivessem substituindo o Estado na formulação da política, mas a convivência - já se passou aí um ano e meio - tem demonstrado que tem espaço para o governo formular a política - não é a tarefa das agências - e tem espaço para implementação da política e para a regulação, seja de serviço público, seja do uso do bem público, e agora a situação está mais harmoniosa. Eu acho que nós estamos evoluindo de uma maneira melhor do que no início do governo Lula.
07/06/2004|Jerson Kelman|9|Washington Novaes|Doutor Kelman, certamente um dos problemas mais agudos que a Agência Nacional de Águas enfrenta é a questão do saneamento básico, principalmente, a deposição de esgotos, seja doméstico, seja industrial, sem tratamento, nos cursos da água. Nós temos hoje no Brasil quase metade da população que não tem rede esgoto. Mas da metade que têm, se tratam 20%, ou seja, só 10% dos esgotos totais têm alguma forma de tratamento e isso representa uma carga brutal. Além disso, tem milhões de pessoas sem acesso à água de boa qualidade, não têm redes, nem nada. Há poucos dias, o Governo Federal anunciou que chegou a proposta de um marco regulatório para o saneamento básico que vai ser enviado ao Congresso, estabelecendo algumas regras. Mas eu não vi, em tudo que li sobre essa proposta de marco regulatório, como é que vai se resolver a questão de esgoto para pobre e tratamento de esgoto. Quem é que vai financiar isto? Porque os municípios disputam com as empresas estaduais a titularidade, eles é que se consideram donos dos serviços porque, inclusive, muitos pretendem privatizar, vender isso, tal. Seja privatizado, seja não privatizado, quem é que vai financiar esgoto para pobre? Porque os que não têm esgoto no Brasil são exatamente as pessoas que estão na população mais pobre do Brasil, até três salários mínimos. Essas pessoas não vão poder pagar. O Estado também diz que não tem esses recursos, e quer fazer as parcerias, o PPP e tal, tal, tal... Quem é que vai pagar esgoto para pobre e quem é que vai pagar tratamento de esgoto no Brasil?
07/06/2004|Jerson Kelman|10|Jerson Kelman|Primeiro, os seus dados estão perfeitos, metade dos municípios urbanos é que têm coleta de esgoto, tem 16% que tem fossa, aliás, um pouco mais, somando fossas e coletas dá quase 3/4, quase 75% e, portanto, a primeira prioridade é resolver o problema dos domicílios que não têm coleta esgoto, porque essa é a principal fonte de transmissão de doenças. As comunidades pobres em geral, que não têm coleta de esgoto, essa é a prioridade. Como são comunidades pobres, elas não têm coleta de esgoto basicamente porque não tem capacidade de pagar tarifa para isso e não há outro jeito se não houver subsídios para essas comunidades, para afastar o esgoto, quer dizer, fazer a coleta. Depois da coleta tem a fase que o senhor bem explicou, que a fase de tratamento do esgoto; não basta afastar o esgoto e jogá-lo in natura no rio, é preciso tratá-lo. Para nós termos uma idéia de qual é a gravidade da situação hoje existente: se nós, a cada dia, enchêssemos caixas de água, um metro por um metro, aquela caixa de concreto que a gente põe no teto, com esgoto, produzida pela população brasileira que não têm tratamento, daria para enfileirar essas caixas ao longo da costa brasileira e sobrava, desde o Rio Grande do Sul até o Amapá e sobrava caixa d'água ao longo do litoral, por dia, de esgoto que é lançado ou no mar ou nos rios sem nenhum tipo de tratamento. Agora, indo a sua questão: quem financia o tratamento de esgoto? A experiência internacional mostra que, mesmo os países ricos, os EUA, os europeus, quem financiou quase tudo do tratamento de esgoto, quase todo o custo de investimento, foi o contribuinte, quer dizer, foram recursos de governo. Durante muito tempo os organismos de financiamentos internacionais, tipo o Banco Mundial, BID  etc., tinham a expectativa de que a tarifa, isto é, cobrar do consumidor ou do usuário, o custo do serviço, cobriria todo o ciclo de saneamento, inclusive o tratamento de esgoto. Mas não foi assim que aconteceu nos países desenvolvidos, quer dizer, nos países desenvolvidos houve subsídio pesado, nos Estados Unidos teve um clima na década de 70 que mobilizou recursos...
