|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|16/11/1998|Jô Soares|1|Paulo Markun| Boa noite. Quem está acordado a esta hora dificilmente vai para a cama sem ele. No centro do Roda Viva, esta noite, um exibido que assume essa condição e justamente por isso não dispensa uma apresentação.
1|16/11/1998|Jô Soares|2|[Apresentação de vídeos com depoimentos de várias personalidades sobre Jô Soares]|
2|16/11/1998|Jô Soares|3|Lula [político]| Jô é a grande novidade da década brasileira. Tudo que eu falar é pouco diante do que ele merece.
3|16/11/1998|Jô Soares|4|Ziraldo [humorista]| O Jô não existe!
4|16/11/1998|Jô Soares|5|Antônio Ermírio de Moraes [empresário]| A nossa maior diferença reside em ser o Jô o mais elegante e eu o menos elegante do Brasil.
5|16/11/1998|Jô Soares|6|Nizan Guanaes [publicitário]| Quando eu era pequeno, gostava de imitar seus personagens. Não consegui ser humorista, mas pelo menos consegui ser gordo.
6|16/11/1998|Jô Soares|7|Antônio Houaiss [filólogo, tradutor, escritor e diplomata] | Jô – se não é – só não é unanimidade para alguns despeitados – mas tão poucos...
7|16/11/1998|Jô Soares|8|Claudia Gimenez [atriz]| O Jô é genial e, além disso, é gordo como eu.
8|16/11/1998|Jô Soares|9|Tônia Carrero [atriz]| O Jô é meu tipo inesquecível. Tem um jeito inglês de ser e me lembra um pouco o Oscar Wilde.
9|16/11/1998|Jô Soares|10|Fernanda Montenegro [atriz]| O Jô é um talento múltiplo. Em nossa geração não se viu nada igual.
10|16/11/1998|Jô Soares|11|Hector Babenco [cineasta]| Jô, eu não agüento mais o seu sucesso.
11|16/11/1998|Jô Soares|12|Paulo Markun | Bem... e para entrevistar Jô Soares, convidamos o escritor Marcelo Rubens Paiva, colaborador da Folha de S. Paulo; o jornalista Maurício Stycer, editor de Cultura da revista Época; a atriz Giulia Gam; a historiadora Marina Maluf, professora de história da Universidade Católica de São Paulo; o ator Marcelo Tas, apresentador do programa Vitrine, da TV Cultura de São Paulo; o escritor Mario Prata, cronista do jornal O Estado de S. Paulo; o escritor e jornalista Fernando Morais e a jornalista Lorena Calábria, apresentadora do programa Metrópolis, da TV Cultura de São Paulo.  Boa noite, Jô Soares.
12|16/11/1998|Jô Soares|13|Jô Soares| Boa noite. Primeiro, estou aqui muito acanhado de ver o que essas generosíssimas pessoas falaram de mim, porque, apesar de ser exibido, como você diz, eu consigo essa façanha de ser exibido e acanhado ao mesmo tempo.
13|16/11/1998|Jô Soares|14|Paulo Markun| Jô, certamente nós vamos falar muito do seu livro, vamos mostrar aqui O homem que matou Getúlio Vargas , que é um dos motivos de você estar no Roda Viva esta noite. Numa das entrevistas que você deu, a gente lê e você diz que o que te motiva, que te movimenta é o desafio seguinte, aquilo que você está fazendo na hora, aquilo já meio que é fato consumado, mais ainda um livro. E quando o escritor termina de botar o ponto final ali, já revisou tudo, não tem muito como mexer. Qual é o teu próximo desafio?
14|16/11/1998|Jô Soares|15|Jô Soares| Eu não sei, eu tenho desafios e tenho também repetições de certos desafios. Eu tenho que escrever um show novo ou, como se usa mais hoje em dia, meu espetáculo solo, meu próximo espetáculo solo. Porque, graças a Deus, espetáculo solo nunca é solo porque tem a platéia também, porque senão ia ficar uma solidão irresistível . Então, eu tenho que escrever esse show. Tenho naturalmente uma outra idéia de livro na cabeça, mas antes eu tenho que fazer show, porque estou com saudades de fazer um show novo no palco. E o programa de televisão, que para mim todo dia é novo. Porque todo dia os entrevistados mudam e mesmo quando são pessoas que já estiveram lá, batendo papo comigo, cada vez a conversa é diferente, o assunto é outro, o papo é diferente.
15|16/11/1998|Jô Soares|16|Paulo Markun| Você passou 18 anos – se não me engano – 18 anos fazendo programas humorísticos, saiu da Globo... 
16|16/11/1998|Jô Soares|17|Jô Soares| Dezoito anos na Globo. Antes eu já fazia. Estou completando este ano quarenta anos de profissão!
17|16/11/1998|Jô Soares|18|Paulo Markun| Sim, você fazia Família Trapo , uma porção de coisas.
18|16/11/1998|Jô Soares|19|Jô Soares| Exatamente.
19|16/11/1998|Jô Soares|20|Paulo Markun| Mas, na Globo, ficou 18 anos com aquela forma de programas de quadros e tal.
20|16/11/1998|Jô Soares|21|Jô Soares| Exatamente. Eu fui para lá para fazer, com Renato Côrte Real , o Faça humor, não faça guerra , com texto do Max Nunes , do Haroldo Barbosa , meu e do Renato. Depois, nós fizemos o Satiricom . Já o Hilton Marques , que trabalha comigo até hoje também, nessa época já foi para lá escrever, estava lá o Haroldo também, o Max. Satiricom era com o Miele , com o Renato Côrte Real também, com Agildo Ribeiro . E depois nós fizemos o Planeta dos homens , com Agildo e comigo. E depois, Viva o Gordo , que era uma espécie de spin-off , quer dizer, uma conseqüência direta do Planeta dos Homens. Falei para o Boni : “Boni, já estamos há cinco anos fazendo o Planeta dos homens, mais um ano eu me formo em medicina” . “Então, vamos dar uma mexida nisso!”.
21|16/11/1998|Jô Soares|22|Paulo Markun| Você imagina, um dia, que o programa de entrevista possa ser uma página virada, uma etapa da sua vida?
22|16/11/1998|Jô Soares|23|Jô Soares| Acho muito difícil. Aliás, tem um livro chamado Tonight, sobre o  Tonight Show , que começou com Steve Allen , hoje está com Jay Leno . Durante 35 anos ficou com Johnny Carson , mas todos eles, inclusive o criador, deixaram de fazer o programa porque quiseram. Steve Allen parou de fazer o programa porque não queria mais fazer. O Jack Paar , também bateu uma paranóia que ele queria fazer outra coisa e tal... Ambos se arrependeram muito de ter saído do Tonight. Depois, o Johnny Carson, que aí já estava com 35 anos de Tonight, resolveu parar. E o Jay Leno, que faz agora. Então, eu acho muito difícil, porque é um programa... que ele não tem fim, não é? Quer dizer, não é uma proposta fechada. Todo dia a coisa muda, porque a conversa muda, a maneira de conversar muda. É muito mais um talk show , não é um programa de entrevista. O talk show é muito mais um programa de bate-papo, como o próprio nome diz. E o bate-papo, para mim, pessoalmente, é a maior atração que existe. Quer dizer, se eu estou vendo uma televisão, a coisa que mais me atrai é o bate-papo, seja de que tipo ou seja qual for o assunto, acho uma coisa que realmente me pega. E um programa que se renova todo dia, além das mudanças que a gente faz de ano para ano, que é acrescentar um projetor, entrevista no telão etc. Ele se renova diariamente, porque  renovam as entrevistas. Então, não vejo como terminar, graças a Deus!
23|16/11/1998|Jô Soares|24|Fernando Morais| Jô, há algum tempo atrás, Millôr Fernandes  falou que Chico Buarque  é a única unanimidade brasileira. Eu tenho impressão  que essa frase é muito boa e está superada, porque são duas unanimidades, o Chico e você. Você conseguiu o prodígio de ser elogiado até pelo Diogo Mainardi  que me deixou estatelado, “o que será que o Jô fez?”. Para uma pessoa que, em geral, tudo que faz é tão bem recebido pela crítica, pelo público, os seus quadros, sabe, o seu programa de entrevista, os seus programas de humor e, agora, seu livros, sua música e agora seus livros, sabe, como que é para uma pessoa que todo mundo adora receber uma trauletada  na cabeça como aquela que o Wilson Martins  deu em você, aliás, em você e no Chico, simultaneamente, nas duas unanimidades. Você acha que ele estava batendo na sua obra e na obra do Chico ou estava batendo nas duas unanimidades brasileiras?
24|16/11/1998|Jô Soares|25|Jô Soares| Olha, primeiro que eu não acredito muito nessa unanimidade... Claro, você, de repente, desagrada  uma ou outra pessoa que, de repente, não gosta de você. Eu, por exemplo, odeio um dos sobrinhos do Pato Donald , não sei se é Luizinho ou Zezinho. Odeio. Quando aparece, me dá ódio, não sei por quê. Agora, eu acho o seguinte, claro que a crítica – a não ser quando é uma crítica totalmente de boa-fé e que te indica um caminho e tal –, mas uma crítica que tenha qualquer forma de ironia te magoa de uma forma brutal. Todo artista é extremamente autocentrado, e eu vim a descobrir que o jornalista também é autocentrado, que o escritor também é autocentrado. Quer dizer, isso não é uma característica só do ator. Então, você fica meio autocentrado, você tem a impressão de que, quando você lê uma crítica ruim, que está todo mundo passando pelo Viaduto do Chá comentando a crítica: “Você viu o que falaram? Falaram disso, você viu?”. Então, você passa na rua com vergonha: “Meus Deus, por que me odeiam tanto?” . Você assume... a coisa assume uma dimensão brutal para você!
