DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
30/05/2005|Jô Soares|1|Paulo Markun|Boa noite. Ele é uma das figuras mais conhecidas da televisão brasileira. Seria impossível escrever a história da TV no país sem lembrar, por exemplo, dos seus personagens humorísticos. Da linha de shows, saltou para os programas de entrevistas, onde também marcou época, primeiro no SBT  e atualmente na TV Globo. Mas, acima de tudo, ele é um homem multimídia. Além dos espetáculos no teatro, também invadiu a literatura. Seu novo livro, Assassinatos na Academia Brasileira de Letras, está no primeiro lugar entre os mais vendidos do ano. É para falar do livro e de outros assuntos que Jô Soares está conosco esta noite.
30/05/2005|Jô Soares|2|[Comentarista]|http://programadojo.globo.com. Um pouco da história pessoal do carioca José Eugênio Soares está ali  nas fotos da infância. Fantasiado de holandês aos três anos, fazendo graça com a cartola aos cinco e  da época que estudou na Suíça, onde também aprendeu a fazer pose na neve e a tocar o bongô que o acompanharia pelo resto da vida. Brincalhão e bem humorado, desde jovem exercitava a vocação para fazer rir, não haveria outra carreira para ele. Até pensou em ser diplomata, mas seguiu o instinto, pegou carona no cinema nacional dos anos 1950 e foi para a TV. Escreveu e atuou em vários programas até 1967, quando ganhou papel fixo, o mordomo da Família Trapo , ao lado de Ronald Golias , na TV Record. Em 1970, Jô Soares chegou à  Globo, escreveu e atuou em quadros de humor até ganhar um programa próprio em 1981, Viva o Gordo, uma das maiores audiências da emissora nos sete anos em que ficou no ar. Em 1988, na busca de novo rumo na carreira, foi para o SBT com o humorístico Veja o Gordo e, poucos meses depois, finalmente colocou no ar seu tão sonhado projeto, um programa de entrevistas que a Globo dizia que não valia a pena por no ar. Jô Onze e Meia estreou em agosto de 1988 surpreendendo o público e quem sentasse naquela poltrona para ser entrevistado. Seguindo a fórmula de sucesso dos talk shows americanos , Jô entrevistou de personalidades importantes da vida nacional a figuras anônimas do povo. Foram 11 anos no SBT até retornar à Globo em 2000. Com o mesmo formato, mas com muito mais recursos, o Programa do Jô manteve a cara do dono, que hoje diz fazer só o que quer e o que gosta. E ele gosta de muitas coisas. Já dirigiu e atuou em filmes, fez e ainda faz teatro, pintou quadros e até participou da nona bienal de São Paulo. A paixão pela música foi das brincadeiras no palco a um programa diário de rádio sobre jazz. A carreira de escritor decolou com histórias de futebol  e dois best sellers, O Xangô de Baker Street , adaptado para o cinema e O homem que matou Getúlio Vargas , ambos já editados em sete países. O autor lança agora o seu terceiro romance, Assassinatos na Academia Brasileira de Letras , uma história de crimes que atingem imortais da Academia e cuja investigação expõe personagens e detalhes da vida do Rio de Janeiro da década de 1920. Pesquisa histórica, suspense, comédia, prosa e humor, a fórmula que está mostrando o caminho das pedras para o autor Jô Soares.
30/05/2005|Jô Soares|3|Paulo Markun|E para entrevistar o humorista, apresentador e escritor Jô Soares, nós convidamos Cícero Sandroni, jornalista e escritor, membro da Academia Brasileira de Letras; Nizan Guanaes, publicitário; Grace Gianoukas, atriz; Sílvia Poppovic, apresentadora da TV Cultura; Roberto D’Ávila, jornalista; e Pasquale Cipro Neto, apresentador do programa Nossa língua portuguesa, da Rádio Cultura AM. Também temos a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e o flagrante do programa. O Roda Viva, como você sabe, é transmitido em rede nacional de TV para todo o Brasil. Para participar você pode usar o telefone (11) 3252-6525, o fax 3874-3454 ou o endereço eletrônico do programa que é rodaviva@tvcultura.com.br. Boa noite, Jô.
30/05/2005|Jô Soares|4|Jô Soares|Boa noite.
30/05/2005|Jô Soares|5|Paulo Markun|Você está sem água aí, não é?
30/05/2005|Jô Soares|6|Jô Soares|Estou sem água e quero começar fazendo uma reclamação.
30/05/2005|Jô Soares|7|Paulo Markun|Por favor.
30/05/2005|Jô Soares|8|Jô Soares|O Paulo Caruso está me desenhando ali, mas parece a "Dona Benta" o desenho que ele fez. .
30/05/2005|Jô Soares|9|[risos]|risos]
30/05/2005|Jô Soares|10|Jô Soares|Não é possível assim, Paulo.
30/05/2005|Jô Soares|11|[...]|Isso é maldade.
30/05/2005|Jô Soares|12|Jorge (garçom)|Aceita uma água, senhor Jô?
30/05/2005|Jô Soares|13|Jô Soares|Aceito, obrigado. Como é que é?
30/05/2005|Jô Soares|14|Jorge (garçom)|Aceita uma água, senhor Jô?
30/05/2005|Jô Soares|15|Jô Soares|Senhor Jô. Parente do Alex, você? 
30/05/2005|Jô Soares|16|[risos]|risos]
30/05/2005|Jô Soares|17|Jorge (garçom)|Não, senhor Jô.
30/05/2005|Jô Soares|18|Jô Soares|Está bom, obrigado.
30/05/2005|Jô Soares|19|[O garçom Marcos fala algo em castelhano]|O garçom Marcos fala algo em castelhano]
30/05/2005|Jô Soares|20|Jô Soares| O quê? É tudo na linha do Alex... Está bom, a água está jóia. Obrigado.
30/05/2005|Jô Soares|21|Paulo Markun|Você vai pensar que é piada, mas ambos trabalham na TV Cultura, ambos são chilenos e ambos são da mesma profissão do Alex...
30/05/2005|Jô Soares|22|Jorge (garçom)|Meu nome é Jorge.
30/05/2005|Jô Soares|23|Jô Soares|Obrigado. E você?
30/05/2005|Jô Soares|24|Marcos (garçom)|Marcos, senhor.
30/05/2005|Jô Soares|25|Jô Soares|Muchas gracias. Mucho gusto.
30/05/2005|Jô Soares|26|Jorge (garçom)|Até logo senhor, prazer.
