DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/07/2001|Jorge Bornhausen|1|[Programa gravado, que não permitiu a participação do telespectador]|Programa gravado, que não permitiu a participação do telespectador]
02/07/2001|Jorge Bornhausen|2|Paulo Markun|Boa noite. O Roda Viva começa hoje uma série sobre a conjuntura política. Neste e nos próximos três programas estaremos discutindo e analisando com importantes lideranças políticas o cenário e as perspectivas em torno da sucessão presidencial de 2002. Os partidos políticos já se movimentam em direção à corrida presidencial, e um deles propõe a realização de eleições primárias em março do próximo ano, onde os próprios eleitores escolheriam o candidato único da base governista à sucessão do presidente Fernando Henrique Cardoso. Este partido é PFL, Partido da Frente Liberal, presidido pelo senador Jorge Bornhausen, que é o entrevistado desta noite do Roda Viva.
02/07/2001|Jorge Bornhausen|3|[Comentarista]|Jorge Konder Bornhausen é advogado, trabalhou dez anos na iniciativa privada antes de começar carreira política, que teve início em 1965. Como vice-governador de Santa Catarina, governou o estado de 1979 a 1982, e na seqüência foi eleito senador, também por Santa Catarina, estado que ainda hoje ele representa no Senado na República. Foi ministro da Educação em 1986, no governo Sarney , e embaixador do Brasil em Portugal de 1996 a 1998 por indicação do presidente Fernando Henrique Cardoso. Jorge Bornhausen é presidente do PFL  desde 1993. Na página oficial do partido na internet, www.pfl.org.br, estão registrados o histórico, o manifesto de criação, estatuto, programas, princípios e outras informações a respeito da atuação do Partido da Frente Liberal. O PFL foi criado em 1985, na esteira de abertura política no Brasil. Na década de 1990, o partido se fortaleceu e ampliou sua importância ao formar, com o PSDB , a aliança que deu base política ao governo Fernando Henrique Cardoso . Episódios recentes, como a perda das eleições para presidência do Senado e também à presidência da Câmara Federal causaram desgastes para o partido, assim como o processo da quebra do sigilo do painel de votação do Senado, que terminou com a renúncia do senador Antônio Carlos Magalhães , um dos homens fortes do PFL. De outra parte, os problemas e o conseqüente desgaste sofrido pelo governo federal levaram o PFL a questionar a aliança governista e até a pensar em candidato próprio para a sucessão presidencial em 2002. Mas a Frente Liberal retomou o discurso da aliança e pensa disputar as eleições junto com o PSDB, mas com uma cabeça de chapa do próprio PFL. E dois nomes ganham terreno como pré-candidatos: o da governadora do Maranhão, Roseana Sarney, e o do próprio presidente do PFL, Jorge Konder Bornhausen.
02/07/2001|Jorge Bornhausen|4|Paulo Markun|Para entrevistar o senador Bornhausen nós convidamos Oliveiros Ferreira, professor de política da USP  e da PUC , aqui de São Paulo também. Está conosco ainda o jornalista Kennedy Alencar, repórter especial do jornal Folha de S. Paulo; participa do Roda Viva também o jornalista Bob Fernandes, redator-chefe da revista Carta Capital; a jornalista da TV Cultura, Mônica Teixeira; o cientista político, Carlos Novaes, analista da TV Cultura; e o jornalista Carlos Eduardo Lins da Silva, diretor adjunto do jornal Valor Econômico.  Boa noite, senador.
02/07/2001|Jorge Bornhausen|5|Jorge Bornhausen|Boa noite.
02/07/2001|Jorge Bornhausen|6|Paulo Markun|Nós apresentamos no início do programa um pequeno currículo do senhor e, ao mesmo tempo, um cenário do PFL apostando na reconstituição, ou no restabelecimento, da aliança que ganhou as últimas eleições presidenciais. Agora, o que eu vejo - e acho que o senhor vê também -, nas pesquisas de opinião, no noticiário da imprensa, é que os candidatos possíveis desta aliança não têm um bom desempenho eleitoral e os candidatos de oposição é que lideram o cenário de pesquisas deste momento. E, ao mesmo tempo, a gente vê a situação do governo Fernando Henrique na mais baixa maré política e  de aceitação em relação ao seu desempenho desde que ele assumiu o poder. Como o senhor encara essa perspectiva?
02/07/2001|Jorge Bornhausen|7|Jorge Bornhausen|Bom, vamos começar pelas pesquisas, naturalmente, porque hoje nós temos uma série de novas pesquisas de âmbito estadual e que ajudam a esclarecer a fotografia do momento. A pesquisa fotografa o momento e que é um momento de impopularidade do presidente, nós sabemos disso,  absolutamente superável. Mas as pesquisas, da mesma maneira que indicam uma supremacia dos candidatos da oposição mostram que nos estados isso não ocorre. E nas dez pesquisas apresentadas hoje por um grande jornal nacional aqui de São Paulo, o PT  não está na frente em nenhum estado e há algumas surpresas, como o caso do doutor Paulo Maluf à frente na pesquisa de São Paulo. Isso não vai significar que ele vá ser vencedor e que vá ao segundo turno. Então, eu acho que o momento de pesquisa, agora, é muito mais levado ao conhecimento  do que à intenção de voto. Se olharmos esse aspecto, é evidente que quem foi candidato três vezes à presidência da República, no caso o candidato do PT , quem foi presidente da República, no caso do possível candidato do PMDB , e quem foi candidato na última eleição e continua na campanha como o candidato do PPS , levam vantagens sobre aqueles que não disputaram um pleito nacional. Então, você, olhando a pesquisa, vai ver também, de modo muito claro, que a governadora do Maranhão que está fora da mídia nacional há muito tempo aparece com 7%; e o ministro da Saúde, José Serra , aparece com 6%; e a soma dos dois daria 13%, que daria, na média das pesquisas, um empate técnico para o segundo lugar. Então, eu acho que,  primeiro lugar, nós estamos longe da eleição, ela não está definida; e, se olharmos o mesmo aspecto nas eleições anteriores, de 1989, olhando a de 1988, de 1994, e olhando 1993, esse fenômeno aparece também da mesma forma. Em 1998 havia o franco favoritismo do presidente Fernando Henrique. Agora nós estamos com condições diferentes, o presidente atravessa uma fase difícil, em função especialmente da crise energética , vai depender muito da sua ação, e eu acredito que ele vai desenvolver de forma favorável, já que a sociedade está dando uma resposta muito efetiva ao problema da crise energética. Um dado mais importante são os 92% que responderam à pesquisa da CNI  dizendo que estão colaborando com a solução da crise energética.
02/07/2001|Jorge Bornhausen|8|Oliveiros Ferreira|Sim,  estão colaborando para evitar o corte - ou a crise energética séria -, ou para apoiar o presidente?
02/07/2001|Jorge Bornhausen|9|Jorge Bornhausen|Não, estão evitando para que não haja o apagão, para que não haja o corte, e esperando uma correspondência nas ações efetivas.
02/07/2001|Jorge Bornhausen|10|Oliveiros Ferreira|Sim, mas vão demorar dois anos, pelo menos.
02/07/2001|Jorge Bornhausen|11|Jorge Bornhausen|Não, há uma série de coisas que têm que ser consideradas. Eu acho que não se pode - se me permitir -, sobre a crise energética, nós não podemos partir de 2001, nós temos que partir de primeiro de janeiro de 1995,  nós tínhamos 25 obras paradas, em construção, de hidrelétricas, usinas nucleares e termelétricas. Dessas 25, 17 ficaram prontas, duas estão em fase de conclusão. Quer dizer, foram cerca de 11 mil megawatts a mais instalados no governo do presidente, fazendo o quê, novamente, se não tivesse o presidente agido dessa maneira, a situação hoje era de calamidade pública.
02/07/2001|Jorge Bornhausen|12|Oliveiros Ferreira|Não é de ter entrado em operação... porque se 17 entraram em operação e a crise está aí, está certo? 
02/07/2001|Jorge Bornhausen|13|Jorge Bornhausen|Sim, mas acontece que as obras estavam paralisadas, o modelo estava errado. O Estado não tinha mais recursos para dar conta do serviço, entrou a iniciativa privada, surgiram as parcerias, então, houve uma ação. Há faltas, há erros? Há, não vamos negar. Agora, o erro foi certamente no retardar o racionamento, o erro foi certamente na falta de se chegar a uma conclusão do preço do gás, que foi uma ação mais da Petrobras, que queria continuar seu monopólio também no gás.
02/07/2001|Jorge Bornhausen|14|Oliveiros Ferreira|O que significa que ela tem poder? 
02/07/2001|Jorge Bornhausen|15|Jorge Bornhausen|Sim, significa que continua com poder, eu concordo com o Oliveiros. É evidente que essas condições da crise energética conservam esta fase de impopularidade. Se apresentar, como vai apresentar o presidente, seu plano de ação 2001, 2003, acompanhar, fiscalizar, efetivar o plano de ação, certamente... se nós não entrarmos em racionamento em 2002, as condições do presidente serão muito diferentes na eleição.
02/07/2001|Jorge Bornhausen|16|Bob Fernandes|Senador, nós estávamos falando de sucessão da eleição presidencial, mas como surgiu a discussão energética... Isso não era estritamente da responsabilidade do PFL? Esse setor está na mão do PFL há muito tempo, já há alguns anos, ou esse setor é da cota do senador Antônio Carlos Magalhães?
02/07/2001|Jorge Bornhausen|17|Jorge Bornhausen|Não, isso não é nem da cota do senador Antônio Carlos Magalhães e nem do PFL, isso é uma ação do governo e não se atribui a um governo  só. Se por um lado o ministro era do PFL, o presidente da Petrobras nunca foi do PFL, o presidente da Aneel  nunca foi do PFL. Quer dizer, o que nós temos que reconhecer é que o governo agiu retardadamente em relação ao racionamento, podia ter feito... 
