DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
13/06/2005|Jorge Viana|1|Paulo Markun|Boa noite! Ele é uma das figuras mais próximas do presidente Lula. Apesar de morar e governar num estado bem distante de Brasília, está sempre perto do governo, especialmente em situações mais críticas. O Roda Viva entrevista esta noite o engenheiro florestal Jorge Viana, governador do Acre pelo Partido dos Trabalhadores.
13/06/2005|Jorge Viana|2|Paulo Markun [em off durante exibição de imagens do Acre]|O governador Jorge Viana, desde cedo, teve contato com os povos da floresta. Aos 20 anos, começou a trabalhar com a população que vivia da extração da borracha no estado do Acre. Ligado ao movimento ambiental, conheceu e conviveu com Chico Mendes de 1980 a 1988, quando o ambientalista e líder dos seringueiros foi assassinado. Preocupado com a preservação e o aproveitamento racional da natureza, o governo do Acre planejou a criação de reservas extrativistas e busca conciliar a exploração madeireira com o reflorestamento, mas a moto-serra em mãos clandestinas tem cortado pesado por toda parte. O Ministério do Meio Ambiente calcula que o desmatamento da Amazônia cresceu 39% nos últimos três anos. Recentemente, no Mato Grosso, a Polícia Federal desmontou uma das maiores quadrilhas madeireiras que, em dois anos, desmatou 43 mil hectares de florestas, madeira suficiente para encher 66 mil caminhões, numa fila de Curitiba a Salvador. A quadrilha, que atuava há 14 anos, tirava madeira de terras da União e de reservas indígenas. Funcionários do Ibama  vendiam guias de extração em branco  por dois mil reais que, preenchidas, liberavam a extração e o transporte. Quatrocentas empresas fantasmas legalizavam o estoque e vendiam a madeira no Brasil e no exterior. Foram presas quase 90 pessoas, entre elas, 58 funcionários e o gerente do Ibama no Mato Grosso, Hugo José, além do secretário estadual do Meio Ambiente, Moacyr Pires. A polícia avalia que a quadrilha é responsável por quase metade do desmatamento já ocorrido no Mato Grosso. Uma fraude organizada por empresários, madeireiros, despachantes e funcionários públicos.
13/06/2005|Jorge Viana|3|Paulo Markun|Para entrevistar o governador Jorge Viana, nós convidamos Fernando Rodrigues, colunista político da Folha de S.Paulo, Maurício Stycer, jornalista da revista Carta Capital, Alexandre Machado, editor de política da TV Cultura, Osvaldo Boarim editor de política do Correio Brasiliense, Mário Andrada e Silva, diretor da agência Reuters de São Paulo, Helena Chagas, diretora da sucursal de Brasília do jornal O Globo, e o engenheiro florestal Mauro Vítor, do Conselho Nacional de Florestas. Também temos a participação do cartunista Paulo Caruso, registrando com pincel e tinta os flagrantes do programa. O Roda Viva, como você sabe, é transmitido em rede nacional de TV para todo o Brasil. Para participar, fazer a sua pergunta, o telefone: zero, operadora, onze, 3252-6525; 3252-6525 ou fax 3874-3454, código de São Paulo. O endereço do programa na internet: rodaviva@tvcultura.com.br
13/06/2005|Jorge Viana|4|Paulo Markun|Boa noite, governador! Nós vamos falar muito de política aqui neste programa, obviamente, mas eu queria começar falando exatamente da questão das florestas. O senhor governa um estado em que a floresta é essencial. É possível, de alguma forma, conciliar essa história de desenvolvimento sustentável ou isso é apenas um jargão que funciona muito bem na palavra dos ecologistas e dos ambientalistas, mas quando a gente se depara com a realidade do desenvolvimento, o problema é diferente?
13/06/2005|Jorge Viana|5|Jorge Viana|Não, eu penso que não. Eu acho que durante muito tempo, os que sempre defenderam a floresta foram combatidos com esse argumento de que não tinha saída, que isso é uma “coisa de quem está em Ipanema tomando cerveja”, ou dentro das universidades. E não era nada disso. Nós, no Acre, estamos entrando no sétimo ano, tentando fazer das florestas algo essencial. Para a economia, para a vida, enfim, para o funcionamento de um estado. Porque estamos na Amazônia. Bem no meio dessa floresta. Mas hoje, eu posso dizer com tranqüilidade que nós temos muitas experiências em pequenas comunidades, em empresas que já são comprovadamente exitosas, e nós estamos tentando fazer isso também do ponto de vista público, do governo. Mas, exatamente neste momento, o Brasil vive o fechamento de uma conta que é um escândalo – no mínimo –. Porque você ter a destruição de algo como 2 milhões e meio de hectares num único ano é algo que tem que fazer todo mundo pensar, porque há uma certa insanidade nisso.
13/06/2005|Jorge Viana|6|Paulo Markun|Mas essa insanidade não é o governo que tem que impedir?
13/06/2005|Jorge Viana|7|Jorge Viana|Eu acho que o governo e a sociedade, essencialmente. Porque é um patrimônio nosso, que nós nem aprendemos direito a lidar com ele, mas já estamos destruindo.
13/06/2005|Jorge Viana|8|Helena Chagas|Mas o governo do PT, naquilo justamente que o Markun levantou, não está devendo, ainda, uma política ambiental mais consistente? A gente sabe que o senhor é um aliado muito próximo da ministra Marina Silva. Mas a gente só vê a ministra Marina Silva perdendo batalhas dentro do governo. Perdendo para agrobusiness perdendo para outros setores da indústria, no caso dos transgênicos, enfim, há uma grande...
13/06/2005|Jorge Viana|9|Jorge Viana|Mas a ministra Marina, eu acho que ela tem até perdido algumas batalhas, mas ela tem ganho outras. Porque esse tema também é um tema ainda não absorvido por muitas das pessoas que compõem essa esfera de poder nossa. Ainda se tenta tratar o Ministério do Meio Ambiente no que eu chamo de “vala comum”. Isso é um erro. Meio ambiente, hoje, seja no setor privado, ou no setor público, em qualquer parte do mundo, ele diferencia se ali tem uma região ou um país realmente desenvolvido, se ali tem uma empresa que realmente é uma empresa do presente e do futuro, ou não. Não é mais o saldo na conta, se a conta é vermelha ou azul, o que diferencia isso. E nós aqui no Brasil, que somos detentores dessa floresta magnífica, ainda temos dúvidas sobre isso. Agora, quanto a outros embates, sobre transgênicos ou outros, eu acho que isso faz parte de um país que, além de ter uma grande floresta, também é um grande produtor de grãos e de produtos agropecuários. Esse debate, para mim, ele é rico.
13/06/2005|Jorge Viana|10|Helena Chagas|Como juntar essas duas identidades, não é?
