DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
16/06/2003|José Alencar|1|[programa ao vivo, permitindo a participação dos telespectadores]|programa ao vivo, permitindo a participação dos telespectadores]
16/06/2003|José Alencar|2|Paulo Markun|Boa noite. Ele apenas falou o que muitos no governo, e especialmente fora dele, pensam e querem para a economia do país. Mas, pelo cargo que ocupa, a fala provocou enorme repercussão, causou desconforto no governo e ajudou a alimentar o discurso da oposição. O Roda Viva entrevista esta noite o vice-presidente da República José Alencar, do Partido Liberal . Ele é também o mais recente mineiro na longa lista de políticos que Minas Gerais já colocou no topo do governo federal.
16/06/2003|José Alencar|3|[Comentarista]|Surgiu em Minas o primeiro movimento contra a dependência estrangeira e, na seqüência, os primeiro ideais republicanos. No Brasil República, Minas reafirmou o peso político elegendo Afonso Pena para presidente em 1906, Venceslau Brás em 1914, Delfim Moreira em 1918, Artur Bernardes em 1922, Juscelino Kubitschek em 1956, Tancredo Neves em 1985 e na década de 90, Itamar Franco . Vários deles também estiveram na vice-presidência, onde reaparecem Afonso Pena, Venceslau Brás, Delfim Moreira. Francisco Bueno de Paiva foi vice de Epitácio Pessoa em 1920, Fernando Melo Viana foi vice de Washington Luiz em 1926. No governo militar, José Maria Alckmin era vice de Castelo Branco, o mesmo ocorrendo com Pedro Aleixo no governo Costa e Silva e com Aureliano Chaves no governo de João Figueiredo. Este ano, José Alencar foi o novo mineiro que emergiu no  Planalto. Ele começou a vida política em 1994 como candidato ao governo de Minas, mas só teve seu primeiro cargo eletivo em 1998, quando elegeu-se senador pelo PMDB . Em 2001, filiou-se ao PL, que fez aliança com o PT  em 2002 formando a chapa com Lula. Aos 71 anos de idade, com menos de dez na política e mais de cinquenta na vida empresarial, José Alencar Gomes da Silva é desses brasileiros que insistem em associar êxodo com trabalho. Em Minas, "pegou cedo no batente". Nascido em Muriaé, começou a trabalhar aos 15 anos como balconista e estudou só até a quinta série. Aos 18 , abriu uma lojinha em Caratinga com o dinheiro emprestado do irmão, depois virou atacadista de tecidos e em 1967, com um empréstimo oficial, fundou em Montes Claros a Companhia de Tecidos Norte de Minas, a Coteminas. Empresário bem sucedido, presidiu durante 15 anos a Federação das Indústrias de Minas Gerais . Como senador eleito com recursos próprios, foi voz atuante na defesa dos empreendimentos nacionais. De perfil simples, empreendedor próximo ao empresariado e crítico do governo federal, José Alencar surgiu como nome possível de uma chapa de oposição e assim tornou-se vice de Lula. Discreto no exercício do cargo, o vice-presidente acabou surpreendendo o país recentemente ao criticar a política econômica oficial: atacou as altas taxas de juros, reforçando a idéia de que são os juros altos que estão impedindo e retomada do crescimento econômico. A repercussão foi grande e causou constrangimento dentro do governo, mas em época de exercício livre da divergência o vice se entendeu como o presidente e com o ministro  Antônio Palocci. O episódio foi passado a limpo e Alencar depois até brincou com a mulher, jurando que não falaria mais de juros. Não perdeu o humor e nem a crença de que juro alto faz mal para os negócios e para a vida das pessoas.
16/06/2003|José Alencar|4|Paulo Markun|Para entrevistar o vice-presidente José Alencar nos convidamos Merval Pereira, colunista do jornal O Globo; Josemar Gimenez de Rezende, diretor de redação dos jornais O estado de Minas e Correio Braziliense; Mauro Chaves, editorialista e articulista do Jornal O Estado de S. Paulo, Fernando Barros e Silva, editor-chefe do caderno "Brasil" do jornal Folha de S.Paulo, José Antonio Severo, editor do jornal Gazeta Mercantil e Carlos Eduardo Lins e Silva, diretor adjunto de redação do jornal Valor Econômico. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e Brasília Você pode participar do programa, mandar sua crítica ou sugestão pelo telefone (11)252-6525 e pelo e-mail rodaviva@tvcultura.com.br. Boa noite!
16/06/2003|José Alencar|5|José Alencar|Boa noite.
16/06/2003|José Alencar|6|Paulo Markun|Quem sou eu para contrariar um acordo que o senhor tenha feito com a dona Mariza  e que foi mencionada em nossa reportagem, revelada à jornalista Mônica Bergamo, da Folha de S.Paulo? Vou começar por outro assunto. A gente sabe que sua indicação à vice-presidência da República foi parte de um acordo político entre o PT e o PL, foi parte de um projeto do PT de chegar ao poder, mas o que eu queria que o senhor contasse para gente é um pouco do bastidor dessa sua aproximação com o Lula. Se a gente olhar, aparentemente, não há nada mais distante do que um grande empresário e um líder sindical, um senador do PL e um dirigente do PT. Alguma química estabeleceu, porque sabe-se que a escolha foi pessoal do presidente Lula na direção do nome do senhor. O que os aproximaram?
16/06/2003|José Alencar|7|José Alencar|Olha, provavelmente isso que as pessoas acham que nos distanciava. A empresa está muito próxima do trabalhador. Não há nenhuma distância entre mim e ele, ao contrário. Outra coisa: a admiração que nos sempre nutrimos por ele, desde quando foi realmente líder sindical, na época do regime militar, e fundou o PT em 1980. Aquilo foi uma façanha admirável no Brasil, ele passou por dificuldades. Acabou disputando uma eleição, em 1986, em São Paulo para deputado federal com uma votação recorde. Na Assembléia Constituinte, agiu de maneira que só o enalteceu, com toda sua simplicidade.
16/06/2003|José Alencar|8|Paulo Markun|Então o senhor tinha uma visão distanciada dele?
16/06/2003|José Alencar|9|José Alencar|Eu era distante dele, nunca havia me encontrado com ele, ainda que ele se hospedasse em um hotel nosso em Belo Horizonte. Eu sabia que ele se hospedava lá!
16/06/2003|José Alencar|10|Paulo Markun|Wembley !
