|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|28/02/2000|José Fernando Perez|1|Paulo Markun| Boa noite. Ele é o responsável pelo novo modelo de pesquisa científica no Brasil. Um trabalho que está dando resultados importantes nessa área e nova projeção internacional à ciência brasileira. O Roda Viva entrevista esta noite José Fernando Perez, diretor científico da Fundação de Amparo à Pesquisa do Estado de São Paulo, a Fapesp.
1|28/02/2000|José Fernando Perez|2|[Comentarista]| José Fernando Perez é engenheiro eletricista, bacharel e mestre em física, doutor em ciências naturais em Zurique, na Suíça, também foi professor visitante em universidades na Califórnia, em Roma e em Londres. Desde 1993 é diretor científico da Fapesp, a fundação criada há quase 40 anos para fomentar a pesquisa científica em São Paulo. A entidade acaba de colocar o Brasil no restrito clube dos países que assumiram a dianteira na pesquisa genética molecular. Através do Projeto Genoma quase 200 cientistas de vários laboratórios trabalharam durante dois anos via internet e conseguiram determinar a seqüência completa do material genético da Xylella fastidiosa, a bactéria responsável pela praga do amarelinho, que chega a destruir 30% dos laranjais no país. É o primeiro passo para o controle total da doença. A pesquisa fez do Brasil o primeiro país do mundo a determinar a seqüência completa do material genético de um microorganismo que causa doenças em plantas. Na esteira do genoma outras pesquisas ganham terreno com o seqüenciamento de organismos que atacam a cana-de-açúcar, com o genoma humano do câncer para determinar genes responsáveis pela doença, com o Projeto Biota para estudar a biodiversidade da Mata Atlântica, pesquisas de inovação tecnológica para pequenas empresas e até mesmo pesquisas na área social para a formulação de políticas públicas. O desenvolvimento desses trabalhos traz uma comprovação, o financiamento crescente de pesquisas e a formação de novos recursos humanos pelas agências de fomento é que serão capazes de abrir novas perspectivas para a ciência brasileira.
2|28/02/2000|José Fernando Perez|3|Paulo Markun| Para entrevistar o diretor científico da Fapesp, José Fernando Perez, nós convidamos Ottoni Fernandes, diretor do jornal Gazeta Mercantil; o cancerologista Drauzio Varella; Mônica Teixeira, apresentadora do programa Opinião Brasil, da TV Cultura aqui de São Paulo; Cristiane Segatto, subeditora de ciência e tecnologia da revista Época; Luís Nassif, diretor-superintendente da agência Dinheiro Vivo e Marcelo Leite, repórter especial do jornal Folha de S. Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Para você participar do programa o telefone é (011) 252-6525, nosso fax (011) 3874-3454 e o endereço do programa na Internet rodaviva@tvcultura.com.br. Boa noite, Perez.
3|28/02/2000|José Fernando Perez|4|José Fernando Perez| Boa noite.
4|28/02/2000|José Fernando Perez|5|Paulo Markun| Eu queria começar com uma pergunta que eu sei que deve ser difícil de responder, mas enfim, é a tarefa da gente aqui tentar explicar essas coisas. Para um leigo que não entende coisa nenhuma de biologia e outros detalhes, qual é a importância de o Brasil pesquisar o genoma, enfim, tentar identificar essa codificação?
5|28/02/2000|José Fernando Perez|6|José Fernando Perez| Bem, eu acho que esse tipo de projeto, ele cumpre uma finalidade, como finalidades múltiplas. Primeiro, é um momento de afirmação internacional e nacional do país na área de ciências. Veja, do ponto de vista internacional, fazer um genoma de um patógeno vegetal, ou seja, de um organismo que é responsável por uma doença, foi reconhecido desde o lançamento do projeto como um evento científico da maior importância. A revista Nature noticiou o lançamento, o começo do projeto em 1997, porque era exatamente o primeiro genoma de um microorganismo que ataca uma planta. Agora que nós concluímos o projeto também, houve uma conferência na Califórnia, foi muito interessante, que foi comunicado ao diretor da conferência que ia ser feito um anúncio da conclusão desse primeiro genoma desse patógeno vegetal. E o diretor da conferência abriu a conferência dizendo: “eu tenho boas notícias e más notícias. A boa notícia é que o primeiro genoma de um patógeno vegetal foi concluído. É um marco na história da pesquisa científica em agricultura. A má notícia é que foi feito por um grupo brasileiro e não por um grupo americano”. Isso dá a dimensão internacional do significado científico do projeto.
6|28/02/2000|José Fernando Perez|7|Paulo Markun| Mas, desculpe interromper, é que do jeito que entrou na matéria, e que muitas vezes a própria imprensa aborda como na pesquisa que eu recebi, dá impressão de que a hora que você identifica esse código genético, está resolvido o problema, quer dizer, ok, a partir de agora nenhum amarelinho vai atacar nenhuma laranja brasileira. Não é assim.
7|28/02/2000|José Fernando Perez|8|José Fernando Perez| Longe disso! Longe disso! Longe disso!
8|28/02/2000|José Fernando Perez|9|Paulo Markun| Têm muitos outros passos?
9|28/02/2000|José Fernando Perez|10|José Fernando Perez| Muitos passos. Na verdade, como o primeiro genoma que é feito em um patógeno vegetal vai ser também o primeiro projeto onde vai se tentar controlar, entender e controlar uma praga a partir do genoma da bactéria que é a causa, então na realidade esse é o começo apenas. De qualquer maneira foi um passo importante.
