|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|11/08/1997|José Gregori|1|[programa ao vivo]|
1|11/08/1997|José Gregori|2|Matinas Suzuki| Boa noite. Antes de iniciar o Roda Viva desta noite, eu gostaria de prestar a nossa homenagem ao Betinho , um brasileiro exemplar . Que a lição da solidariedade jamais seja esquecida pela sociedade brasileira. Ele já atuou em defesa das vítimas do regime militar , criou indenização às famílias dos presos desaparecidos e agora vai dizer ao governo o que precisa mudar nas polícias brasileiras. No centro do Roda Viva desta noite, o secretário nacional de Direitos Humanos, José Gregori.
2|11/08/1997|José Gregori|3|[inserção de vídeo]|
3|11/08/1997|José Gregori|4|Narração de Milton Jung| A carreira do advogado paulistano José Gregori tem dois fatos marcantes. A luta pelos direitos humanos e as cinco vezes em que foi chefe de gabinete de diferentes ministérios em diversos governos. Gregori presidiu a Comissão de Justiça e Paz nos anos 70 e cobrou a responsabilidade do governo no desaparecimento de presos políticos durante o regime militar. Ele é o autor do projeto que concede indenização às famílias dos desaparecidos políticos. A proposta acabou transformada em lei pelo presidente Fernando Henrique, de quem Gregori é amigo pessoal há 40 anos. No início deste ano, José Gregori trocou a chefia de gabinete do Ministério da Justiça pela recém-criada Secretaria Nacional de Direitos Humanos e chefiou o grupo ministerial encarregado de propor mudanças nas polícias dos estados. Escândalos de violência policial como o da favela Naval, em Diadema, na Grande São Paulo, e as recentes greves que paralisaram as polícias Civil e Militar em vários estados levaram o governo a apressar o projeto, que ficou pronto na semana passada e deve chegar ao Congresso nos próximos dias. Entre as propostas estão a proibição de greves de policiais, o veto à participação de associações ou entidades policiais em campanhas políticas e a obrigatoriedade de cursos sobre direitos humanos. Também está prevista a criação de uma Secretaria Nacional de Segurança Pública e a extinção das casas militares ligadas aos governos estaduais.
4|11/08/1997|José Gregori|5|Matinas Suzuki| Para entrevistar o secretário nacional de Direitos Humanos, José Gregori, nós convidamos esta noite o Fernando Mitre, diretor de redação do Jornal da Tarde; o cientista político Paulo Sérgio Pinheiro, coordenador do Núcleo de Estudos da Violência da Universidade de São Paulo; Fernando Canzian, editor de “Brasil”, da Folha de S.Paulo; Luciano Suassuna, redator-chefe da revista IstoÉ; Pedro Cafardo, editor-chefe do jornal O Estado de S. Paulo; e o Marcelo Pontes, diretor de redação do Jornal do Brasil. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros. Gostaria de lembrar a você que está no Rio de Janeiro que você deve estar provavelmente tendo aí dois Roda Viva simultâneos esta noite. Um pela TV Cultura, que você pode acessar pelas TVs a cabo, que é este que a gente está apresentando agora ao vivo, e o outro pela TVE, que está reprisando o Roda Viva feito com o Betinho no final do ano passado e que a TV Cultura reprisou na noite de ontem. Boa noite, secretário José Gregori.
5|11/08/1997|José Gregori|6|José Gregori| Boa noite, Matinas.
6|11/08/1997|José Gregori|7|Matinas Suzuki| Secretário, eu hoje surfando um pouco na internet, eu vi que no Universo Online que, no sábado, o  The New York Times deu um editorial a respeito da situação da polícia no Brasil, aliás, um editorial bastante duro. Na medida em que a opinião do The New York Times tem uma grande influência sobre a opinião pública mundial, eu gostaria de ler dois trechos, o começo e o final desse editorial, para que o senhor pudesse comentar esse editorial,  qual a visão que o senhor tem dele. O título é do editorial é “A polícia violenta do Brasil”, e ele abre dizendo o seguinte: “A taxa de criminalidade do Brasil está entre as mais altas do mundo, e entre os brasileiros mais fora da lei está a polícia. A polícia nesse país é a mais brutal do hemisfério e é temida em bairros pobres como uma quadrilha de criminosos. Neste verão, a polícia de mais de dez estados entrou em greve por salários mais altos. Eles merecem aumento, mas os aumentos devem vir com novas políticas que desencorajem a violência e punam os policiais que matam”. E o editorial encerra dizendo: “Não será fácil transformar os polícias do Brasil em cidadãos obedientes às leis; sua brutalidade é reforçada por uma crise no sistema judiciário e pela tendência brasileira de confundir pobreza com criminalidade, mas a experiência do país mostra que quando o governo pára de tolerar a violência policial, a violência decai.  Cardoso e os governadores precisam usar seus poderes ao máximo”. O senhor concorda com os termos desse editorial, secretário?
7|11/08/1997|José Gregori|8|José Gregori| Eu acho que evidentemente tem uma cotação um pouco generalista, um pouco exagerada mas, em linhas assim substantivas, é exatamente o que levou o governo federal a empreender esse esforço, que não é de hoje. O governo federal, há mais de um ano e meio, criou uma posição inteiramente precursora em matéria de direitos humanos no Brasil. Pela primeira vez, a questão dos direitos humanos ganhou status de política pública; isso, certa maneira, para ser o chão em cima do qual se vão construindo várias políticas de diminuição da violência e, mais recentemente, com a criação da Secretaria Nacional dos Direitos Humanos quando o Brasil vivia uma onda de indignação em face de acontecimentos reportados pelas TVs em Diadema  e em Cidade de Deus, no Rio de Janeiro. Quer dizer, a secretaria, de imediato, na sua criação, recebeu essa incumbência de reunir um grupo multirrepresentativo para avaliar o desempenho das polícias e propor medidas no sentido de modernizá-las, de dar-lhes eficiência no enfrentamento da criminalidade, mas com respeito aos direitos humanos.
8|11/08/1997|José Gregori|9|Pedro Cafardo| Secretário, só para continuar nesta pergunta do Matinas sobre o  The New York Times, que eu achei interessante, o senhor concordou também com a frase final que ele leu? Que diz: quando se reduz a violência policial, a criminalidade cai. Isso é correto?
9|11/08/1997|José Gregori|10|José Gregori| Não, eu entendi que quando o governo segue uma política, a criminalidade cai, no sentido de que não é uma questão que não possa ser enfrentada. É uma questão difícil, sem dúvida nenhuma, mas há, pelo que eu depreendi, a esperança de que uma política ativa...
