|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|21/05/2007|José Junior|1|Paulo Markun| Boa noite. Ele nasceu e cresceu em bairros pobres do Rio de Janeiro. Desde cedo conviveu com a violência e com a falta de oportunidade para os jovens. Há 14 anos tenta mudar essa realidade trabalhando para resgatar a cidadania nas favelas, quebrar barreiras e também pela inclusão social e cultural das comunidades carentes da cidade. Durante esse trabalho chegou a mediar conflitos entre comunidades rivais cariocas. Na ONG que administra, coordena mais de 60 projetos e beneficia 2 mil pessoas diretamente pelas suas ações. Tem um orçamento em torno de 6 milhões de reais. O entrevistado desta noite é José Junior, fundador e coordenador do Grupo Cultural AfroReggae. O Roda Viva começa em instantes.
1|21/05/2007|José Junior|2|[intervalo]|
2|21/05/2007|José Junior|3|Paulo Markun| José Junior foi entregador de jornal e animou festas de crianças fantasiado de super-herói. Mas, disposto a mudar a realidade da comunidade de Vigário Geral, tirou a fantasia de Batman e foi à luta com o que tinha de disponível – muita força de vontade.
3|21/05/2007|José Junior|4|[Comentarista]| José Junior nasceu em Ramos e cresceu nas ruas pobres no bairro da Lapa no Rio de Janeiro. Ele é fundador e coordenador do Grupo Cultural AfroReggae, que há 14 anos trabalha pela inclusão de jovens das comunidades carentes do Rio de Janeiro. O projeto ganhou destaque depois da chacina de Vigário Geral, em 1993, quando policiais invadiram a favela e assassinaram 21 moradores inocentes para vingar a morte de quatro policiais por traficantes. José Junior, que comandava nas favelas cariocas um jornalzinho, AfroReggae Notícias, ampliou a ação e conseguiu colocar a comunidade nas páginas de cultura dos jornais ao criar oficinas com aulas de reciclagem de lixo, percussão e dança afro. O AfroReggae tornou-se conhecido pelos projetos musicais, mas também tem a meta de criar mecanismos que possibilitem o surgimento de intelectuais na comunidade. O grupo trabalha para resgatar a cidadania nas favelas e quebrar barreiras sociais. Uma das missões do AfroReggae é tirar jovens do narcotráfico e do subemprego ao oferecer atividades que consigam atraí-los. Mediar conflitos entre comunidades rivais nunca esteve nos planos da organização, mas virou necessidade para evitar que as pessoas se matem e, principalmente, que inocentes sejam afetados. Atualmente o AfroReggae tem 61 projetos como banda de música, grupos de circo e teatro e um grupo de dança. Os núcleos de AfroReggae desenvolvem oficinas de cartum, violino, percussão e grafites. A ONG tem 176 pessoas na folha de pagamento entre profissionais e jovens em formação. Beneficia 2 mil pessoas diretamente pelas suas ações, já recebeu mais de 40 prêmios, nacionais e internacionais, e tem orçamento em torno de 6 milhões de reais em patrocínio, palestras, shows e vendas de CDs e DVDs. O grupo de música de Vigário Geral faz turnês pelo Brasil e exterior. Em 2006 abriu o show dos Rolling Stones em Copacabana, que levou mais de 1 milhão de pessoas à praia.
4|21/05/2007|José Junior|5|Paulo Markun| Para entrevistar o fundador e coordenador do Grupo Cultural AfroReggae, José Junior, nós convidamos Rappin Hood, do Rappy; Bruno Paes Manso, repórter do Jornal Estado de S.Paulo; Jorge Antonio Barros, editor adjunto da Editora Rio, do jornal O Globo e autor do blog Repórter de Crime; Âmbar de Barros, jornalista e fundadora da Andi, Agência de Notícias dos Direitos da Infância; Mario Cesar Carvalho, repórter especial do Jornal Folha de S. Paulo; e Paulo Lins, escritor e professor de literatura e roteirista de cinema. Também temos a participação de Paulo Caruso, o cartunista que registra nos seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV, a TV pública para todo o Brasil. Boa noite. Eu queria saber o seguinte: nesse tempo todo que você se dedica a essa ONG, a essa luta, a coisa melhorou ou piorou?
5|21/05/2007|José Junior|6|José Junior| De diversas formas melhorou. Melhorou bastante, tem muita coisa positiva. Acredito hoje até que, no Rio de Janeiro, não só o trabalho do AfroReggae, mas tem outras ações positivas, como a Central Única das Favelas, Masmorra, são muitas ações que acabam ecoando bastante. Mas naturalmente, os veículos de comunicação não dão a mesma visibilidade que dão para a violência. O AfroReggae é até uma exceção. O AfroReggae é uma instituição que tem muita visibilidade até, devido a parceria que ele tem com a TV Globo. A TV Globo hoje é uma das principais parceiras do AfroReggae, fazendo que cada vez mais o AfroReggae tenha uma visibilidade. Até mesmo uma credibilidade muito grande em todo Brasil.
6|21/05/2007|José Junior|7|Paulo Markun| Agora, não é um problema de volume de coisas? Quer dizer, se você bota a violência num lado da balança e os diversos movimentos, tentativas, digamos, de enfrentar isso promovendo a inclusão social e etc, do outro, não é desequilibrado? Ainda, a violência não ganha disparado?
7|21/05/2007|José Junior|8|José Junior| A violência não ganha disparado se você pegar o universo de uma favela como o Complexo do Alemão, que tem saído bastante em todas as revistas, jornais como o paiol do narcotráfico. E acaba até demonizando muito essa comunidade, que tem em torno de 170 mil moradores e você não tem mil pessoas envolvidas com o crime. Então, você vê que é uma diferença muito grande, está falando em menos de 1% da população dessa comunidade que é envolvida com a criminalidade. Quando eu falo criminalidade, não é em função do narcotráfico não. Então, em termos das comunidades, hoje,  é a que mais sofre em todos os sentidos com a violência. Era um grande pólo industrial em torno daquela comunidade, e hoje está abandonada. Ao mesmo tempo, há um investimento hoje do governo estadual do Rio de Janeiro, que eu acho que vai mudar muito a realidade daquela comunidade, eles vão estar investindo em torno de 500 milhões de reais em urbanização, criação de escola, hospitais. Tem muita coisa boa também acontecendo. Mas infelizmente, as notícias negativas e ruins acabam ocupando o espaço principal.
8|21/05/2007|José Junior|9|Bruno Paes Manso| Mas, hoje, se a gente for ficar com as estatísticas que mostram a violência, o Rio de Janeiro vem mantendo índices preocupantes de criminalidade, faz algum tempo. Até comparando com outros lugares do Brasil, São Paulo, por exemplo, teve uma queda de 60% nos últimos 6 anos em homicídios. E no Rio a gente percebe que existe um..., mantém o mesmo patamar alto de violência. Por que no Rio de Janeiro as coisas não..., pelo menos os índices não caem?
9|21/05/2007|José Junior|10|José Junior| Eu não sou da área de segurança pública, não me sinto nem com informações suficientes, não tenho dados para te responder isso. Mas eu acredito também que o Rio de Janeiro, ele vive uma certa segregação social muito grande. E, ao mesmo tempo, é a cidade mais democrática do Brasil. São poucas as cidades que você vê... Por exemplo, na praia de Ipanema, você consegue ver pessoas da classe média, classe alta misturadas com a favela, com artistas. Então, assim, eu acho que realmente tem os seus alarmantes, também tem muito a ver, porque o tráfico no Rio praticamente faliu. E com a falência do tráfico, a máquina não pode parar. Então, eles vão para as ruas, muitas vezes acabam cometendo assaltos, delitos e etc e tal. Eu digo para você o seguinte: o trabalho do AfroReggae, a gente consegue hoje tirar muitas pessoas do crime, e sem metodologia complexa. Na verdade, a questão da oportunidade, da auto-estima, pode parecer muito simples diante desse caos urbano, que não só o Rio de Janeiro vive, como o Brasil, como um todo. Você percebe que quando tem um tipo de investimento que vai em educação, cultura, geração de renda, você consegue, na verdade, diminuir bastante o índice de pessoas envolvidas com a criminalidade.
10|21/05/2007|José Junior|11|Paulo Lins| A pessoa sai da criminalidade, o cara está lá, está no tráfico de drogas, está há 10 anos. Como eu vi aqui na reportagem que eu li sobre você, sobre o AfroReggae. Ela sai de lá, ela vai fazer o quê? Ela vai ficar empregada no AfroReggae, ela vai fazer alguma coisa, ela tem emprego? O AfroReggae dá um caminho para essa pessoa seguir?
11|21/05/2007|José Junior|12|Mario Cesar Carvalho| Ela ganha salário? Porque é o seguinte: o tráfico, a impressão que se tem, é que ele seduz, porque ele é uma alternativa econômica muito eficiente.
12|21/05/2007|José Junior|13|Paulo Lins| Status também.
13|21/05/2007|José Junior|14|Mario Cesar Carvalho| Status e dinheiro em caixa, na carteira. O AfroReggae consegue trabalhar com esse mesmo poder?
14|21/05/2007|José Junior|15|José Junior| No caso de ganhos geral, como nas comunidades que nós estamos trabalhando, nós pagamos mais do que a boca de fumo, financeiramente falando.
15|21/05/2007|José Junior|16|Mario Cesar Carvalho| A boca de fumo é o seu padrão, você se compara com ela?
16|21/05/2007|José Junior|17|José Junior| Comparo na questão de metodologia, muitas vezes. A gente utiliza as mesmas técnicas de sedução, que muitas vezes o tráfico utiliza para atrair os jovens. O desejo de pertencer a um grupo estruturado, status e auto-estima. Tem uma questão que a gente fala bastante que é o seguinte: o jovem que está envolvido com tráfico, ele é um empreendedor. Se questiona as técnicas de empreendedorismo que ele utiliza. Quando você investe e você possibilita que ele possa colocar alguns desejos, no caso da gente, usamos muito através da música, da cultura, da arte, e algumas vezes focando, formando esse cara num multiplicador. Nós temos absorvido muita mão-de-obra, contratando essa mão-de-obra, fazendo com que essa mão-de-obra, ela possa estar atuando, ela possa estar trabalhando.
17|21/05/2007|José Junior|18|Mario Cesar Carvalho| Quantas pessoas? Só para ter uma idéia.
18|21/05/2007|José Junior|19|José Junior| No tráfico?
19|21/05/2007|José Junior|20|Mario Cesar Carvalho| Para quantos você paga salário?
20|21/05/2007|José Junior|21|José Junior| A nossa folha hoje está passando de 200.
21|21/05/2007|José Junior|22|Mario Cesar Carvalho| Você não se sente enxugando o gelo nessa luta..., que eu aparentemente... me parece desigual?
22|21/05/2007|José Junior|23|José Junior| Não me sinto, porque eu estou vendo cair, na verdade, a questão mesmo de mitificação. Hoje, o Rio de Janeiro produziu vários ícones no Rio de Janeiro, O Mv Bill , por exemplo, o que faz com que muitos jovens tentem se espelhar, seguir aquele caminho. Só que eu acho que faltam mais pessoas como Paulo Lins , de verdade, que é uma pessoa que veio da Cidade de Deus, que é um grande intelectual, que é uma grande referência. Os jovens têm que começar a perceber pessoas como Paulo. Eu acho que são figuras fundamentais e importantes que, às vezes, o cara, ele prefere se identificar mais com AfroReggae, porque é artista, porque é mais na área cultural, do que numa figura como Paulo Lins. O AfroReggae quer formar novos Paulo Lins também. Acho que para a gente isso é importante. A gente não está formando ainda intelectuais, mas queremos formar.
23|21/05/2007|José Junior|24|Paulo Lins| Isso que eu ia te perguntar. Queria saber se existe um trabalho efetivo para formar engenheiro, que bote o sujeito no caminho da educação? Porque, não se pode pensar que todo..., como você mesmo fala, todo negro favelado vai virar artista ou jogador de futebol. Não vai. Então, há um trabalho efetivo, por exemplo, o Ceasm , o Jailson faz isso, há uma ligação com que pegue...
24|21/05/2007|José Junior|25|Paulo Markun| É preciso explicar para o Brasil inteiro o que quer dizer essas...siglas né...
25|21/05/2007|José Junior|26|Paulo Lins| Ceasme é um centro de...,Eu não sei. É um pré-vestibular dentro da favela do Maré, que já tem mais de 10 anos, que prepara o jovem para acompanhar a escola, para entrar na universidade. Então, existe assim uma ligação entre você e o pessoal do Ceasm, existe um trabalho, vocês pensam em fazer alguma coisa?
26|21/05/2007|José Junior|27|José Junior| Tenho uma simpatia muito grande. O trabalho deles é uma grande referência. Mas, agora, a gente acabou de fechar uma parceria com o Banco Real, que a gente vai trabalhar muito com crédito universitário voltado para essas comunidades, comunidades populares. Então, eu acho que vai ter um estímulo muito grande em cima disso.
27|21/05/2007|José Junior|28|Âmbar de Barros| Você falou em crédito escolar. Eu queria saber como você avalia e se há um impacto dessas políticas sociais do governo federal nas favelas em que vocês trabalham, especialmente o Pro-Uni e o Bolsa Família. Tem algum, os meninos estão conseguindo?
28|21/05/2007|José Junior|29|José Junior| Do AfroReggae ninguém está envolvido nesses programas sociais do governo federal. Na verdade, pode ser até ignorância da minha parte. Mas eu não conheço nenhuma organização que trabalhe com esses programas no Rio de Janeiro, deve ter muitas.
29|21/05/2007|José Junior|30|Âmbar de Barros| Não, a minha pergunta é se você nota alguma diferença nas comunidades em que vocês trabalham, algum impacto desses programas?
30|21/05/2007|José Junior|31|José Junior| Alguns programas... Vários programas do governo federal, sim. Esses dois, especificamente, não, eu não percebo.
31|21/05/2007|José Junior|32|Âmbar de Barros| Quais impactos?
32|21/05/2007|José Junior|33|Jorge Antônio de Barros| Eu queria voltar à questão do tráfico, se você me permite. Pesquisas mostram que um a cada quatro jovens acaba ingressando no tráfico de drogas hoje no Rio.
33|21/05/2007|José Junior|34|José Junior| Que pesquisa? Eu não conheço.
34|21/05/2007|José Junior|35|Jorge Antônio de Barros| Pesquisa? Se eu não me engano, uma pesquisa da Fio Cruz, que foi divulgada há algum tempo. De qualquer forma é grande o volume de jovens ainda ingressando no tráfico.
35|21/05/2007|José Junior|36|José Junior| É pouco, perto do impacto que tem, muito pouco. Na verdade, é tão pouco jovem envolvido com a criminalidade. Na verdade, o barulho que é muito grande.
36|21/05/2007|José Junior|37|Jorge Antônio de Barros| Mas, de qualquer forma, o que eu queria saber de você é o seguinte: como o chefe do tráfico, nessas áreas onde vocês atuam, encaram essa potencial redução da mão-de-obra, na medida em que vocês tiram os jovens do tráfico?
37|21/05/2007|José Junior|38|José Junior| A gente nunca teve problema. Isso não quer dizer que a gente não venha a ter.
38|21/05/2007|José Junior|39|Jorge Antônio de Barros| Nunca houve ameaças?
