DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
01/01/2006|José Manuel Durão Barroso|1|[Programa gravado não permitindo a participação de telespectadores]|Programa gravado não permitindo a participação de telespectadores]
01/01/2006|José Manuel Durão Barroso|2|Paulo Markun|Boa noite, ele dirige o maior bloco de países já reunidos no processo de integração ao longo da história do mundo. São 25 nações com povos, línguas e culturas diferentes que já viveram os piores conflitos da humanidade no passado. Mas superaram barreiras, abriram fronteiras e hoje formam uma região unificada com mais de 450 milhões de habitantes. É o maior bloco comercial do mundo e um parceiro de peso do Brasil. O nosso convidado desta noite é o português José Manuel Durão Barroso, presidente da Comissão Européia, o órgão executivo da União Européia. José Manuel Durão Barroso tem uma carreira política influenciada pela vida acadêmica, voltado às questões internacionais. Exerceu vários cargos em Portugal, antes de assumir o cargo de representante máximo da União Européia. Vamos ver.
01/01/2006|José Manuel Durão Barroso|3|[Comentarista]|O português José Manuel Durão Barroso, 51 anos, é presidente da Comissão Européia, o organismo supranacional que administra as políticas comuns dos 25 Estados membros. Ele veio ao Brasil para discutir a cooperação entre o Mercosul  e a União Européia, que já é a maior parceira comercial da região. Lisboeta, filho de pais trasmontanos, Durão Barroso militou em um grupo de inspiração maoísta , cursava a faculdade de direito, quando o movimento de 25 de abril de 1974 derrubou a ditadura salazarista . Formado, Durão Barroso tornou-se assistente universitário, depois fez mestrado e pós-graduação em ciência política em Genebra, na Suíça, e lecionou em Washington. Inscreveu-se no Partido Social Democrata, de centro-direita, em dezembro de 1980, e nele continua até hoje. Depois de dois cargos de segundo escalão, Durão Barroso tornou-se ministro dos Negócios Estrangeiros no governo de Cavaco Silva , ajudou a fechar um acordo que interrompeu a guerra civil em Angola e divulgou a causa da independência do Timor Leste . Entre 2002 e 2004, Durão Barroso foi primeiro ministro de Portugal e pediu demissão para concorrer à presidência da Comissão Européia e, desse modo, tornou-se o primeiro presidente português a vencer. A União Européia é o maior bloco comercial do mundo e o principal econômico do Brasil, a frente dos Estados Unidos, da China e do próprio Mercosul. Um dos problemas na relação comercial é o subsídio agrícola, que o Brasil aponta como um entrave ao desenvolvimento de seu agronegócio, esse é um ponto importante nas conversas do presidente da Comissão Européia no Brasil. Durão Barroso espera obter um acordo de associação entre o Mercosul e a União Européia nos moldes do que já foi estabelecido com o México.
01/01/2006|José Manuel Durão Barroso|4|Paulo Markun|Para entrevistar o presidente da Comissão Européia, José Manuel Durão Barroso, nós convidamos Luiz Nassif, comentarista de economia da TV Cultura; João Batista Natali, repórter especial do jornal Folha de S.Paulo; Maria Lúcia Pádua Lima, coordenadora do Centro de Estudos Estratégicos Internacionais da Escola de Administração de Empresas da Fundação Getúlio Vargas; Cláudia Mancini, editora executiva do jornal Gazeta Mercantil; Reinaldo Azevedo, diretor de redação da revista e do site Primeira Leitura; e André Lahóz, redator chefe da revista Exame. Também temos a participação de Paulo Caruso registrando em seus desenhos os momentos e os flagrantes do programa. Boa noite, presidente.
01/01/2006|José Manuel Durão Barroso|5|José Manuel Durão Barroso|Boa noite.
01/01/2006|José Manuel Durão Barroso|6|Paulo Markun|Eu queria começar pelo seguinte: nós, que temos aqui, na América Latina, uma situação muito mais fácil de integrar do que a Europa, ficamos absolutamente abismados com a engenharia que permitiu aqueles países tão distantes entre si, com enorme contenciosos de guerras seculares e línguas diferentes, se integrar. Qual foi o segredo para que isso desse certo? Foi a Segunda Guerra Mundial?
01/01/2006|José Manuel Durão Barroso|7|José Manuel Durão Barroso|Digamos que sim. Foi precisamente logo após a Segunda Guerra Mundial que, essencialmente a França e Alemanha, no processo de reconciliação, procuraram superar todas essas dificuldades construindo uma integração econômica, mas com um objetivo político. E aquilo que nós chamamos dos pais fundadores da Europa, entre os quais os franceses Robert Schuman  e Jean Monnet . O próprio Robert Schuman vindo da Alsácia, uma zona que esteve em disputa entre a França e a Alemanha, e outros como Alcide de Gasperi  da Itália, Konrad Adenauer , todos eles têm uma idéia que era a de avançar por passos de integração prática, do ponto de vista econômico, mas com um objetivo, sobretudo, político, que era não haver mais guerra. E começamos com seis, no próximo ano vamos comemorar os cinquenta anos do Tratado de Roma, da fundação da comunidade econômica do país, mas, na verdade, de seis passou para nove , depois 12, foi aí que entraram Portugal e Espanha, em 1986. E, agora, somos 25  e muito em breve seremos 27, cerca de quinhentos milhões de cidadãos.
01/01/2006|José Manuel Durão Barroso|8|Paulo Markun|Esse crescimento não ameaça, digamos, justamente a solidez dessa união, já que os países que estão entrando agora, muitas vezes, têm uma situação extremamente distante daqueles países que são os pilares da União Européia?
01/01/2006|José Manuel Durão Barroso|9|José Manuel Durão Barroso|Esse é o grande desafio sobre o qual também há um debate. Mas deixe-me dizer que, neste ano e meio  presidente da Comissão Européia, acho que não é uma dificuldade. Pelo contrário, é uma grande vantagem. Eu posso dizer que hoje, quando me encontro com o presidente da China, o presidente da Rússia, o presidente dos Estados Unidos, a Europa é muito mais respeitada, muito mais considerada do que há alguns anos, por exemplo, em 1992, eu era ministro do governo de Portugal e tínhamos a presidência rotativa da União Européia, que fazia o mesmo, porque agora a dimensão conta, neste mundo global, a dimensão pode fazer a diferença. Por isso eu acho que é uma condição para a Europa potência ser uma Europa alargada, desde que consigamos, ao mesmo tempo, manter os princípios fundadores, ou seja, a solidariedade, a coesão e não permitamos que a União Européia se transforme em um mercado, apenas. Não é um mercado. É também um mercado, mas não é só um mercado. É uma construção com objetivos políticos e também de solidariedade, de coesão social.
01/01/2006|José Manuel Durão Barroso|10|João Batista Natali|Presidente, me perdoe interrompê-lo nessa sua versão "conto de fadas" a respeito da União Européia. Obviamente, tudo isso funcionou durante os primeiros 48 anos, quando a União Européia sempre andou para frente, a partir do ano passado, ela sofreu um revés muito forte que foi o fato de a França e a Holanda, em plebiscitos, terem rejeitado a Constituição. Desde então é praticamente um consenso entre os europeus que a União Européia se encontra em crise de identidade. Então, digamos, que nós não estamos em um percurso linear e glorioso, como o senhor acaba de descrever, nós estamos em um momento muito delicado, em termos de o que se fazer com a União Européia. Deu-se o prazo de um ano, esse prazo de um ano já venceu e, até agora, nós não temos resposta de como dar novos passos adiante...
