|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|23/06/2008|José Miguel Wisnik|1|[Programa ao vivo, permitindo a participação dos telespectadores]|
1|23/06/2008|José Miguel Wisnik|2|Lillian Witte Fibe| Boa noite. Ele é conhecido como um professor de literatura que toca piano e compõe músicas. Mas para muita gente é o contrário: trata-se, antes de tudo, de um compositor e pianista que também dá aulas de literatura. Ele mesmo, por muito tempo, se dividiu entre essas especialidades. Até que resolveu abraçar para valer as duas causas. É autor de ensaios, crítica, poesia, letras e músicas e várias trilhas para cinema, teatro e espetáculos de dança. Agora, acrescentou ao conjunto da obra também o futebol, a sua terceira paixão e tema do livro que está lançando. No Roda Viva hoje o entrevistado é José Miguel Wisnik. Ao escrever agora sobre futebol, José Miguel Wisnik amplia o que já vinha fazendo através da literatura e da música para entender melhor o Brasil, nossa formação social, nosso imaginário. Uma proposta diferente dos seus sonhos de juventude. Ele estudou para ser pianista erudito e um concertista.
2|23/06/2008|José Miguel Wisnik|3|[Vídeo de José Miguel Wisnik, se apresentando ao piano, narrado por Valéria Grilo]|" Cantando e tocando piano, em estúdios e palcos. Uma cena que se tornou comum no que se poderia chamar de segunda fase da vida profissional de José Miguel Wisnik. Paulista do litoral, nascido em São Vicente, dividiu o tempo de infância entre a escola, o campinho de futebol e o conservatório musical, onde se formou em piano, fazendo aperfeiçoamento mais tarde com o maestro Souza Lima. Queria ser um concertista. Por isso estudou muitos anos, mergulhado em Bach, Beethoven, Chopin. Prelúdios e noturnos marcaram seu modo de tocar e a harmonia calma e sutil que mais tarde revelaria em suas músicas. Mas o projeto de se tornar um pianista erudito começou a mudar aos 18 anos, quando Wisnik saiu de São Vicente para estudar em São Paulo. Foi fazer o curso de letras da Faculdade de Filosofia da USP em 1967, tempos de agito político e cultural. Os festivais da Record e do Paramount chamaram a atenção de José Miguel Wisnik para a música popular, ao mesmo tempo em que aumentava seu envolvimento com a literatura. Mas a carreira acadêmica falou mais alto. Entrou na faculdade como músico e saiu como professor de literatura. Durante anos, dividido entre música e literatura, produziu ensaios, críticas, poesias, além de composições. Mas a música ficava restrita ao círculo de amigos. Nos anos 90, e aos poucos, ele foi abrindo isso ao público, produzindo trilhas sonoras para espetáculos de dança e teatro. O primeiro CD, que leva seu nome, veio em 1993. Depois foram mais dois álbuns: São Paulo Rio, de 2000 e Pérolas aos poucos, de 2003. Também teve músicas gravadas por vários intérpretes da MPB. Mestrado e doutorado em teoria literária, suas teses relacionaram e fizeram a aproximação entre música e literatura, o que rendeu a publicação de livros como O coro dos contrários, que fala da música em torno da Semana de Arte  de 22 , Sem receita – ensaios e canções, O som e o sentido e um song book, com letras e partituras de 33 músicas de seus três CDs. Agora, em novo livro, José Miguel Wisnik escreve mais de quatrocentas páginas sobre sua terceira paixão, cultivada desde a infância. Santista de carteirinha, viveu o melhor do futebol dos anos sessenta, em plena era Pelé. Quando o ""rei"" virou filme, José Miguel foi correndo ao cinema. Pegou a primeira sessão, no primeiro dia de exibição de Pelé eterno. Em Veneno remédio, Wisnik busca decifrar a experiência total do futebol na vida brasileira. Um estudo de dentro e de fora do campo, que coloca em cena dilemas da nação e de nossa vida social. E onde craques como Pelé e Romário ""trocam passes"" com filósofos, sociólogos, escritores, compositores populares, críticos e artistas na tentativa de compreender um fenômeno que, para o bem ou para o mal, é a cara do Brasil."
3|23/06/2008|José Miguel Wisnik|4|Lillian Witte Fibe| Para entrevistar José Miguel Wisnik, convidamos: o jornalista Oscar Pilagallo; Vladir Lemos, apresentador e editor-chefe do programa Cartão Verde, da TV Cultura; Arthur Nestrovski, músico e articulista do jornal Folha de S.Paulo; Fred Melo Paiva, editor do caderno Aliás do jornal O Estado de S. Paulo. Também está aqui com a gente a Laís Duarte, a repórter da TV Cultura que traz para o programa, como sempre, as perguntas enviadas por vocês, pelo público, telespectadores e internautas. E também está com a gente Paulo Caruso, que vai desenhar os momentos do programa com o seu impagável bom humor de sempre. Boa noite, Wisnik.
4|23/06/2008|José Miguel Wisnik|5|José Miguel Wisnik| Boa noite.
5|23/06/2008|José Miguel Wisnik|6|Lillian Witte Fibe| Eu vou subverter um pouco o assunto do nosso programa e começar lhe perguntando sobre o que aconteceu no Morro da Providência , no Rio de Janeiro. Que esperança a gente pode ter numa cidade que é tão alegre, que é tão impregnada da cultura brasileira, enfim, tendo faculdades, algumas das melhores do Brasil, onde a gente viu o que a gente viu: os militares não só interceptam três rapazes no meio da rua como descumprem ordem de patentes superiores. Descumpriram ordem do capitão que mandou eles soltarem os meninos e os entregaram para os traficantes matarem. Que horizontes, você, como pensador privilegiado que é do Brasil, depois de toda essa sua reflexão nesse seu livro de 400 páginas e tudo o mais, o que lhe parece? Que horizonte a gente pode ver no Rio de Janeiro?
6|23/06/2008|José Miguel Wisnik|7|José Miguel Wisnik| Puxa, uma pergunta que salta diretamente para um ponto que é talvez o ponto nevrálgico da coisa toda. Eu vou responder um pouco recorrendo ao livro Veneno remédio, porque o livro não por acaso se chama Veneno remédio.
7|23/06/2008|José Miguel Wisnik|8|Lillian Witte Fibe| : Pois é, eu pensei também nisso.
8|23/06/2008|José Miguel Wisnik|9|José Miguel Wisnik|" Exatamente, porque tem tudo a ver com a pergunta que nós sempre nos fazemos, na verdade, sobre o Brasil. O que me levou a escrever, por exemplo, foi o fato de que tantas vezes nós temos do Brasil uma visão positiva, mesmo paradisíaca, feliz, de uma grande reserva de alegria e de uma capacidade de criatividade popular que se expressa de tantas formas como a música, o futebol... Em suma, é isso que a gente pode chamar de uma ""tecnologia de ponta do ócio"", que o mundo reconhece no Brasil. Ao mesmo tempo que a gente vê, se depara com aspectos terríveis, sombrios e tão complexos porque tão entranhados, tão enredados que parece que a gente não vê saída para uma tal fusão como, no caso, entre a ordem estabelecida, representada pelo Exército presente numa favela e o fato de que é desta mesma ordem que sai de elementos do Exército um conluio com o crime organizado, com a guerra entre favelas e se faz disso um crime terrível, que é o resultado mais assombroso da combinação da ordem com a desordem, como se essas duas coisas se tornassem uma só. Isso está no cerne de uma questão brasileira que vem desde... no livro é tratada, por exemplo, através do ensaio de Antônio Cândido , chamado Dialética da malandragem, que fala do Rio de Janeiro, do romance do século 19, que é Memórias de um sargento de milícias , um romance que Antônio Cândido, quando analisou, disse que ali tinha uma forma de sociabilidade em que era normal que ordem e desordem se misturassem, para o bem – na visão dele – de uma sociabilidade não muito rígida, não muito culpada que tem uma propensão democrática. A mesma que, na verdade, produziu o samba, o futebol e o carnaval, que é essa capacidade de combinar até um lugar de contravenção com..."
9|23/06/2008|José Miguel Wisnik|10|Lillian Witte Fibe| Aliás, os meninos voltavam de um baile funk.
