DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
25/12/2006|José Mindlin|1|[Programa gravado, não permitindo a participação de telespectadores]|Programa gravado, não permitindo a participação de telespectadores]
25/12/2006|José Mindlin|2|Paulo Markun|Boa noite. Jornalista, advogado e empresário, criador do maior acervo particular de livros do Brasil. A própria vida dele, que já deu em parte um livro, mereceria outro bem mais volumoso, tanto pela obstinação de construir uma empresa nacional, que virou multinacional e marcou a história da indústria automobilística brasileira, quanto pela paixão, quase cega, que o levou a criar a maior biblioteca particular do Brasil. O Roda Viva entrevista, esta noite, o empresário, por acaso, e intelectual, por vocação, imortal da Academia Brasileira de Letras, José Mindlin, o homem dos livros. Você vê a entrevista num instante.
25/12/2006|José Mindlin|3|[intervalo]|intervalo]
25/12/2006|José Mindlin|4|Paulo Markun|Aos 92 anos, José Mindlin é unanimidade na vida cultural e empresarial de São Paulo. Construiu uma carreira marcante na indústria paulista ao mesmo tempo em que se tornou um incentivador das artes. A confessada compulsão por leitura fez dele um grande amante dos livros e o mais importante bibliófilo brasileiro.
25/12/2006|José Mindlin|5|[Comentarista]|O empresário Mindlin e o bibliófilo Mindlin andaram juntos muitos anos, mas se separaram um dia. O empresário sai de cena e o bibliófilo assumiu, em período integral, a paixão pelos livros que passou a cultivar aos 13 anos. Filho de imigrantes judeus russos, José Mindlin nasceu em São Paulo, em 1914. Ainda jovem, e já despertado pela literatura, trabalhou como jornalista e depois cursou a Faculdade de Direito da Universidade de São Paulo. Foi através da advocacia, em 1950, que acabou se tornando empresário. Chamado para redigir um contrato de sociedade, virou sócio de uma pequena fábrica de pistões e buzinas, para motores de automóveis. Assim nasceu a Metal Leve, mais tarde um gigante do setor de autopeças no Brasil, com sete mil funcionários, exportações para mais de 50 países, e duas fábricas nos Estados Unidos. No comando da empresa, Mindlin se tornou um dos mais importantes líderes empresariais no Brasil. Crítico do regime militar e da política econômica, integrou a lista de empresários que, em 1978, lançou um manifesto pedindo a abertura política do então presidente Geisel . Incentivador das artes, conhecido nos meios intelectuais, presidiu as mais importantes entidades coorporativas da indústria e foi conselheiro de várias empresas e instituições, inclusive na área cultural. Em 1975, no governo Paulo Egídio Martins , Mindlin assumiu a Secretaria da Cultura, Ciência e Tecnologia do Estado de São Paulo. Foi quando enfrentou um momento duro em sua vida pública, o episódio da prisão e morte do jornalista Vladimir Herzog, que o próprio Mindlin havia indicado para dirigir o departamento de jornalismo da TV Cultura. Na vida empresarial o momento difícil surgiu nos anos 90, com os efeitos da globalização e da abertura econômica. Sem fôlego e tempo para se adaptar à concorrência internacional, a Metal Leve foi vendida em 1996 para a sua principal concorrente, uma multinacional alemã. Sorte da biblioteca, que durante todos aqueles anos também cresceu e se aprimorou com a ajuda de Guita Mindlin, a mulher do bibliófilo, também contaminada pela paixão do marido. Guita, falecida em agosto de 2006, foi uma especialista em restauração e encadernação de livros, deixando também sua marca na coleção que ajudou a formar em 68 anos de vida comum. Espalhada pela casa, a biblioteca centralizou a história do casal Mindlin, além de guardar parte importante da história da própria humanidade, da literatura e do próprio livro. São 38 mil títulos, perto de 60 mil livros e documentos, abrangendo 500 anos de história. Livros de arte, crítica literária, manuscritos, raridades da tipografia e da arte da encadernação, obras completas e originais da literatura estrangeira, além de um precioso conjunto de títulos brasileiros, que formam a Biblioteca Brasiliana Guita e José Mindlin, recentemente doada à Universidade de São Paulo. O caçador de livros que passou grande parte do tempo revirando sebos e livrarias no Brasil e no exterior, e que escreveu em livros sua própria vida, entre livros, diz que não é um colecionador. A principal motivação de sua biblioteca sempre foi e continua ser a leitura.
25/12/2006|José Mindlin|6|[VT com José Mindlin]|"São amigos silenciosos e permanentes, e que não criam caso".
25/12/2006|José Mindlin|7|Paulo Markun|Para entrevistar José Mindlin, nós convidamos Manuel da Costa Pinto, coordenador editorial do Instituto Moreira Salles, colunista do jornal Folha de S. Paulo e colaborador do programa Entrelinhas da TV Cultura; Daniel Piza, editor-executivo do jornal O Estado de S. Paulo; Norma Couri, colunista do Jornal do Brasil e correspondente da revista portuguesa Visão; Alberto Quartim de Moraes, editor da editora Comics; Luís Krausz, editor da revista Dezoito e Luís Francisco de Carvalho Filho, diretor da Biblioteca Municipal Mário de Andrade. Também temos a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Mas como o programa de hoje está sendo gravado, ele não permite a participação direta do telespectador. De todo modo, você pode mandar sua crítica, sua sugestão, sua observação pelo site do programa, que é: www.tvcultura.com.br/rodaviva . Boa noite, doutor Mindlin. É um prazer ter o senhor aqui. E eu queria saber, antes de mais nada, como é que o senhor pode, digamos, conviver com tantos livros sabendo que não há tempo disponível na vida de qualquer pessoa para lê-los todos.
25/12/2006|José Mindlin|8|José Mindlin|Normalmente a gente tem a ilusão que vai poder ler muitos mais livros do que a gente consegue. Agora, a convivência com livros é muito agradável e quase que independente da leitura. A gente passa e os livros ficam, de modo que outros lerão os livros que eu não li.
25/12/2006|José Mindlin|9|Alberto Quartim de Moraes|Doutor Mindlin, boa noite. Permita-me, antes de qualquer coisa, expressar a enorme honra que significa para o profissional do livro, como eu, ter o privilégio de estar participando da bancada da entrevista neste programa. Eu estou certo que eu expresso o sentimento de todos os amantes do livro, no Brasil e no mundo, ao apresentar ao senhor a enorme admiração e respeito que eu tenho por tudo que o senhor fez ao longo de mais de 50 anos, não apenas como empresário, ou como bibliófilo, que já não é pouca coisa, mas, sobretudo, como exemplo de cidadão. Muito obrigado por existir, doutor Mindlin.
25/12/2006|José Mindlin|10|José Mindlin|Eu é que agradeço as referências.
