DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
05/04/1993|José Richa|1|Jorge Escosteguy|Boa noite. No Roda Viva que começa agora pela TV Cultura de São Paulo, nós vamos ao terceiro e último debate sobre o plebiscito do dia 21 de abril. Já tivemos aqui dois programas: o primeiro pelo deputado Cunha Bueno , sobre a monarquia; e o segundo com o senador Marco Maciel , sobre o presidencialismo. Hoje nós vamos falar de parlamentarismo. No centro da roda está sentado o senador José Richa, presidente da Frente Parlamentarista Ulysses Guimarães. José Richa tem 58 anos, foi deputado Federal pelo antigo PDC e depois pelo MDB. Eleito prefeito de Londrina em 1972, senador em 1978, foi governador do Paraná e novamente senador, hoje pelo PSDB. Para entrevistar o senador José Richa esta noite no Roda Viva nós convidamos: Fernando Mitre, diretor executivo do Jornal da Tarde; Clóvis Rossi, repórter do jornal Folha de S. Paulo; Carlos Alberto Sardenberg, diretor de jornalismo da TV Bandeirantes; Carlos Augusto Setti, correspondente da TV Cultura em Brasília; Marcos Emílio Gomes, sub-editor da revista Veja; Mauro Chaves, editorialista e articulista do jornal O Estado de S. Paulo, e o jornalista, Paulo Markun. Boa noite, senador.
05/04/1993|José Richa|2|José Richa|Boa noite.
05/04/1993|José Richa|3|Jorge Escosteguy|Como os outros dois presentes ao Roda Viva, nós começamos falando um pouco sobre o programa eleitoral. E eu começarei com o mesmo assunto, contando um pouquinho uma história rapidinha. Esses dias atrás, na semana passada, eu participei de um debate sobre o plebiscito num colégio onde estudam os meus filhos, meus quatro filhos, no Galileu Galilei. E aí nesse debate compareceram dois parlamentaristas, um do PSDB e outro, digamos “com o pé” no PSDB. Os dois faziam duras críticas ao programa do PSDB, dizendo que era um programa indeciso, um programa que não chegava...
05/04/1993|José Richa|4|José Richa|Mas chegou?
05/04/1993|José Richa|5|Jorge Escosteguy|Da frente , digo do PSDB os dois, perdão. Da frente. É, dizendo que era um programa indeciso, um programa que não explicava direito as coisas, que estava perdendo num discurso para, principalmente, os presidencialistas. E os dois se perguntavam... Então, de repente um deles perguntou: “Mas afinal, quem dá sustentação hoje ao programa dos parlamentaristas?” E na sustentação - aí o senhor pode entender inclusive o sentido mais amplo da palavra - os dois mencionavam o governador do estado de São Paulo, Luiz Antônio Fleury  e o prefeito de São Paulo Paulo Maluf. Aí um dizia: “O governador Fleury é parlamentarista pero no mucho e o prefeito Paulo Maluf...”. Aí olharam-se os dois. E aí eu perguntaria para o senhor, principalmente em função dos últimos acontecimentos do lançamento do novo partido agora, pelo prefeito Paulo Maluf. Ele que é tido como um uma opção de um setor da sociedade brasileira para enfrentar, por exemplo, o Luiz Inácio Lula da Silva, do PT, numa eleição presidencial. Eu lhe pergunto: o senhor acredita pia e honestamente que o prefeito Paulo Maluf é parlamentarista?
05/04/1993|José Richa|6|José Richa|É muito difícil a gente julgar as pessoas. Mas a gente tem que ter boa fé. Eu tenho boa fé, eu acho que se ele se pronunciou em favor do parlamentarismo, eu não tenho nenhuma razão para duvidar das suas intenções, eu vou considerar um parlamentarista até o dia do plebiscito...
05/04/1993|José Richa|7|Jorge Escosteguy|Mas, a sua dúvida pessoal, desculpe, independente da sua intenção.
05/04/1993|José Richa|8|José Richa|Não, eu não tenho o direito de ter uma opinião pessoal e fazer um julgamento subjetivo do que passa por dentro das pessoas. Eu tenho é que confiar. Se ele deu declarações, com a respeitabilidade dele, eu tenho a impressão que ele é parlamentarista mesmo, por que duvidar? Eu até estranho a pergunta...
05/04/1993|José Richa|9|Jorge Escosteguy|Agora, desculpe, eu estava perguntando, se eram dois, dois...
05/04/1993|José Richa|10|José Richa|Não tem o que duvidar. Se ele declara, eu não vou avaliar. Pelo contrário, eu vou estimulá-lo a trabalhar cada vez mais em favor do parlamentarismo.
05/04/1993|José Richa|11|Jorge Escosteguy|Agora, e quanto ao programa dos parlamentaristas? Ou seja, uma das críticas que se faz é de que ele é um pouco parecido com o PSDB, ele é um pouco indeciso. Ou seja, ele acredita no parlamentarismo, mas se não der certo, daqui a 4 anos tem um referendo.
