DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
21/10/1996|José Wilker|1|Matinas Suzuki|Boa noite. Ele está lançando o livro Como deixar um relógio emocionado e será Antônio Conselheiro no cinema nacional. No centro do Roda Viva está José Wilker.
21/10/1996|José Wilker|2|[Exibição de vídeo sobre o entrevistado]|Exibição de vídeo sobre o entrevistado]
21/10/1996|José Wilker|3|[Comentarista]|José Wilker nasceu à meia-noite do dia 20 de agosto de 1947, em Juazeiro do Norte, no Ceará. Passou a adolescência em Recife e foi parar no Rio de Janeiro, onde está até hoje. Ator, diretor, produtor, escritor e apresentador, além de colunista do Jornal do Brasil e crítico de cinema, aliás, amante de cinema. Entre as várias novelas da carreira, ele foi Mundinho Falcão, em Gabriela , viveu Roque Santeiro , participou de O salvador da pátria , Final feliz , e interpretou o coronel Belarmino, em Renascer . Nas minisséries, se destacou no papel de um banqueiro em Anos rebeldes . No teatro – outra paixão nessa vida de poligamia com as artes – dirigiu e atuou em dezenas de peças. Já houve época em que José Wilker filmava em Hollywood, dirigia uma casa de cultura e uma peça de teatro no Rio de Janeiro, ao mesmo tempo em que negociava papéis em novelas. José Wilker trabalha em novo projeto: logo ele aparecerá como Antônio Conselheiro, no filme Canudos , de Sergio Rezende.
21/10/1996|José Wilker|4|Matinas Suzuki|Bem, para entrevistar, esta noite, José Wilker, nós convidamos o diretor de teatro Ulysses Cruz; a Lorena Calábria, apresentadora do programa Metrópolis, aqui da TV Cultura; o escritor Ivan Ângelo, editor-executivo do Jornal da Tarde; o cineasta Ugo Giorgetti, diretor de filmes comerciais e também do filme Sábado , considerado um dos melhores filmes brasileiros dos últimos tempos; Amir Labaki, que é crítico de cinema da Folha de S. Paulo e diretor  do festival É tudo verdade .  Boa noite, José Wilker!
21/10/1996|José Wilker|5|José Wilker|Boa noite! 
21/10/1996|José Wilker|6|Matinas Suzuki|Você, como nós dissemos na apresentação, está lançando o livro Como deixar um relógio emocionado — estou aqui mostrando  — , pela livraria Scrita, e uma coisa... Bom, a gente já vem acompanhando você escrevendo sobre cinema no Jornal do Brasil, essa coisa toda. Agora, de onde veio a idéia de você escrever? De quem partiu a idéia? Você já tinha vontade de escrever... sobre cinema?
21/10/1996|José Wilker|7|José Wilker|Olha, eu comecei a escrever desde que comecei a trabalhar como ator. Porque o grupo com o qual eu comecei a trabalhar era um grupo que fazia um tipo de teatro para o qual não havia repertório. A gente fazia teatro como uma espécie de suporte para a alfabetização de adultos e como uma espécie de suporte para campanhas políticas. Quando Arraes , em Pernambuco, tomou posse na prefeitura, ele criou uma coisa chamada Movimento de Cultura Popular, e o teatro era o setor desse movimento. Então, para o que a gente tinha que contar, não havia dramaturgia. Então, a gente escrevia, dirigia, fazia cenografia, fazia o figurino e, felizmente, não era a platéia . Daí, quer dizer, não deixei de escrever esse tempo todo, mas só para teatro. Quando me convidaram para escrever regularmente para o jornal, eu passei por um período de uns dois meses em crise, para decidir se eu topava ou não, na medida em que, em teatro, atualmente, eu perco dez anos da minha vida escrevendo uma peça . E o jornal come uma coluna por semana! Vai chegando a quinta-feira, vai ficando um desespero , porque você tem que descobrir o assunto, tem que montar o assunto, botar aquilo em ordem e associar aquilo a cinema. Mas, agora, de uns tempos para cá, mesmo quando eu tenho dificuldade em encontrar o tom, a frase inicial, tem sido um grande prazer, para mim, escrever. Tem sido uma forma de botar em ordem o que eu penso — ou desordenar, talvez — o que eu penso, e isso acabou me ajudando a escrever para teatro. Hoje, eu demoro um pouco menos que dez anos para escrever uma peça de teatro .
21/10/1996|José Wilker|8|Matinas Suzuki|Você adotou também um estilo que é quase uma crônica, não é? Porque você usa um filme para falar de coisas que te interessam em geral: ou sobre o teatro ou cinema ou também para relatar passagens da sua vida que você acha que vale a pena recordar ou relacionar com personagens de cinema, essa coisa toda. Você acha que escrever sobre cinema — já que temos aqui críticos, essa coisa toda, que é sempre uma coisa polêmica —, você acha que escrever sobre cinema... Faz sentido escrever sobre cinema?
21/10/1996|José Wilker|9|José Wilker|Olha, eu acho que faz sentido fazer cinema. E o fazer cinema implica criticar cinema, interpretar, dirigir cinema e assistir cinema. Daí faz sentido escrever sobre, sim. Agora, minha intenção primeira ao escrever as crônicas, as críticas de cinema é entender o país. Eu acho que, através do cinema, eu posso entender minimamente o que acontece aqui no Brasil. E acho que eu posso, entendendo o Brasil, compreender alguns filmes e até perdoá-los .
21/10/1996|José Wilker|10|Ivan Ângelo|Você acha, Wilker, que o cinema que é feito hoje no Brasil compreende esse Brasil, mostra esse Brasil? Houve uma crítica na Folha — foi, parece, a Marilene Felinto — que fez uma... destruiu essa idéia de que o cinema brasileiro...
