|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|29/11/1993|Lair Ribeiro|1|[Programa gravado, não permitindo perguntas de telespectadores]|
1|29/11/1993|Lair Ribeiro|2|Jorge Escosteguy| Boa noite. Já lhe ocorreu que se você não tem dinheiro, alguma coisa está errada com você, e que a inflação e a recessão são uma espécie de fantasia coletiva? Que você pode comer e emagrecer ao mesmo tempo, sendo gordo? Se a vida lhe deu um limão, e você não sabe o que fazer, experimente fazer uma limonada. Pois é, parece engraçado, mas não é. Essas frases fazem parte do discurso de um médico que se tornou um fenômeno brasileiro no ramo da neurolingüística ou, como querem alguns, da auto-ajuda. Estamos falando do médico Lair Ribeiro, o convidado desta noite no Roda Viva, que começa agora pela TV Cultura de São Paulo. Nascido em Juiz de Fora, Minas Gerais, há 48 anos, Lair Ribeiro já vendeu mais de oitocentos mil exemplares de seus cinco livros, entre eles, O sucesso não ocorre por acaso e Emagreça comendo. Mais de trinta mil pessoas já passaram por alguns dos seus 26 cursos. Estima-se que, oficialmente, o doutor Lair Ribeiro fature por ano, em torno de seiscentos mil dólares. Grandes organizações, inclusive multinacionais, têm procurado a sua assessoria, para melhorar o trabalho de seus executivos e o faturamento da empresa. Nós vamos saber qual é o segredo do sucesso do doutor Lair Ribeiro, hoje. Para entrevistá-lo, nós convidamos: Ricardo Melo, repórter da revista Exame; Laszlo Varga, repórter da revista Caras; Ivan Ângelo, editor executivo do Jornal da Tarde; Maurício Stycer, repórter da Folha de S.Paulo; Roseli Tardelli, apresentadora do programa Opinião Nacional da Rede Cultura; Pepe Escobar, repórter da Folha da Tarde, e Clô Guilhermino, psicóloga, diretora do Instituto de Programação Neurolingüística Aplicada. Como o programa de hoje foi gravado, não haverá perguntas por telefone. Boa noite, doutor Lair.
2|29/11/1993|Lair Ribeiro|3|Lair Ribeiro| Boa noite, Jorge. É um prazer muito grande estar aqui.
3|29/11/1993|Lair Ribeiro|4|Jorge Escosteguy| O prazer é nosso. Esses programas de auto-ajuda, esses livros de auto-ajuda, ainda que o senhor não se considere um especialista em auto-ajuda, vamos dizer assim, mas as pessoas o consideram, e o senhor está mais ou menos nesse ramo de sucesso com livros desse tipo, até que ponto existe o risco desse tipo de trabalho cair no que se chama de charlatanismo?
4|29/11/1993|Lair Ribeiro|5|Lair Ribeiro| O risco sempre existe, porque toda a vez que alguma coisa faz sucesso, sempre vai alguém no vácuo. É muito difícil você distinguir o joio do trigo. Então, esse risco sempre existe. Eu acho que o que tem que ser checado são os resultados; as explicações mudam, os resultados são os mesmos. Se você está obtendo resultado, vá em frente; se você não está, mude a sua estratégia.
5|29/11/1993|Lair Ribeiro|6|Jorge Escosteguy| E qual é a diferença entre o que o senhor considera auto-ajuda e neurolingüística?
6|29/11/1993|Lair Ribeiro|7|Lair Ribeiro| Bom, primeiro eu gostaria de enfatizar que a neurolingüística representa somente 20% do meu trabalho. Apesar de eu ser classificado como neurolingüista, eu sou formado, sou mestre, pertenço à sociedade americana de programação neurolingüística, isso só representa 20%. Eu trabalho, na realidade, Jorge, com cinco tecnologias: aprendizado acelerado, pensamento lateral, programação neurolingüística, gestalt e uma terapia corporal chamada Three-in-one. Eu fiz um pacote, que não é econômico, que eu chamo de vanguardismo, significa correr na frente, ao invés de correr atrás. Então neurolingüística é um dos componentes, mas eu estarei muito satisfeito em discutir esse aspecto aqui também com todos vocês.
7|29/11/1993|Lair Ribeiro|8|Jorge Escosteguy| Mas o senhor podia definir um pouco para a gente qual é a diferença da auto-ajuda?
8|29/11/1993|Lair Ribeiro|9|Lair Ribeiro| Defino.
9|29/11/1993|Lair Ribeiro|10|Jorge Escosteguy| Dessas frases de efeito que todos dizem, e essas pessoas que vendem muito livro.
10|29/11/1993|Lair Ribeiro|11|Lair Ribeiro| Eu acho o seguinte, primeiro eu... Se você pega um livro de auto-ajuda, em um conceito genérico, qualquer livro é de auto-ajuda, porque se você pegar um livro de geografia e estudá-lo, ele vai lhe ajudar. Porém no conceito que existe nos Estados Unidos, de auto-ajuda, significa um livro que vai substituir o terapeuta, que vai substituir o médico, que não é o caso dos meus livros. Por isso é que no conceito americano, que eu conheço, de auto-ajuda, é um indivíduo que vai comprar um livro, e ele vai... ele está deprimido, ele vai ler o livro, ele não precisa ir ao terapeuta, não precisa ir ao médico. O meu livro não substitui isso. Por isso que eu não gosto de que meu livro seja chamado de auto-ajuda. O meu livro ensina sim, como você pode usar o seu cérebro de uma forma melhor, como você pode se tornar mais inteligente, como você pode fazer mais distinções, e com isso a sua vida vai ficar mais fácil.
11|29/11/1993|Lair Ribeiro|12|Jorge Escosteguy| Agora, por que é que o senhor diz que inflação e recessão são fantasias coletivas?
12|29/11/1993|Lair Ribeiro|13|Lair Ribeiro| Eu não digo que são fantasias, eu digo que são linguagens coletivas. Se nós todos brasileiros, unanimemente, decidíssemos amanhã acabar com a inflação, acabaríamos. Era um, dois, e ninguém mais aumenta o preço. Só que isso não acontece do ponto de vista prático, porque sempre alguém vai querer aumentar o preço pela última vez. Eu quero mostrar que os conceitos são lingüísticos, nós somos animais lingüísticos. A linguagem nos diferencia dos outros seres e nos faz humanos. Então, linguagem cria a nossa realidade, como uma realidade de inflação, uma realidade de recessão.
13|29/11/1993|Lair Ribeiro|14|Ivan Ângelo| Quando o senhor fez sucesso, não havia livros de Lair Ribeiro para ajudá-lo. Então a gente poderia considerar que os livros não foram necessários, pelo menos para o senhor.
14|29/11/1993|Lair Ribeiro|15|Lair Ribeiro| Sim.
15|29/11/1993|Lair Ribeiro|16|Ivan Ângelo| Então o que o pessoal gostaria, talvez todo mundo gostaria de saber, quem é que o senhor leu para fazer sucesso?
