|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|21/08/1995|Maria da Conceição Tavares|1|Matinas Suzuki| Boa noite. Ela é a mãe intelectual da geração que pilota a economia do país depois do regime autoritário, mas como toda mãe boa de briga não economizou puxões de orelha em seus discípulos que participam do Plano Real. No plenário do Roda Viva desta noite está a deputada federal e economista Maria da Conceição Tavares.
1|21/08/1995|Maria da Conceição Tavares|2|[Inserção de vídeo] [Trechos de diferentes entrevistas concedidas por Maria da Conceição Tavares, imagens de outras entrevistas e aulas de Maria da Conceição Tavares, de Dílson Funaro, de José Sarney e do Congresso Nacional]| 
2|21/08/1995|Maria da Conceição Tavares|3|Maria da Conceição Tavares|  A inflação cai como? Por milagre de Deus?
3|21/08/1995|Maria da Conceição Tavares|4|Maria da Conceição Tavares|  Os empresários não podem correr na frente da inflação, não podem descongelar a maluca.
4|21/08/1995|Maria da Conceição Tavares|5|Maria da Conceição Tavares|  Quem quer estatizar bancos são os conservadores, nós não!
5|21/08/1995|Maria da Conceição Tavares|6|Maria da Conceição Tavares|  Cada ajuste fiscal é comido um ano depois: já fizemos dez.
6|21/08/1995|Maria da Conceição Tavares|7|Maria da Conceição Tavares|  Open  não é aplicação financeira mais!
7|21/08/1995|Maria da Conceição Tavares|8|[Comentarista]| É ela, Maria da Conceição Tavares, quarenta anos de Brasil. Veio de Portugal fugindo da ditadura salazarista e se tornou aqui uma das mais respeitadas figuras da área econômica. Professora da Universidade Federal do Rio de Janeiro e da Unicamp , foi guru de uma legião de economistas de esquerda. Depois de ficar vinte anos fazendo oposição, ela surpreendeu ao elogiar o plano econômico do ministro Funaro , quando José Sarney era presidente. Mas não demorou muito, voltou a ser a crítica implacável dos planos e dos governos seguintes. Hoje, 65 anos, avó de dois netos e aposentada da universidade, ela está na política. Deixou seu antigo PMDB  para se eleger, no ano passado, deputada federal pelo PT  carioca. As idéias e as polêmicas da professora Maria foram parar no Congresso Nacional.
8|21/08/1995|Maria da Conceição Tavares|9|Matinas Suzuki| Bem, para entrevistar a deputada Maria da Conceição Tavares nós convidamos esta noite o jornalista Rui Xavier, que é coordenador de política do grupo Estado; Carlos Alberto Sardenberg, que é repórter especial da Folha de S. Paulo; o Leonel Rocha, subeditor de Economia da revista Veja, em Brasília; Carlos Marques, editor de Economia da revista IstoÉ; Marco Antônio de Resende, diretor de redação da revista Vip/Exame; José Paulo Kupfer, editor-chefe do jornal Zero Hora, em São Paulo; e o economista Álvaro Zini Júnior, professor de economia internacional da Faculdade de Economia e Administração da Universidade de São Paulo. Nós lembramos a você que o Roda Viva é transmitido em rede nacional por trinta outras emissoras em 13 estados do Brasil. Você também pode participar deste programa fazendo perguntas pelo telefone 252-6525; eu vou repetir para você: 252-6525. Se você preferir, pode enviar as suas perguntas por fax pelo número 874-3454, 874-3454. Boa noite, deputada Maria da Conceição Tavares.
9|21/08/1995|Maria da Conceição Tavares|10|Maria da Conceição Tavares| Boa noite, Matinas.
10|21/08/1995|Maria da Conceição Tavares|11|Matinas Suzuki| A senhora vai agüentar uma hora e meia sem fumar? Está preparada para isso? 
11|21/08/1995|Maria da Conceição Tavares|12|Maria da Conceição Tavares| Isso é que está duro, isso é que está duro. Mas não posso fazer... vai dar mau exemplo. 
12|21/08/1995|Maria da Conceição Tavares|13|Matinas Suzuki| Deputada, como é que a senhora analisa o furacão econômico que passou pela economia brasileira semana passada?
