DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
18/08/1997|Maria Lúcia Araújo|1|[programa ao vivo, permitindo a participação dos telespectadores]|programa ao vivo, permitindo a participação dos telespectadores]
18/08/1997|Maria Lúcia Araújo|2|Matinas Suzuki|Boa noite. O Roda Viva recebe, esta noite, Lucinha Araújo, mãe de Cazuza, e presidente da Sociedade Viva Cazuza .
18/08/1997|Maria Lúcia Araújo|3|[Comentarista]|Maria Lúcia da Silva Araújo é carioca e tem 61 anos de idade. Casada há quarenta anos com João Araújo, dirigente poderoso da indústria brasileira do disco , Lucinha conhece de perto o mundo musical e até experimentou uma breve carreira de cantora, mas de repente teve a vida revirada pelo avesso. Mãe de Cazuza, Lucinha acompanhou toda a agonia do irreverente poeta e cantor do rock brasileiro que morreu há sete anos, vítima da aids. Ela hoje encabeça uma campanha contra o preconceito e a desinformação em torno da doença. Lucinha criou e preside a Sociedade Viva Cazuza, entidade que cuida de crianças portadoras do vírus HIV. A iniciativa veio de um desejo do próprio Cazuza, que conviveu de forma corajosa com a doença e ajudou a ampliar o debate sobre a aids. A vida do ídolo dos jovens brasileiros dos anos 80 agora ressurge através da memória amorosa dessa mulher renascida. No livro Cazuza: só as mães são felizes , Lucinha relata os acontecimentos e emoções vividas à jornalista Regina Echeverria e revela por inteiro a figura de Cazuza, da infância de garoto mimado na zona sul do Rio, passando por aventuras pesadas na adolescência, a carreira de sucesso até o pesadelo final. São relatos intensos, histórias íntimas e tocantes que marcam a trajetória do jovem gênio rebelde que deixou sua marca na música brasileira. 
18/08/1997|Maria Lúcia Araújo|4|Matinas Suzuki|Para entrevistar a Lucinha Araújo, esta noite, nós estamos aqui com muita gente boa: Pedro Bial, editor-chefe do Fantástico , repórter da TV Globo e apresentador do Espaço Aberto, da Globo News, que é um programa dedicado à literatura. Também estão no estúdio: Maria Amélia Rocha Lopes, editora-chefe do programa Vitrine, da TV Cultura; Marcos Augusto Gonçalves, editor da Folha de S.Paulo; Cadão Volpato, redator da revista Capricho; Márcia Peltier, âncora do Jornal da Manchete e do programa Márcia Peltier Pesquisa  e Cynthia de Almeida, editora-executiva da revista Caras. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros. Você pode participar desse programa enviando as perguntas pelo telefone (11)252-6525. Se preferir enviar as suas perguntas por escrito, você pode usar o fax (11)874-3454 ou o nosso endereço na internet, que é rodaviva@tvcultura.com.br. Boa noite, Lucinha.
18/08/1997|Maria Lúcia Araújo|5|Maria Lúcia Araújo|Boa noite.
18/08/1997|Maria Lúcia Araújo|6|Matinas Suzuki|Muito obrigado por sua presença no nosso programa.
18/08/1997|Maria Lúcia Araújo|7|Maria Lúcia Araújo|Obrigada pelo seu convite e a todas as pessoas que também vieram aqui.
18/08/1997|Maria Lúcia Araújo|8|Matinas Suzuki|Lucinha, como nós vimos aí na apresentação, está sendo lançado o livro Cazuza, só as mães são felizes, que é um depoimento seu à jornalista Regina Echeverria, nossa colega de profissão. Lucinha, porque você resolveu lançar o livro depois de sete anos da morte de Cazuza?
18/08/1997|Maria Lúcia Araújo|9|Maria Lúcia Araújo|Olha, essa idéia realmente nasceu no dia em que o Cazuza morreu. Nesse dia, eu decidi que eu tinha que passar a limpo a minha vida com ele, porque era uma vida muito rica em sentimento. E eu achei que as pessoas que gostavam dele iam querer saber um pouquinho mais da sua vida. Toda vida tem dois lados e a vida dele, pública, era conhecida de todo mundo. Mas, sobre a vida particular, muito pouca gente que conviveu com ele sabia. Estava na hora de exorcizar meus demônios. Faz sete anos que eu penso nisso e consegui colocar no papel. Eu escolhi a Regina por vários motivos: porque ela também é mãe de filho único e porque ela perdeu o marido de aids há três anos. Mas a razão fundamental é que ela é uma grande jornalista e entendeu minha alma. Eu não tirei uma vírgula do que ela escreveu.
18/08/1997|Maria Lúcia Araújo|10|Cadão Volpato|Em certa passagem, o Cazuza diz que você, por ser obsessiva, não poderia experimentar drogas, porque ia acabar gostando.
18/08/1997|Maria Lúcia Araújo|11|Maria Lúcia Araújo|Pois é.
18/08/1997|Maria Lúcia Araújo|12|Cadão Volpato|Eu queria saber se você experimentou, se você teve vontade de experimentar.
18/08/1997|Maria Lúcia Araújo|13|Maria Lúcia Araújo|Não, eu sou obsessiva, então nunca experimentei.
18/08/1997|Maria Lúcia Araújo|14|Cadão Volpato|A sua obsessão te impediu?
18/08/1997|Maria Lúcia Araújo|15|Maria Lúcia Araújo|Não, estou brincando. Minha geração nunca usou drogas e eu custei muito a tomar meu primeiro copo de vinho. Eu já tinha quarenta anos...Tenho um bloqueio quando vejo drogas. Depois que ele me disse isso então, o bloqueio ficou maior.
18/08/1997|Maria Lúcia Araújo|16|[risos]|risos]
18/08/1997|Maria Lúcia Araújo|17|Maria Amélia Rocha Lopes|Lucinha, eu queria saber o que há de diferente nesse livro que você fez com a Regina em relação àquele da Aretuza Garibaldi que acabou não saindo . A gente vê algumas matérias até dizendo que já havia data de lançamento e depois tudo parou, acabou. Eu queria saber se você aproveitou um pouco daquilo ou se você enterrou o projeto e recomeçou tudo com a Regina.
18/08/1997|Maria Lúcia Araújo|18|Maria Lúcia Araújo|Eu enterrei e recomecei. Agora, a história não podia mudar, é a história da minha vida. Então, o básico ficou a mesma coisa. Agora, o livro é completamente diferente, inclusive pela ótica da Regina, pelo modo de escrever, que é diferente também. Eu achei que ficou um outro livro, ficou mais rico, com mais depoimentos.
18/08/1997|Maria Lúcia Araújo|19|Maria Amélia Rocha Lopes|Você, lançando esse livro agora, se expõe de uma tal maneira e no fim, faz uma espécie de auto-crítica dizendo: "Será que eu me mostrei uma megera nessa ânsia de mostrar inteiramente o meu filho?". Eu confesso que tomei um susto quando você diz que batia nele quando era pequeno, nessa sua obsessão por perfeição e tudo isso. Eu fiquei achando que você era um pouco megera.
18/08/1997|Maria Lúcia Araújo|20|Maria Lúcia Araújo|Eu era mesmo, você não achou errado, não. Mas eu era bem intencionada. Eu não batia nele para castigá-lo fisicamente. O Pedro Bial, que conviveu com ele desde criança, sabe que eu era muito exigente, porque eu queria o melhor para ele, mas nem sempre o melhor para os filhos é o que a mãe quer, não é? Então, muitas vezes eu errei, por isso que esse livro é uma mea culpa mesmo.
18/08/1997|Maria Lúcia Araújo|21|Pedro Bial|E naquela geração, o Cazuza não foi a única criança a apanhar, não é?
18/08/1997|Maria Lúcia Araújo|22|Maria Lúcia Araújo|Você também?
18/08/1997|Maria Lúcia Araújo|23|[risos]|risos]
18/08/1997|Maria Lúcia Araújo|24|Maria Lúcia Araújo|Não, coitadinho. Ele até dizia:"Minha mãe, quando me bate, cresce rabo e sai fogo do nariz dela". Eu fazia uma cara de fera para ele.
18/08/1997|Maria Lúcia Araújo|25|Pedro Bial|Eu vinha pensando numa pergunta e a gente se encontrou antes de vir para o estúdio e todas as perguntas começavam por "se": "Se não tivesse ido para o  Santo Inácio, se tivesse ido para outro colégio". Depois de todos esses "se", terminando esse livro, você chegou a alguma conclusão do tipo fatalista de que tudo foi o que tinha que ser?
18/08/1997|Maria Lúcia Araújo|26|Maria Lúcia Araújo|Olha, o Cazuza dizia que preferia viver dez anos "a mil" do que mil anos "a dez". Eu achei que ele pagou um preço muito caro, mas se é o que ele queria... Não era o que eu queria, nem o que eu esperava para ele, mas se foi o que ele quis, de onde ele estiver, deve estar batendo palmas para esse livro, porque eu não tenho culpas por ter feito coisas, entendeu? Eu acho que eu fui bem intencionada, porque eu queria fazer dele a minha imagem e semelhança, toda mãe quer isso, é muito mais cômodo. É muito mais fácil eu ter um filho de terno e gravata, sentado atrás do escritório, seguindo os passos do pai dele na indústria fonográfica do que ter um filho rebelde, problemático como ele foi, durante uma certa época.
18/08/1997|Maria Lúcia Araújo|27|Márcia Peltier|Lucinha, falando sobre essa questão de buscar a perfeição nos filhos, chegou um momento em que você olhou para o Cazuza e viu que ele era diferente. Quando você percebeu que essa diferença do Cazuza permitia que ele fosse esse rebelde com uma causa que era a música dele, a poesia dele?
18/08/1997|Maria Lúcia Araújo|28|Maria Lúcia Araújo|Olha, graças a Deus eu tive acuidade suficiente de perceber isso a tempo e os últimos 13, 14 anos da vida dele foram de lua-de-mel para nós dois, né? Então, teve uma época que ele me levou tanto a loucura que eu pensei "vou dar uma parada, ou eu entro na dele ou eu vou perder o meu filho". E ainda bem que eu entrei na dele. Olha, eu vou dizer uma coisa a vocês, com toda a humildade: eu aprendi muito mais com ele do que ele comigo. Eu descobri que eu tinha muito pouco a ensinar a ele, a não ser regras de boas maneiras, de como se sentar, de como comer à mesa, mas isso era muito pouco para uma pessoa tão grande como ele.
18/08/1997|Maria Lúcia Araújo|29|Márcia Peltier|Mas em algum momento você sentiu: "Agora eu entrei no mundo do Cazuza e senti o mundo dele". Ele lhe deu a chance de penetrar nessa barreira?
