|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|12/08/1988|Marta Suplicy|1|[Programa ao vivo, permitindo perguntas dos telespectadores]|
1|12/08/1988|Marta Suplicy|2|Augusto Nunes| Boa noite, estamos começando mais um Roda Viva, pela TV Cultura de São Paulo. Este programa é transmitido ao vivo também pela Rádio Cultura AM, pelas TVs Educativas de Porto Alegre, Bahia, Piauí e pela TV Cultura de Curitiba e ainda retransmitido pelas TVs Educativas de Mato Grosso do Sul, Minas Gerais e Espírito Santo. O programa Roda Viva é apresentado ao vivo, portanto, os telespectadores que desejarem encaminharem as suas perguntas a nossa convidada desta noite poderão fazê-lo que em seguida serão encaminhadas a nossa entrevistada, que é a sexóloga Marta Suplicy. Marta Suplicy já é uma figura bastante conhecida de milhões de brasileiros, também pelas suas aparições na TV, também por seus livros, mais recentemente a Marta Suplicy lançou um livro Sexo para adolescente, que já é um sucesso de público. O que Marta escreveu no livro e outras de suas idéias serão certamente objeto das nossas conversas, enquanto ela estiver sentada ao centro de uma Roda Viva formada pelos seguintes entrevistadores: Célia Pardi, diretora de redação da revista Claudia; Ricardo Kotscho, repórter da sucursal paulista do Jornal do Brasil; José Carlos Bardawil, diretor da sucursal de Brasília da revista Isto É Senhor; Carlos Costa, diretor de redação da revista Playboy; Sônia Racy, responsável pela coluna Dois do jornal O Estado de S. Paulo; Terezinha Lopes, repórter da sucursal de São Paulo do jornal O Globo; Ricardo Soares, apresentador do programa Metrópole, da TV Cultura e repórter do jornal O Estado de S. Paulo; Moacyr Japiassu, redator-chefe da revista Elle. Também estará conosco registrando cenas desta nossa conversa, o cartunista Paulo Caruso. Registramos a presença aqui, entre os convidados da produção, do ex-deputado Eduardo Matarazzo Suplicy e também de Gilda Bacau Fuks, que é psiquiatra e sexóloga. Gilda é professora de psicopatologia sexual da Universidade Federal da Bahia, registramos e agradecemos a sua presença. Marta, não é a primeira vez que você defende opiniões, digamos, polêmicas. Agora, você pode ter comprado uma boa briga com uma das preferências nacionais ao afirmar que a Xuxa faz mal para crianças de uma determinada faixa de idade. O que é que você declarou exatamente em uma entrevista ao jornal Folha da Tarde?
2|12/08/1988|Marta Suplicy|3|Marta Suplicy| Olha, é o seguinte, eu acho que já está na hora de psicólogos, psicanalistas, psiquiatras, cientistas sociais começarem a investigar e pesquisar o que o programa da Xuxa e talvez alguns outros programas de violência podem ocasionar para a criança. Eu fiz algumas hipóteses, porque você também não pode falar uma coisa dessas sem ter algumas hipóteses. As hipóteses que eu fiz foram baseadas na seguinte teoria - que depois eu quero, eu mesma, questionar as teorias - que a criança sofre um processo de desenvolvimento, que passa em diferentes fases segundo Freud. Quando ela chega aos cinco, seis anos, ela estaria vivendo o Complexo de Édipo segundo Freud - segundo Melanie Klein  isso vem muito antes, mas segundo Freud estaria por aí - mas dos seis aos nove ela vive um processo que se chamaria de latência, onde ocorre uma dessexualização da criança e o processo de sublimação, quer dizer, ela canaliza a energia sexual para alguma outra coisa que não o sexo, essa idade é para os esportes, para os estudos, para esse tipo de coisa. O que eu observo que está acontecendo com o programa da Xuxa... e aí não é uma coisa com a Xuxa que eu acho, sabe, eu acho ela engraçadinha, charmosa, tem uma eroticidade que eu gosto pessoalmente, eu acho ela uma graça. Não é com ela, e acho que se por acaso estiver acontecendo alguma coisa ela nem tem idéia disso, quer dizer, não é responsabilidade dela isso, é responsabilidade de nós profissionais estarmos atentos para o que por ventura possa estar acontecendo, eu digo possa estar e eu acho que pode estar.
3|12/08/1988|Marta Suplicy|4|Augusto Nunes| O que é que pode estar acontecendo?
4|12/08/1988|Marta Suplicy|5|Marta Suplicy| Pode estar acontecendo alguma coisa referente à criança estar sendo erotizada em uma hora onde ela devia estar mais para..., onde geralmente ela está mais para dentro elaborando essas outras, sublimando o desejo sexual. Agora se...
5|12/08/1988|Marta Suplicy|6|Augusto Nunes|  Qual é essa faixa de idade?
6|12/08/1988|Marta Suplicy|7|Marta Suplicy| Seis a nove. Se isso está ocorrendo ou não eu não sei. Não estou dizendo que está ou não está, é uma questão que eu coloco. Agora, tem um outro ângulo que eu também queria colocar, que eu acho interessante, que estou partindo de uma teoria para dizer “o que será que está acontecendo com a nossa criancinha?” Já viu que está aparecendo a televisão com a Xuxa, mas é muito interessante a gente pensar do outro lado também, nós não temos que encaixar as nossas teorias no que está acontecendo, a gente tem que ver se o que está acontecendo está  encaixando nas teorias, ou se as teorias estão sendo questionadas. As teorias não são universais e é isso que eu me proponho e gostaria, aliás eu não me proponho porque não é a minha área fazer pesquisa, mas tem gente que faz pesquisa na área infantil e que deveria se dedicar a esse tipo de pesquisa para ver daqui um, dois anos qual é o resultado.
7|12/08/1988|Marta Suplicy|8|Augusto Nunes| Ricardo Kotscho, Jornal do Brasil.
8|12/08/1988|Marta Suplicy|9|Marta Suplicy| Fala, Ricardo.
9|12/08/1988|Marta Suplicy|10|Ricardo Kotscho| Para colaborar um pouco da tua pesquisa, das questões que você levantou, então a pergunta que eu preparei aqui é em cima de uma noticia do jornal hoje, a coluna do Zózimo  do Jornal do Brasil publicou uma nota contando uma história de um menino, o Rodrigo de 10 anos. Perguntaram a ele que notícia gostaria de ver estampada no painel popular do PT e o Rodrigo lascou lá “Rodrigo foi para o motel com a Xuxa”. É uma questão que eu escolhi.
