|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|10/07/2007|Mia Couto|1|Paulo Markun| Olá. O Roda Viva apresenta hoje o segundo programa da série especial que organizamos na Flip, a Festa Literária Internacional de Paraty. Neste cenário, montado na área de realização da festa, na histórica cidade do litoral do Rio de Janeiro, gravamos aqui cinco programas, um para cada dia da semana até sexta-feira. São entrevistas com escritores internacionais que ganharam importância por sua obra literária, mas também pelo envolvimento com questões, muitas delas, dramáticas do mundo atual. O entrevistado de hoje, na tenda do Roda Viva Flip é o romancista Mia Couto, de Moçambique, um dos mais conhecidos e reconhecidos escritores africanos de língua portuguesa. Intelectual que chegou a participar da luta armada pela independência de seu país, hoje está na linha de frente da luta pela recuperação da identidade cultural moçambicana. O Roda Viva começa em instantes.
1|10/07/2007|Mia Couto|2|[intervalo]|
2|10/07/2007|Mia Couto|3|Paulo Markun| O moçambicano Mia Couto começou a carreira de escritor ainda jovem, quando se embrenhou no jornalismo. Primeiro fez poesia, depois foi para o conto e a crônica, até chegar ao romance, ganhando projeção na Europa, e teve os seus livros traduzidos em mais de dez línguas. Escrevendo originalmente em português, em uma linguagem criativa e cheia de surpresas, a obra de Mia Couto é profundamente marcada pela luta anticolonial do país onde nasceu.
3|10/07/2007|Mia Couto|4|[Inserção de vídeo]|
4|10/07/2007|Mia Couto|5|Paulo Markun|  A história de Moçambique tem origens tão distantes que, num conto tradicional, mereceria um começo clássico: era uma vez um lugar na África habitado por povos ancestrais, com território meio seco e meio verde, mas rico o suficiente para atrair a cobiça de mercadores. E atraiu muitos deles. Primeiro, os árabes no século X, depois os portugueses no século XV, que ali chegaram e ficaram. Moçambique precisou de quase 500 anos para se livrar de Portugal. A independência, em 1975, após uma luta sangrenta de mais de 10 anos, jogou o país em uma guerra civil que durou outros 16. A paz só veio em 1992 e, martirizado pela guerra, pela miséria e pela aids, Moçambique, desde então, tenta se reconstruir. António Emílio Leite Couto, ou Mia Couto, é filho de imigrantes portugueses e nasceu na cidade moçambicana de Beira, em 1955. Viveu a metade de seus 52 anos em meio às guerras do país e chegou a participar da luta armada como membro da Frelimo, a Frente de Libertação de Moçambique, que venceu a luta pela independência. Nos anos 70, antes de ir para o jornalismo e iniciar a carreira de escritor, que já rendeu quase duas dezenas de livros, Mia Couto começou e parou um curso de medicina. Voltou à universidade em 85 e se formou em biologia, passando a atuar também como professor-pesquisador e ambientalista. Um dos autores do hino nacional de Moçambique, Mia Couto conduz sua produção literária atento às raízes culturais, angústias e esperanças de uma nação que fala mais de vinte línguas e vive os desencontros da globalização. Ele escreve como alguém que refaz o próprio chão para reconstruir o país. A varanda do frangipani , um dos seus livros de maior repercussão, é apresentada como um mirante de onde é possível olhar o horizonte e entrever um rumo para um país que quer esquecer o tempo de guerra e reingressar no campo do sonho.
5|10/07/2007|Mia Couto|6|Paulo Markun| Para entrevistar o escritor moçambicano Mia Couto, nós convidamos: Ivan Marques, diretor do programa Entrelinhas da TV Cultura; Norma Couri, correspondente da revista portuguesa Visão; Manya Millen, editora do caderno Prosa e Verso do jornal O Globo; Josélia Aguiar, editora da revista Entrelivros; Miguel Gullander, escritor português; e Paulo Lins, escritor, professor de literatura e roteirista de cinema. Também temos a participação do cartunista Paulo Caruso, registrando com seus desenhos os principais momentos do programa. O Roda Viva é transmitido em rede nacional de TV, pela TV pública, para todo o país. Como o programa de hoje é uma gravação, ele não permite a participação direta do telespectador, mas, de todo modo, você pode mandar suas sugestões, suas críticas, suas opiniões para o programa pelo endereço www.tvcultura.com.br/rodaviva. Pode também acessar o blog da Cultura no site da TV e deixar ali o seu comentário, não só sobre o programa, mas sobre a questão que você melhor considerar. Olá, Mia. Tudo bem?
6|10/07/2007|Mia Couto|7|Mia Couto| Tudo bem. Olá.
7|10/07/2007|Mia Couto|8|Paulo Markun| Eu queria começar pelo seguinte. Em uma entrevista, algum tempo atrás, você se definiu como biólogo, e não como escritor, e disse que o mundo da literatura é uma espécie de uma casa que você visita de vez em quando, mas não mora lá. Eu fico me perguntando se essa casa você não está visitando cada vez mais freqüentemente e se já não está no momento de mudar para ela.
8|10/07/2007|Mia Couto|9|Mia Couto| Eu estou já em uma situação em que não sei qual casa é a minha casa de moradia, não é? Mas para mim o importante é ter essa possibilidade de estar dentro e fora da escrita. De estar fora da escrita no sentido de se deixar invadir, quase se dissolver no mundo da oralidade. É nesse sentido que eu defino essa vivência, essa moradia, essa transumância  entre a escrita e a oralidade. Eu acho importante o escritor, de vez em quando, não ser escritor ou ser um não-escritor, de maneira que ele possa definir a sua relação com a escrita não com o verbo “ser”, mas com o verbo “estar”. Eu estou escritor porque mantenho, neste momento, essa relação criativa com a palavra.
9|10/07/2007|Mia Couto|10|Paulo Markun| Eu queria que você explicasse melhor o que é esse conceito de oralidade, porque há uma certa confusão. Você costuma desbastar entre oralidade e tradição oral.
