|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|22/02/1993|Nana Caymmi|1|Jorge Escosteguy| Boa noite. No Roda Viva, que começa agora pela TV Cultura de São Paulo, nós vamos falar de música popular brasileira. No centro da roda está sentada uma cantora de gênio em muitos sentidos: gênio forte, temperamental, agressivo e gênio interpretativo. Nana Caymmi, 50 anos de idade, 30 de disco, 26 de palco, 3 filhos e 2 netas, é a nossa entrevistada desta noite, no Roda Viva. Para entrevistar Nana Caymmi esta noite no Roda Viva nós convidamos: Maria Amélia, da TV Cultura, Celso Fonseca, do Jornal da Tarde, Alex Solnik, da revista Interview, Regina Etcheverria, da revista Ícaro, Carlos Renno, jornalista e letrista, Roberto Cômodo, Jornal do Brasil e Aimar Labaki, crítico de artes em espetáculos da TV Bandeirantes. Lembramos aos telespectadores que o programa de hoje foi gravado e, portanto, não haverá perguntas ao vivo. Boa noite, Nana.
1|22/02/1993|Nana Caymmi|2|Nana Caymmi| Boa noite.
2|22/02/1993|Nana Caymmi|3|Jorge Escosteguy| Podemos começar com a sua fama de temperamental, agressiva e briguenta. Como é que está esse ânimo, continua forte esse gênio ou já acalmou um pouco com os 50 anos?
3|22/02/1993|Nana Caymmi|4|Nana Caymmi| Não, eu devo esse título à imprensa. Até que eu não me acho assim, uma pessoa briguenta, porque eu não saio discutindo coisas que não são da minha alçada. Tem vários incidentes em casas noturnas. Por exemplo, eu discutir com o dono da casa porque acho que o serviço deve parar. É uma questão de educação. Então, você tem que ensinar para burro velho como é que ele tem que atuar, porque, no que você pede bebida, a mesa do lado também quer se servir. Então, não é uma coisa só minha, incomoda todo mundo.
4|22/02/1993|Nana Caymmi|5|Jorge Escosteguy| Mas você tem gênio forte?
5|22/02/1993|Nana Caymmi|6|Nana Caymmi| Eu briguei por isso já, mas eu falo...
6|22/02/1993|Nana Caymmi|7|Jorge Escosteguy| Você pelo jeito é assim: eu faço o que eu quero e ninguém manda eu fazer o que tenho que fazer?
7|22/02/1993|Nana Caymmi|8|Nana Caymmi| Não, eu acho que é o seguinte: ele me contrata, eu faço, não deu certo, eu vou embora. Então, não há multa nesse sentido e ele paga os garçons. Eu tenho 1 hora e 15, 1 hora e meia de show. A pessoa não vai ficar morta de sede. Ela pede antes a bebida, pois a casa comporta que você peça um wisk, vinho ou cerveja. Essas são as discussões, mas o gênio forte está no meu trabalho, porque eu preciso de concentração para cantar. Eu não sei dizer uma letra com 30 falando, garçom passando e outro escolhendo pastel. Então, prefiro cantar em estádio, me sujeitar ao que muito artista faz por um período, que é cantar com os outros jogando lata de cerveja, bombom Sonho de Valsa e você fica saindo dos escombros. Então, alguma coisa interpretativa, que me desgasta profundamente, que é o meu cantar, eu não vou fazer com barulho.
8|22/02/1993|Nana Caymmi|9|Jorge Escosteguy| Agora, você acha que esse estigma, vamos dizer assim, quem vem da imprensa ou das pessoas, prejudicou um pouco a sua carreira? Porque você é reconhecida pelos críticos e por todos como uma grande cantora, uma das maiores da música popular brasileira. Isso de certa forma prejudicou um pouco a sua carreira no momento em que você ficou sem gravadora, sem shows? 
9|22/02/1993|Nana Caymmi|10|Nana Caymmi| Não, eu não acho. Não pelo gênio, assim, não pelas coisas que eu digo de cara. Acho que não prejudicou em nada. Isso nunca aconteceu isso comigo.
10|22/02/1993|Nana Caymmi|11|Maria Amélia Lopes| Qual o momento que você considera mais barra pesada na sua vida pessoal e musical?
11|22/02/1993|Nana Caymmi|12|Nana Caymmi| Pessoal foi o acidente do meu filho. Não tem mais, eu já perdi a pose depois disso, perdi o rumo. 
12|22/02/1993|Nana Caymmi|13|Maria Amélia Lopes| João Gilberto?
13|22/02/1993|Nana Caymmi|14|Nana Caymmi| O João Gilberto. E a coisa mais importante da minha carreira foi ganhar o Festival da Canção 
14|22/02/1993|Nana Caymmi|15|Maria Amélia Lopes| Debaixo de vaia?
15|22/02/1993|Nana Caymmi|16|Nana Caymmi| Debaixo de vaia. Ouviu quem quis, porque eu estava contando com dinheiro que eu iria ganhar . Em uma miséria franciscana, com 3 filhos, o João Gilberto tinha acabado de nascer, jorrava leite do meio peito.
16|22/02/1993|Nana Caymmi|17|Jorge Escosteguy| Você tinha voltado da Venezuela recentemente e você tinha se separado?
17|22/02/1993|Nana Caymmi|18|Nana Caymmi| Tinha o festival, foi em 66, João Gilberto nasceu em 66, em 17 de junho, e eu ganhei o festival em setembro, outubro.
18|22/02/1993|Nana Caymmi|19|Jorge Escosteguy| Agora, só para esclarecer sobre o seu filho João Gilberto, um pouco antes a gente estava comentando sobre isso, o seu filho não se chama João Gilberto porcausa do cantor João Gilberto , com quem você namorou inclusive? 
19|22/02/1993|Nana Caymmi|20|Nana Caymmi|" Pois é, não foi uma homenagem direta para o João . Seria até pouco perto da admiração que eu tenho por ele. É que o João nasceu no mês de São João e o o próprio João Gilberto, que eu chamo João Gilberto pai, decifrou porque o meu filho se chama João Gilberto. Ele dizia: ""Porque aquele bundão do seu marido se chama Gilberto?"" . E ele nasceu no meio disso."
20|22/02/1993|Nana Caymmi|21|Jorge Escosteguy| No meio do São João. 
21|22/02/1993|Nana Caymmi|22|Nana Caymmi| Gilberto é um médico venezuelano, pai dos meus 3 filhos, e já arranjaram pai para tudo que é filho meu no decorrer desses 30 anos. Dizem que é Gil , cada um diz...
22|22/02/1993|Nana Caymmi|23|Alex Solnik| Não tem um filho com o Gil também?
23|22/02/1993|Nana Caymmi|24|Nana Caymmi| Não, não, inclusive foi uma coisa bastante dolorosa que aconteceu com nós dois. O destino é terrível. Eu estava com o meu filho no CTI  de São Vicente e o dele estava no CTI da Beneficência Portuguesa. A imprensa ficou reclamando, mais uma vez, porque Gil não visitava meu filho. E eu dizia: porque não é filho dele. Simplesmente por esse motivo. .
24|22/02/1993|Nana Caymmi|25|Roberto Cômodo| Uma vez você disse que se casou no tapa com o Gil. Como que é essa história?
25|22/02/1993|Nana Caymmi|26|Jorge Escosteguy| Foi quase no tapa? 
26|22/02/1993|Nana Caymmi|27|Roberto Cômodo| Quase no tapa?
27|22/02/1993|Nana Caymmi|28|Nana Caymmi| Foi porque o Gil fez uma coisa, a meu ver, bastante condenável. Ele largou a mulher grávida, faltando segundos para parir. Ele foi para a Casa de Saúde ver Belina  ter a última filha , se não me engano, praticamente com a mala fora de casa. Eu disse: Gil, você não tem que fazer isso. Espera mais um pouco. Ele tinha criança pequena e foi um rompante bastante violento da parte dele, como tudo de Gil é muito violento. As atitudes dele naquela época então... Havia sido há 25 anos.
28|22/02/1993|Nana Caymmi|29|Maria Amélia Lopes| Mas você o acolheu assim numa boa?
29|22/02/1993|Nana Caymmi|30|Nana Caymmi| Não. Não ficamos juntos ainda naquela época não.
30|22/02/1993|Nana Caymmi|31|Jorge Escosteguy| Foi um grande tumulto
31|22/02/1993|Nana Caymmi|32|Nana Caymmi| Só depois, quando a menina nasceu, ele foi ver, ficou com Belina, e tudo isso a tapa mesmo. O tapa foi por causa da família dele. 
32|22/02/1993|Nana Caymmi|33|Maria Amélia Lopes| E a sua família aceitou bem o namoro com o Gil?
33|22/02/1993|Nana Caymmi|34|Nana Caymmi|" Não, mamãe é um pouco racista. Ela dizia: "" Aquele negro."" Porque o dela é um ariano, não é.  O meu é preto, o dela não . Ela não queria. É aquela coisa: baiano artista e crioulo, pronto, danou-se."
34|22/02/1993|Nana Caymmi|35|Jorge Escosteguy| E João Gilberto, ela também não gostava dele?
35|22/02/1993|Nana Caymmi|36|Nana Caymmi|" Não, com 15 anos ela botou banca mesmo: ""Mais um baiano?"" Naquela época ela me trazia de rédia curta. João não teve muita moradia lá em casa não."
36|22/02/1993|Nana Caymmi|37|Aimar Labaki| Você casou com um venezuelano médico por causa da sua mãe, ou não?
37|22/02/1993|Nana Caymmi|38|Nana Caymmi| Não, eu casei... 
38|22/02/1993|Nana Caymmi|39|Aimar Labaki| Esse ela gostava ou não gostava?
39|22/02/1993|Nana Caymmi|40|Nana Caymmi| Ele bebia com o meu pai. Esse ela gostava sim. Escolheu abrir o caminho
40|22/02/1993|Nana Caymmi|41|Aimar Labaki| Você passou anos na Venezuela, desculpa . Você passou anos na Venezuela?
41|22/02/1993|Nana Caymmi|42|Nana Caymmi| 5 anos.
42|22/02/1993|Nana Caymmi|43|Aimar Labaki| Nesse tempo você não cantou?
43|22/02/1993|Nana Caymmi|44|Nana Caymmi| Não, eu só vim ao Brasil fazer disco. Por isso que eu tenho mais tempo de disco, como ele disse, do que de palco. Eu gravei muito. Sempre que eu vinha visitar meus pais, passava por aqui e fazia. É a grande fase do Elenco  e a minha saída da Odeon , porque era só Odeon na época .
44|22/02/1993|Nana Caymmi|45|Aimar Labaki| Você tem alguma saudade da Venezuela?
45|22/02/1993|Nana Caymmi|46|Nana Caymmi|" Eu nem me lembro como era. Primeiro, porque eu fui numa época, no final da ditadura ""braba"", eu não me lembro do interior, onde eu criei as meninas . Morava na beira da praia, que é estado Falcón, uma coisa bastante distante de Caracas. Caracas eu não tenho nenhuma noção de como seja, de como esteja."
46|22/02/1993|Nana Caymmi|47|Celso Fonseca| Só para me localizar: sua relação com o Gil foi pré-exílio do Gil? 
47|22/02/1993|Nana Caymmi|48|Nana Caymmi|" Foi, claro que sim. Eu conheci Gil em 66. Ele, Gal e Betânia  estavam fazendo o mesmo festival e ele me vaiando, inclusive. Quer dizer, aquela música mole, não sei o que, era totalmente diferente do que ele fazia. Isso foi em 66. Em 67, eu fiquei o ano todo com ele e todo 68 com ele. Em 69 é que houve o grande ""rebu"", com a saída deles daqui."
48|22/02/1993|Nana Caymmi|49|Regina Etcheverria| E para você como foi esse período?
49|22/02/1993|Nana Caymmi|50|Nana Caymmi| Esse período foi conturbado, bastante conturbado, mas eu não podia nem pensar em ir para a Inglaterra com ele pelos meninos. Imagine, eu ir para Inglaterra, nem pensar. Eu não tinha feito, não havia um peso político atrás de mim como tinha em cima de Gil e Caetano.  
50|22/02/1993|Nana Caymmi|51|Aimar Labaki| Falando dessa época, você chegou a falar que a pessoa com quem mais você conversava era o Torquato Neto . Qual a lembrança que você tem do Torquato?
51|22/02/1993|Nana Caymmi|52|Nana Caymmi| Ah, todas.
52|22/02/1993|Nana Caymmi|53|Aimar Labaki| Fala um pouquinho dele. 
