DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
21/02/1994|Nelson Pereira dos Santos|1|[Programa gravado, não permitindo a participação de telespectadores]|Programa gravado, não permitindo a participação de telespectadores]
21/02/1994|Nelson Pereira dos Santos|2|Jorge Escosteguy|Boa Noite. Estamos começando mais um Roda Viva pela Rede Cultura. No programa de hoje nós vamos entrevistar um dos mais importantes cineastas brasileiros, autor de clássicos como Boca de ouro , Rio 40 graus , Memórias do cárcere  e Vidas secas . No centro da roda, o nosso convidado desta noite é Nelson Pereira dos Santos, que está lançando seu último filme, A terceira margem do rio , baseado em histórias do escritor Guimarães Rosa. Trata-se do 16º longa-metragem de Nelson Pereira dos Santos, recebido com muitas restrições por boa parte da crítica. Ao mesmo tempo, a aparente minoria que gostou simplesmente achou que o filme marca o renascimento do cinema brasileiro . Para conversar com o Nelson esta noite, sobre o filme, sobre outros assuntos ligados ao cinema, à cultura e à política, nós convidamos: José Geraldo Couto, crítico de cinema do jornal Folha de S.Paulo; Maria do Rosário Caetano, crítica de cinema do Jornal de Brasília; Susana Schild, crítica de cinema e coordenadora da cinemateca do Museu de Arte Moderna no Rio de Janeiro; Wladimir de Carvalho, cineasta e documentarista; Hugo Sukman, repórter do Caderno B do Jornal do Brasil; Luís Zanin Oricchio, crítico de cinema do jornal O Estado de S. Paulo; e Alessandro Giannini, repórter do Jornal da Tarde. Lembramos aos telespectadores que o Roda Viva também é transmitido ao vivo por 26 emissoras em todo país. Na platéia, assistem ao programa convidados da produção. Lembramos ainda que, como este programa foi gravado, não haverá perguntas por telefone. Boa noite, Nelson.
21/02/1994|Nelson Pereira dos Santos|3|Nelson Pereira dos Santos|Boa noite.
21/02/1994|Nelson Pereira dos Santos|4|Jorge Escosteguy|Vamos começar com a reação ao lançamento do seu filme. Parece que a maioria da crítica fez restrições, diz que você misturou um pouco Guimarães Rosa com Graciliano Ramos, ou Guimarães Rosa com  Gabriel García Márquez; enfim, não foi uma crítica muito receptiva. O que você achou dessa resposta da crítica ao lançamento do filme?
21/02/1994|Nelson Pereira dos Santos|5|Nelson Pereira dos Santos|Ainda bem que a crítica não tem poder de polícia. Eu comecei sendo criticado pelo chefe de polícia com o Rio 40 graus. Daí dá tempo de responder, discutir e chegar verdadeiramente ao público. O que aconteceu  foram sessões especiais... e também uma coisa que confirma, o final do filme deixa uma pergunta no ar. Não é pelo fato de os aplausos terem sido escassos...  não significa que o filme não tenha ficado na cabeça do espectador, não tenha provocado no espectador alguma indagação, uma coisa interna. Vamos esperar pelo resultado, com o filme nos cinemas, passando todos os dias.
21/02/1994|Nelson Pereira dos Santos|6|Jorge Escosteguy|Quer dizer, a crítica não chega a incomodar muito você.
21/02/1994|Nelson Pereira dos Santos|7|Nelson Pereira dos Santos|Eu acho que a crítica estava muito ansiosa. Como a crítica adora o cinema brasileiro, estava querendo o filme salvador da pátria, aquele filme para ganhar a Copa do Mundo. Então, eu fiquei realmente comovido aí com os amigos. Chegaram no cinema e viram que o público não quebrou o cinema de amor e de entusiasmo. Então eles chegaram e imediatamente concluíram que não é esse o filme que vai salvar o brasileiro. Embora eu tenha advertido muitas vezes, antes de lançar o filme, que eu não assumia essa responsabilidade de, sozinho, fazer o cinema brasileiro voltar a existir.
21/02/1994|Nelson Pereira dos Santos|8|Jorge Escosteguy|Agora, você manifestou a esperança de que esse filme serviria pelo menos para contribuir aos jovens...
21/02/1994|Nelson Pereira dos Santos|9|Nelson Pereira dos Santos|Esse e todos os filmes que estão sendo feitos agora.
21/02/1994|Nelson Pereira dos Santos|10|Jorge Escosteguy|Trazer mais crédito e ânimo ao cinema.
