|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|15/12/1997|Oliver Sacks|1|Matinas Suzuki| Boa noite. Ele diz que a pessoa nunca tem uma doença, é a doença que tem a pessoa. No centro do Roda Viva esta noite está o doutor Oliver Sacks, o neurologista que mudou o entendimento sobre o que é doença e o que é normalidade. Oliver Sacks é inglês, solteiro, tem 64 anos e vive em Nova Iorque, onde é professor de neurologia clínica na Escola de Medicina Albert Einstein . Ele veio ao Brasil lançar o seu oitavo livro, A ilha dos daltônicos, em que ele analisa, como médico e antropólogo, uma comunidade doente, onde as pessoas são incapazes de ver as cores. Os outros sete livros de Oliver Sacks já foram publicados no Brasil. O mais conhecido deles é o Tempo de despertar, que inclusive deu origem a um filme com o mesmo nome. A história é interpretada por Robert De Niro e Robin Williams e é mais ou menos a própria história de Oliver Sacks, um estudioso do mal de Parkinson. Ele trabalhava em uma clínica em Nova Iorque, com pacientes que sofriam a doença do sono e que estavam alienados do mundo real. Em uma experiência polêmica, usando uma nova droga, o médico consegue tirar os pacientes do estado de letargia e trazê-los para mais perto da vida normal. A recuperação ganhou mais força quando se percebeu que o envolvimento pessoal do médico com o doente era vital para o tratamento. Esse envolvimento, que leva à investigação biográfica da doença e à humanização da prática médica, está sempre presente nas idéias desse neurologista, que vem estudando com humor e com paixão o universo neurológico do ser humano. Para entrevistar o médico Oliver Sacks nesta noite nós convidamos: Helena Katz, doutora em comunicação e semiótica pela PUC de São Paulo, crítica de dança do Caderno 2 do jornal O Estado de S. Paulo e do programa Metrópolis, aqui da Rede Cultura; Norval Baitello Júnior, doutor em ciência da comunicação pela Universidade Livre de Berlim e diretor da Faculdade de Comunicação da PUC de São Paulo; o repórter Ricardo Bonalume, da Folha de S. Paulo; a Mônica Teixeira, diretora do programa SBT Repórter; o jornalista Leão Serva; o médico e escritor Moacyr Scliar, especialista em saúde pública; e o professor e neurocirurgião Jorge Pagura, do Hospital Albert Einstein. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros. Como este programa foi gravado, hoje, infelizmente, você não poderá fazer perguntas para o nosso entrevistado, doutor Oliver Sacks. Boa noite, doutor Oliver Sacks, muito obrigado pela sua presença no nosso programa. Doutor Sacks, o senhor escreveu um livro sobre a doença do sono, um livro sobre enxaqueca, um livro sobre comunidades com problemas de visão. O que leva o senhor a escolher um objeto de estudo para um livro?
1|15/12/1997|Oliver Sacks|2|Oliver Sacks| Sinto que eles me escolhem. Não sei se os escollho. A vida de médico é cheia de riscos e coisas inesperadas. Eu ouço coisas, mas, ultimamente, meu interesse é não só por indivíduos, mas, sobretudo, por comunidades onde proliferam doenças incomuns. Tem sido uma série de acidentes nada sistemáticos a minha escolha de temas.
2|15/12/1997|Oliver Sacks|3|Matinas Suzuki| Moacyr Scliar, por favor.
3|15/12/1997|Oliver Sacks|4|Moacyr Scliar| Doutor Sacks, o senhor é um representante dessa estirpe de médicos escritores. Nomes como:  Tchékhov ; Carlos Wiliams ; como  Guimarães Rosa, aqui do Brasil, mas, entre esses médicos escritores, era rara a figura do neurologista. A minha pergunta é se realmente existe uma associação entre neurologia e literatura. E eu pergunto isso, porque, quando eu era estudante de medicina, meus professores de neurologia costumavam dizer que a neurologia é rica em diagnósticos, mas pobre em tratamentos, que os diagnósticos propiciavam uma elaboração intelectual que geravam muitos volumes. É verdade isso?
4|15/12/1997|Oliver Sacks|5|Oliver Sacks| Acho que está sendo modesto, omitindo-se da lista de médicos escritores . Tchékhov, às vezes, dizia: “A literatura é minha amante e a medicina é minha legítima esposa”, para mostrar que ele tinha uma divisão entre a parte do escritor e a do médico. Eu não sinto essa divisão. De certo modo, apesar de haver uma amplitude de assuntos, eles sempre foram clínicos. A escrita não me separa de meu trabalho clínico. Apesar de a neurologia ser pobre em terapia e longa em narrativa, acho que muitos pacientes com problemas neurológicos têm histórias extraordinárias e envolventes para contar àqueles que ficam responsáveis por eles. Assim, parece-me um assunto natural, provocando o desejo da pessoa de comunicar sua experiência e contar histórias.
5|15/12/1997|Oliver Sacks|6|Leão Serva| Os seus livros parecem tratar, em alguma medida, da pequena diferença que há entre normalidade e anormalidade. Há um ditado brasileiro que diz: “Em terra de cego, quem tem um olho é rei.” Em uma ilha de daltônicos, que é o tema de seu livro, quem vê cores é anormal?
6|15/12/1997|Oliver Sacks|7|Oliver Sacks|" Há uma história de H. G. Wells , que se passa no Brasil, em que esse provérbio é citado. Um homem com visão vai a uma comunidade de cegos e acha que será rei. De dia, ele é eficiente, mas ao anoitecer tropeça nas coisas. Começam a achar que ele é quem tem defeito e também está sujeito a estranhas alucinações, causadas por essa patologia em seu rosto que ele chama de olhos. Finalmente, ele se apaixona por uma garota da vila, mas os idosos decidem permitir que ele se case, desde que admita que removam seus olhos para ele ser normal. A história mostra que a normalidade, até certo ponto, é uma questão de julgamento social, de contexto, de opinião. Até certo ponto, é claro. Eu tinha essa história muito em mente ao visitar a ilha dos daltônicos , onde um grande número de pessoas não têm a concepção da cor. Acho que, até certo ponto, eles nos acham “normais"" em cores, como que preocupados pela cor, como que obcecados por algo não-existente ou talvez trivial. E acho que se deve distinguir o quadro de referências médico do quadro de referências étnico. Diz-se, em termos médicos, que essa gente não tem cores nos olhos, que faltam receptores vitais para a visão e são anormais. Mas eles constroem mundos com o que têm. Eles são o centro de seu próprio mundo e não se sentem deficientes. Nos termos deles, eles são normais. Esses dois quadros de referência são necessários."
7|15/12/1997|Oliver Sacks|8|Ricardo Bonalume| Essa é uma questão de quem é louco e quem não . E, nas sociedades humanas, isso é uma coisa supercomplicada, porque, se você pensar bem, uma série de sociedades humanas são completamente loucas. Tem aquele famoso caso de um filme, eu realmente não lembro qual é, que se passa na Primeira Guerra Mundial. De repente, os loucos de um asilo saem e percebem que, naquele momento, era muito mais sadio, muito mais sensato ser um louco do que participar daquela carnificina. Até que ponto a loucura não é uma construção social também? Porque, de repente, uma pessoa pobre é louca, mas uma pessoa rica pode ser meramente excêntrica.
8|15/12/1997|Oliver Sacks|9|Oliver Sacks| Essa é uma questão de discussão com pessoas como  Laing  e Thomas Szasz  falando do mito da doença mental. Por um lado, eu acho que há claramente uma disposição biológica e neurológica para a psicose maníaco-depressiva ou a esquizofrenia, para usar termos médicos. Mas acho que a formatação desses distúrbios biológicos depende muito de personalidade e de contexto. Eles também podem ser vistos como tentativas para redefinir o propósito e o significado da vida de alguém. Então, são aventuras existenciais, por um lado, e doenças biológicas, por outro. É complexo. Eu conheço muita gente que lamenta muito ter recebido tranqüilizantes e ter sido tratada, não podendo tratar da psicose em seus próprios termos. Eu não sei qual é o meu papel nisso.
9|15/12/1997|Oliver Sacks|10|Jorge Pagura| Doutor Sacks, a avaliação de um paciente, que o senhor mostra nos seus livros fazer com maestria, é um aspecto fundamental no tratamento e na condução de um caso. O senhor acredita que a evolução tecnológica, em termos de diagnóstico e em termos terapêuticos – o que não deixa de ser fascinante –, pode no futuro mudar completamente esse relacionamento, fazer com que se perca na mente o que há de mais importante, que é o relacionamento de observação entre um médico e o paciente?
