DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
06/02/1989|Paulinho da Viola|1|Jorge Escosteguy|Boa noite, estamos começando mais um Roda Viva pela TV Cultura de São Paulo. Este programa também é transmitido pela rádio Cultura AM e pelas TVs Educativas do Piauí, Ceará, Bahia, Porto Alegre e TV Cultura de Curitiba. É ainda retransmitido pelas TVs Educativas do Mato Grosso do Sul, Minas Gerais e Espírito Santo. O convidado do Roda Viva desta noite é o cantor e compositor Paulinho da Viola. Para entrevistar Paulinho da Viola nós convidamos os seguintes jornalistas: Luís Antônio Giron, do Caderno Dois de o Estado de S. Paulo; Diana Aragão, crítica e música do jornal O Globo; José Antônio Rodrigues, jornalista da sucursal de São Paulo, do Jornal do Brasil; Maria Amélia Rocha Lopes, do Jornal da Tarde e apresentadora do programa Metrópolis da TV Cultura; Carlos Callado, repórter da Folha de S. Paulo; Itamar Assumpção, músico; Edmar Pereira, jornalista do Jornal da Tarde e Tarik de Souza, crítico de música do Jornal do Brasil. Hoje, excepcionalmente, não será possível atender telefonemas dos telespectadores porque o programa está sendo gravado.
06/02/1989|Paulinho da Viola|2|Paulo César Batista de Faria, o Paulinho da Viola, nasceu no bairro de Botafogo no Rio de Janeiro, há 46 anos. Desde a década de 1960 é considerado um dos maiores compositores da nossa música popular. Apesar disso, Paulinho ficou sem gravar um disco durante 5 anos. Finalmente, cedeu aos apelos da crítica e do público e está lançando o 16º disco de sua carreira, chamado Eu canto samba [1989]. Paulinho, por que esses 5 anos sem gravar um disco? O que aconteceu?|aulo César Batista de Faria, o Paulinho da Viola, nasceu no bairro de Botafogo no Rio de Janeiro, há 46 anos. Desde a década de 1960 é considerado um dos maiores compositores da nossa música popular. Apesar disso, Paulinho ficou sem gravar um disco durante 5 anos. Finalmente, cedeu aos apelos da crítica e do público e está lançando o 16º disco de sua carreira, chamado Eu canto samba . Paulinho, por que esses 5 anos sem gravar um disco? O que aconteceu?
06/02/1989|Paulinho da Viola|3|Paulinho da Viola|Bem, muita coisa aconteceu nesse período. Quando eu fiz o último disco, chamado Prisma luminoso , ele foi lançado em um momento, que eu acho que todos se lembram, em que havia um certo ceticismo em relação à chamada MPB, até por parte de alguns autores que reclamavam, alguns músicos, alguns compositores, alguns artistas, que estavam reclamando em não ver seus trabalhos reconhecidos e executados como achavam que tinha que ser executado. E também havia uma mudança naquele momento. Quer dizer, as gravadoras estavam investindo maciçamente, acreditando maciçamente em um grupo emergente, que era o pessoal do chamado rock de garagem, pessoal novo, que estava começando e alguns já com sucesso. Então, os investimentos eram muito para isso. Quando fiz esse disco, Prisma luminoso, e comecei a viajar, comecei a perceber que havia uma resistência muito grande com relação ao trabalho de divulgação do que eu havia feito e de outros. Comecei a perceber que outros artistas também ...A gente não ouvia nas rádios, principalmente nas FMs, e era uma enorme dificuldade fazer o trabalho se tornar conhecido.
06/02/1989|Paulinho da Viola|4|Jorge Escosteguy|Que tipo de resistência você encontrava?
06/02/1989|Paulinho da Viola|5|Paulinho da Viola|A não execução, a não vontade das gravadoras, da gravadora no caso, de fazer o investimento, de apostar mais no trabalho. Então, depois que fiz esse trabalho, comecei a viajar e encontrar isso, encontrar esse ceticismo, inclusive em relação ao samba. Eu ouvia comentários de determinadas rádios, no Rio de Janeiro, de FMs, dos programadores ou até mesmo os responsáveis, que diziam assim: “Não, aqui não se toca samba mesmo e a gente não está a fim.”
06/02/1989|Paulinho da Viola|6|Diana Aragão|Agora, Paulinho, você acha que isso mudou, esse panorama mudou?
06/02/1989|Paulinho da Viola|7|Paulinho da Viola|Eu acho que mudou um pouco. Acho que as coisas mudaram um pouco. A gente chega lá ainda. Então, eu fiz o seguinte: era o penúltimo disco, o último disco que eu deveria gravar na gravadora, fazer na gravadora.
06/02/1989|Paulinho da Viola|8|Jorge Escosteguy|Qual era a gravadora?
06/02/1989|Paulinho da Viola|9|Paulinho da Viola|Era na Warner. Era em 84, deveria fazer mais um disco e encerrava o meu contrato. Eu procurei o André, o André Midani, que era o presidente da gravadora e falei isso para ele, fui muito claro e falei: Olha, André, acho que fazer um outro disco em um clima desse, com tudo aí que eu sinto, as dificuldades que eu vou encontrar para a divulgação, vai ser cumprimento de contrato, o último disco vai ser aquela coisa de... Eu já venho gravando há muito tempo aqui, gravando todo ano um disco. Eu acho que quero me livrar um pouco disso. Eu acho que é hora de dar uma parada realmente para reavaliar o meu trabalho, ver que possibilidades eu tenho com relação à música que faço aqui. E ele aceitou, concordou, achou que era aquilo mesmo e deixou em aberto uma discussão para depois, sobre como iria ficar essa questão de contrato e tudo. Naquele ano de 84 eu não gravei realmente. Então, começou acontecer comigo uma coisa que eu não esperava também. Eu comecei a viajar e fazer shows. Fui algumas vezes até para o exterior e pelo Brasil. Comecei a fazer shows e comecei a perceber uma coisa: alguns lugares que eu fazia shows, principalmente no Nordeste, eram lugares que eu não tinha ido. Eu participei de um projeto em que fui para lugares que eu não podia imaginar, como por exemplo Porto Velho, Rio Branco, Macapá, no Sul e comecei a ver que as pessoas iam ao show. Era o maior sucesso. A crítica, os jornalistas me recebiam muito bem. Todos os lugares me entrevistavam. Então, eu comecei a perceber que a questão do disco, no meu caso, naquele momento, não era uma coisa imprescindível. O artista tem sempre essa idéia de que se tem um disco, tem um gancho, porque todo mundo vai entrevistar, que isso facilita, ele vai ser executado, não sei o quê. Isso aí até certo ponto é verdade. Mas eu comecei a sentir que, no meu caso, talvez porque eu nunca tenha feito um disco assim, já fiz discos de grande sucesso, mas talvez nunca tenha feito um disco assim de grande vendagem, de uma vendagem excepcional, nunca me dei muito conta disso. Quer dizer, sempre fiz o meu trabalho, sempre fiz os meus shows. Parece que há realmente essa história de alguns artistas que, por exemplo, vendem muito disco, entendeu? Outros não vendem tanto assim, mas fazem shows e lotam. Poderia citar alguns exemplos. No meu caso, já fiz shows em diversos lugares, até com ginásios lotados, e ficava pensando: acho que eu deveria vender o número de disco compatível com o número de pessoas que vêm assistir. Mas me parece que, essa história já é um pouco antiga, nem sempre é assim. Agora, eu relaxei um pouco em relação a isso. Eu achei que em 84, 85, iria ser procurado por gravadora, como realmente algumas gravadoras me procuraram. Naquela fase, como eu já disse, um pouco descrente desse negócio de mercado de disco, essa coisa de divulgação, vinha conversando com alguns artistas. Conversei, por exemplo, com Gil . Uma vez ele falou: “Eu acho que a gente tinha que ter uma outra proposta nessa relação com gravadora, não só em questão a divulgação do trabalho da gente, mas principalmente do pessoal mais novo que está chegando aí. Acho que é preciso a gente criar uma relação diferente, não pode ser essa coisa que está aí, que de repente se faz um investimento, se atenta para só um segmento da área musical. Tem vários outros aí que não têm essa oportunidade.” Então, por causa dessa conversa chegamos a pensar até em coisas alternativas, por exemplo, discos alternativos. Falava-se muito nessa época da chamada co-produção, alguns artistas fizeram essa experiência de co-produção com gravadora. Eu estava um pouco nessa. E aí, por coincidência, comecei também a fazer algumas viagens ao exterior, fui a diversos países, e comecei empurrar essa coisa, jogar um pouco para depois. Então, depois eu comecei também a ser um pouco cobrado por diversas pessoas: “Você não grava mais?” Seria uma leviandade da minha parte também dizer assim: não, não fui procurado por nenhuma gravadora. As gravadoras não queriam nada comigo. Não, não foi bem assim. Eu recebi algumas propostas, algumas realmente não foram adiante. Por exemplo, na fase do Plano Cruzado...
06/02/1989|Paulinho da Viola|10|Jorge Escosteguy|Quando as gravadoras procuraram você não estava a fim de gravar? Achava que não era o momento?
