DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
31/03/2003|Paulo Vanzolini|1|Paulo Markun|Boa noite. Ele é médico, zoólogo e pesquisador, para sorte da ciência. Para nossa sorte ele é um dos mais expressivos compositores e poetas da música popular, com uma obra musical intimamente ligada à noite e à boemia de São Paulo. Essa obra acaba de ser reunida numa caixa de quatro CDs, num total de 52 músicas, cantadas por diversos intérpretes. No centro do Roda Viva, esta noite, Paulo Vanzolini, o zoólogo que faz música e que deixou em seus versos um dos mais poéticos relatos sobre os personagens das incertas madrugadas paulistanas.
31/03/2003|Paulo Vanzolini|2|[Vídeo mostrando a obra de Vanzolini e citando o lançamento de caixa com quatro CDs]|Vídeo mostrando a obra de Vanzolini e citando o lançamento de caixa com quatro CDs]
31/03/2003|Paulo Vanzolini|3|Paulo Markun|Para entrevistar Paulo Vanzolini convidamos: Mauro Dias, repórter de cultura do jornal O Estado de S. Paulo; Eduardo Gudin, compositor, violonista, arranjador e parceiro de Vanzolini; J.C. Botezelli, o Pelão, produtor musical e pesquisador; Francisca do Vale, artista plástica e bióloga do Museu de Zoologia da Universidade de São Paulo (USP), responsável pelos desenhos da caixa de CD's de Vanzolini - a caixa chama-se Acerto de Contas -; Lázaro de Oliveira, jornalista do programa Metrópolis da TV Cultura; e Saad Hossne, professor da Faculdade de Medicina da Universidade Estadual de São Paulo (Unesp), de Botucatu, e presidente da Comissão Nacional de Ética e Pesquisas Envolvendo Seres Humanos, órgão do Conselho Nacional de Saúde ligado ao Ministério da Saúde. Participa do programa também Ricardo Dias, cineasta. Boa noite, Vanzolini.
31/03/2003|Paulo Vanzolini|4|Paulo Vanzolini|Boa noite.
31/03/2003|Paulo Vanzolini|5|Paulo Markun|Como é que dá para misturar, dá para juntar, a zoologia e a música popular?
31/03/2003|Paulo Vanzolini|6|Paulo Vanzolini|Porque ninguém consegue fazer zoologia 24 horas por dia, nem música popular 24 horas por dia. Sempre uma deixa um tempinho para a outra.
31/03/2003|Paulo Vanzolini|7|Paulo Markun|Sei. Mas, nesse tempo todo, você, quando...Desculpe te chamar de você...É um erro técnico, aqui. Quando você se inscreve num hotel, escreve o que na profissão?
31/03/2003|Paulo Vanzolini|8|Paulo Vanzolini|Zoólogo.
31/03/2003|Paulo Vanzolini|9|Paulo Markun|Zoólogo. Então, quer dizer, é mais tempo zoólogo do que mais tempo músico?
31/03/2003|Paulo Vanzolini|10|Paulo Vanzolini|Como é que você acha que eu ganho a vida? Essa é a do zoólogo .
31/03/2003|Paulo Vanzolini|11|Lázaro de Oliveira|Paulo, a gente conhece, quer dizer, a minha geração te conhece como homem da noite, um boêmio e tudo isso. E eu me lembro que a minha geração ficou muito marcada por ouvir as suas músicas, cantadas pelo Mauricy Moura . Que relação você tinha com esse cantor?
31/03/2003|Paulo Vanzolini|12|Paulo Vanzolini|Mauricy Moura era um enorme amigo meu. Mauricy Moura, quando eu comecei com música, eu era estudante, e nós tínhamos um show universitário. Chamava-se Caravana Artística, que era da faculdade, estava dentro da faculdade de direito, mas eu participava e o Mauricy participava também. Fiquei amigo de Mauricy. Mauricy era de Santos e eu ia visitar Mauricy em Santos e ele fazia propostas assim: “Vamos lá no cais arrumar uma briga?” Quando eu fui trabalhar na TV Record, o Mauricy estava lá e eu peguei Mauricy para trabalhar comigo, porque ele era um enorme cantor, uma pessoa maravilhosa e eu queria muito bem a ele.
31/03/2003|Paulo Vanzolini|13|Lázaro de Oliveira|Foi o primeiro negro, digamos, que teve um programa na TV, segundo o Pelão?
31/03/2003|Paulo Vanzolini|14|Paulo Vanzolini|Foi. Sábado era um dia morto na TV. Então, me deram para inventar alguma coisa. Eu resolvi fazer um programa anticonvencional. Você sabe que tudo que é anticonvencional é muito convencional, não é?  Então, o primeiro programa que eu fiz, foi com o Mauricy. Mauricy chamava Grifo. Aí, a história era assim: Mauricy era um preto pobre, que gostava de uma branca rica. O pai da branca a mandou para Paris, para esquecer do Mauricy; ela foi e esqueceu. E o programa foi um grande sucesso. No sábado seguinte, lembra que não tinha gravação, no sábado seguinte, o Moura telefona de São Vicente, que não podia vir, porque a mãe dele estava no hospital. A mãe dele era muito minha amiga, Georgina, era uma mulher fabulosa. Ela tinha um atelier de costura e ela tinha um pódio, assim, a máquina dela era acima das outras e ela ficava de violão; as borra-tintas todas costurando e Georgina tocando violão lá em cima. E eu fui para São Vicente para ver Georgina, não sabia em que hospital ela estava, e fui na casa dela perguntar. Estava ela, com um regador de 20 litros, regando as plantas e eu vi que ela não estava doente, não é? Perguntei: Georgina, cadê Mauricy? “Ê, Paulinho, estão há dois dias sentados dentro da Mercearia, comendo lasca de bacalhau cru e bebendo cachaça. Ninguém tira eles de lá.” Eu entrei, para dar a maior bronca no Mauricy. Ele olhou para mim e falou assim: “Estava tão gostoso!” Acabou a bronca, nessa hora .
31/03/2003|Paulo Vanzolini|15|Lázaro de Oliveira|E como é que era a boemia, no final dos anos 1950, começo dos anos 60?
31/03/2003|Paulo Vanzolini|16|Paulo Vanzolini|Era a coisa mais ingênua do mundo. Era ficar bebendo cerveja em bar barato com os amigos.
31/03/2003|Paulo Vanzolini|17|Lázaro de Oliveira|E aí, nasceu a vontade de criar, de compor?
31/03/2003|Paulo Vanzolini|18|Paulo Vanzolini|Não, aí foi porque no nosso show...Primeiro, eu ouvia muito rádio, adorava rádio e ouvia, era o maior fã de Noel Rosa . Eu descobri Noel Rosa, ninguém me falou que ele era bom, descobri sozinho. Mas, aí, nós tínhamos um regional muito bom no nosso show, principalmente tinha um grande violão, que era o Manoel Pedro Pimentel , que depois foi professor titular de... 
31/03/2003|Paulo Vanzolini|19|Lázaro de Oliveira|Foi secretário, inclusive.
31/03/2003|Paulo Vanzolini|20|Paulo Vanzolini|Foi secretário, era um grande violão. E, então, comecei, ele sabia o que era muito ruim, não é? Só que Paulinho Nogueira , que é um grande amigo meu, tem um grande orgulho de conhecer a única pessoa que não sabe a diferença de tom maior e tom menor. Você lembra Eduardo, nós fomos dar um show uma vez juntos, Eduardo, Paulinho Nogueira e eu, coisa de jornalista, no fim, Paulinho Nogueira levantou e disse para os jornalistas: “Olha, muito bom, mas vocês bateram palmas para a única pessoa que não sabe a diferença de tom maior e tom menor.”
31/03/2003|Paulo Vanzolini|21|Paulo Markun|Agora, Vanzolini. Eu queria entender o seguinte: como é que uma pessoa que tem essa história de vida com a música popular brasileira, que tem esse fantástico repertório, que essa caixa de CDs, Acerto de Contas, registra tão bem, dê uma declaração dizendo que não vai compor mais?
31/03/2003|Paulo Vanzolini|22|Paulo Vanzolini|Não é uma declaração que eu não vou compor mais. Eu já não estou compondo faz um tempo, eu já perdi a vontade.
31/03/2003|Paulo Vanzolini|23|Paulo Markun|O que aconteceu?
31/03/2003|Paulo Vanzolini|24|Paulo Vanzolini|Não sei, eu... Você sabe que eu tenho 79 anos, não é? Isso, por um lado, pesa. Por outro, eu estou muito sozinho. Morreu Paraná , morreu o Arnaldo D'Horta , os meus amigos com quem eu gostava de discutir as minhas músicas todas e fiquei desmotivado.
