DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
19/11/2001|Philippe Perrenoud|1|Heródoto Barbeiro|Olá, boa noite. A educação de crianças e jovens é tida hoje como um grande desafio para qualquer nação do mundo. Para o Brasil, certamente, é o problema mais básico e que mais condiciona nossa perspectiva de futuro. O papel da escola, a relação entre professor e aluno, o que se aprende e como se aprende são questões que alimentam o debate em torno da revolução que se julga importante fazer no ensino. O Roda Viva de hoje é dedicado ao tema mais comentado atualmente no mundo da educação: a busca de um novo jeito de ensinar. Nosso convidado é o sociólogo suíço Philippe Perrenoud, um dos principais teóricos da pedagogia diferenciada. Doutor em sociologia e antropologia, professor da Universidade de Genebra , especializado em práticas pedagógicas, ele coloca em seus livros que o desenvolvimento de competências nos alunos é a chave da educação moderna. Parte de sua obra já está publicada em português: Pedagogia diferenciada, Construir as competências desde a escola, Avaliação e Dez novas competências para ensinar. Perrenoud afirma que a escola básica não deve ser uma preparação para estudos longos, deve ser uma preparação para a vida. O conhecimento precisa ser construído e usado como ferramenta para compreender o mundo e agir sobre ele. Assim, o papel mais importante da escola não é transferir conteúdos, mas desenvolver competências. Para entrevistar o educador Philippe Perrenoud, nós convidamos a jornalista Ana Maria Sanches, especializada em educação; Terezinha Rios, doutora em educação, professora da PUC  de São Paulo; Iara Glória Areias, secretária de ensino fundamental do Ministério da Educação; o antropólogo Edgard de Assis Carvalho, da PUC de São Paulo; Guiomar Namo de Mello, diretora executiva da Fundação Victor Civita e membro do Conselho Nacional de Educação, e o educador Francisco Cordão, assessor educacional do Senac e presidente da Câmara de Educação Básica do Conselho Nacional de Educação. O programa Roda Viva, como você sabe, é transmitido em rede nacional para todos os brasileiros e também para Brasília, em suma, para todo o nosso país. A entrevista de hoje foi gravada e, por esta razão, não será possível fazer perguntas como você faz normalmente nas edições no nosso programa Roda Viva. Professor Perrenoud, boa noite.
19/11/2001|Philippe Perrenoud|2|Philippe Perrenoud|Boa noite.
19/11/2001|Philippe Perrenoud|3|Heródoto Barbeiro|Professor, inicialmente, eu gostaria de perguntar ao senhor o seguinte. Outro dia eu ouvi um professor fazendo uma reclamação, dizendo que não conseguia mais atrair a atenção dos seus alunos na sala de aula. Ele me dizia que, na opinião dele, o grande responsável era exatamente a televisão. Eu pergunto ao senhor se realmente a televisão é responsável por isso?
19/11/2001|Philippe Perrenoud|4|Philippe Perrenoud|É um estereótipo comum a todas as sociedades acusar a televisão de distrair as crianças e de lhes ensinar a “zapear”. Na verdade, cria nelas o hábito de não se entediar com um programa ruim. Se a escola tem um programa ruim, lógico, vão “zapear”. 
19/11/2001|Philippe Perrenoud|5|Heródoto Barbeiro|Ana Maria, por favor, a sua pergunta.
19/11/2001|Philippe Perrenoud|6|Ana Maria Sanches|As suas formulações sobre as competências que o professor precisa construir para tornar-se um bom profissional estão bastante disseminadas entre os que pensam a educação no Brasil e empregam fortemente o espírito das diretrizes nacionais elaboradas pelo Ministério da Educação para formação de professores. Não se põe em dúvida a lucidez dessas propostas. No entanto, as instituições formadoras de professores que temos no Brasil continuam a trabalhar sem levar em conta a prática real dos professores, utilizando-se de modelos de formação voltados para a continuidade e para a reprodução, não para a mudança. Então, eu me pergunto: quais as competências que os formadores precisam ter para formar professores competentes? E qual o tipo de intervenção que os sistemas públicos podem adotar para que esses formadores de professores construam as competências necessárias para se tornarem formadores competentes?
19/11/2001|Philippe Perrenoud|7|Philippe Perrenoud|Primeiramente, devo dizer que, nessa situação, direi coisas simplificadoras que talvez não se apliquem ao seu país, que não conheço. Mas sua pergunta é pertinente também na Europa. Temos os mesmos debates e as mesmas resistências. Uma parte da resposta talvez seja: as universidades e instituições de formação de professores colocam todo o seu orgulho e identidade na formação de professores eficientes ou é questão de serviço elementar, para ter alunos ou para figurar no mercado? Um dos problemas é que alguns professores querem fazer outra coisa. Querem deixar essa formação profissional, porque, em muitos países, nas universidades, formar profissionais não é bem visto – exceto médicos e engenheiros. Mas, em ciências humanas, se houver opção, formam-se alunos de pós-graduação em pequenos grupos de estudos fundamentais sobre temas bem específicos. Mas professores para classes, isso parece bem menos nobre. Por isso é importante haver um debate interno nas universidades. Sobretudo em relação aos pesquisadores, para entenderem que, ao se formarem profissionais, se compreende melhor a realidade. Isso não é contrário à pesquisa, mas é um meio de fazer pesquisa, um meio para construir teoria, para se aproximar da realidade. A formação dos pesquisadores de hoje dá a impressão de que, quanto mais longe da realidade, no laboratório, cercados de instrumentos especializados, mais puros eles serão e mais capazes de compreender, portanto é um debate epistemológico. Perguntou-me também se, para formar professores, há outras competências, além de dar aulas num auditório. Depende do modelo de formação que adotem. Se for o que chamo de clínica, isso é, com situações específicas, estudos de caso, práticas, o formador deve ter grande capacidade de improvisação, de se adaptar ao que os alunos trazem num sistema de alternância. Portanto, não se pode fazer um planejamento próprio, não se diz: “Bem, hoje vou estudar tal capítulo do desenvolvimento cognitivo. Depois, na semana que vem, o capítulo seguinte...” É preciso improvisar. Isso angustia os professores. Não foram habituados a construir o saber a partir de situações específicas. Há, portanto, um desafio na formação do professor. Talvez o primeiro seja aderir a esse modelo de formação ou vencer resistências a ele. Depois, sentir-se confortável ao praticá-lo. Por exemplo, não estar sempre dizendo: “Isso não sei, é com outro especialista.” Gosto muito de uma cena do filme Bonnie & Clyde - uma rajada de balas  em que eles são perseguidos pela polícia e, na fronteira entre estados, a polícia estadual pára porque não pode persegui-los no estado vizinho. Só os federais podem fazê-lo. Talvez no Brasil seja assim. Em suma, os especialistas são como a polícia estadual. Se a questão foge a seu campo, eles dizem: “Não posso prosseguir. Consulte outra pessoa.” Os que trabalham na prática trazem questões complexas, ao mesmo tempo psicológicas, sociológicas e didáticas. Precisam de pessoas que assumam o risco da polivalência, que assumam o risco da complexidade, que não digam: “Espere. Volto daqui um ano. Vou pesquisar e, aí, eu respondo.” Precisam de quem pense junto e vá além da pesquisa. A formação dos universitários prepara-os para o contrário, para serem muito prudentes, protegidos de qualquer erro. Daí o debate sobre a vocação da universidade. Será um lugar de formação ou um lugar de ensino, de transmissão? Não sei se respondi a sua pergunta.
19/11/2001|Philippe Perrenoud|8|Heródoto Barbeiro|Professor Edgar, por favor.
19/11/2001|Philippe Perrenoud|9|Edgard de Assis Carvalho|Boa noite, professor. É um prazer estar aqui com o senhor. Eu gostaria de fazer uma observação, talvez mais antropológica. Acho que, no fim do século passado, ou seja, no século XX, aconteceu uma série de publicações sobre o que fazer com a educação no futuro. Há o seu livro Dez competências para ensinar e há um livro de Edgar Morin  chamado Sete saberes necessários à educação do futuro. Então, nós vemos uma série de elencos: Dez competências, Sete saberes etc. Olhando as suas competências, organizar, administrar, conceder, e olhando os sete saberes propostos pelo professor Morin – seguidos de conhecimento, princípios de conhecimento pertinentes, o ensino da condição humana, identidade terrena, a ética do gênio–... Como o senhor, ele reconhece um projeto que não foi para frente, dada a resistência que houve na França por causa da implantação do projeto. Então, o que eu gostaria de perguntar ao senhor é o seguinte: o senhor acha que entre seu livro e os Sete saberes necessários à educação do futuro, há contradições, complementaridades ou antagonismos?
19/11/2001|Philippe Perrenoud|10|Philippe Perrenoud|Não acho que haja contradições. Edgar Morin o fez para a Unesco . Nenhum país se comprometeu a aplicar esses sete saberes. Nem tentaram. Não podemos nem dizer que foi um fracasso. Nem se tentou. Mas ele enfatiza e penso que, antes de formar professores, é preciso responder à pergunta: “Que escola queremos?” E, se essa escola deve aplicar os sete saberes em questão, é preciso formar professores capazes de desenvolvê-los, não de ensinar coisas específicas em disciplinas. O debate sobre as propostas de Edgard Morin é, logicamente, filosófico e ideológico. São  utópicas, no atual sistema, mas necessárias. Em outras palavras, o que Edgar Morin nos diz é que é indispensável voltar a certo número de coisas, pequenas coisas – talvez sete, talvez dez, mas só o essencial –. Escola não é para se acumular saber a perder de vista sem saber por quê. É para ensinar as pessoas a viver, pensar, viver juntas, a compreender o que acontece, a conservar os pés no chão, a fazer história como atores, não como assunto. É muito importante que tenhamos isso em mente o tempo todo e que não nos percamos em programas tão detalhados, em que já nem se saiba por que ir à escola. Mas, ao mesmo tempo, a escola não pode se contentar com sete saberes. Ela deve traduzi-los em muitos objetos de saber, em muitos anos de programa e em muitas disciplinas. Mesmo que Morin nos convide à concisão, à não-dispersão, nenhum professor será capaz de ensinar por muitos anos seguindo a lista dos sete saberes, pois eles requerem uma capacidade de interpretar e transpor que exigiria toda a cultura de Edgar Morin e dos filósofos, sociólogos, psicólogos para saber o que quer dizer, na realidade, essa identidade terrena. Seria preciso ser economista, historiador, antropólogo etc. Então, é preciso, de certo modo, ajudar o professor a se aprofundar no detalhe, pois não se pode trabalhar com coisas tão abstratas, ainda que fundamentais. Meu livro está mais perto da prática concreta de quem ensina. Não é menos utópico, pois tais competências podem ainda não estar presentes, talvez nem sejam assimiladas em 5 ou 50 anos, se é que ainda haverá escola daqui 50 anos. Mas é uma utopia tão necessária quanto a dele no sentido de definir aonde chegar e o que um professor deveria normalmente saber, não para ensinar, mas para fazer aprender. Não para transmitir o saber, mas sim para construir competências e uma identidade, uma relação com o mundo, com o saber. É arriscado reduzi-las a dez ou cinqüenta, pois há muitas outras dimensões. Mas insistimos nessas listas infinitas que é importante voltar ao essencial. Nisso estou próximo de Morin. Conservar a visão do todo, não se perder nos detalhes. Não se vai à escola por cem razões, mas por três ou quatro razões, que são bastante suficientes.
