DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
29/07/1991|Raquel Cândido|1|[Programa ao vivo, permitindo a participação de telespectadores]|Programa ao vivo, permitindo a participação de telespectadores]
29/07/1991|Raquel Cândido|2|Jorge Escosteguy|Boa noite. Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. A convidada desta noite é a deputada federal por Rondônia, Raquel Cândido. A deputada Raquel Cândido ganhou as manchetes dos jornais nos últimos meses, diante das acusações que fez na Câmara dos Deputados sobre o tráfico de drogas em Rondônia, envolvendo políticos com os cartéis de Medellín e Cali. Em maio a deputada foi agredida em plenário pelo deputado Nobel Moura, de Rondônia, também acusado de envolvimento. Ela tem sido ameaçada de morte, seu apartamento no Rio foi invadido e seu gabinete na Câmara foi arrombado e vários documentos queimados. Para entrevistar a Raquel Cândido esta noite, no Roda Viva, nós convidamos: Hugo Studart, repórter especial da Folha de S.Paulo; Mônica Teixeira, jornalista; Caco Barcelos, repórter especial da TV Globo; Percival de Souza, repórter especial do Jornal da Tarde; Renato Lombardi, repórter do jornal O Estado de S. Paulo, Luiz Lanzetta, repórter de política do Jornal do Brasil e José Paulo de Andrade, diretor de jornalismo da rádio e comentarista da TV Bandeirantes. Também convidamos e está chegando agora, um pouco atrasado por problemas de trânsito, o Francisco Viana, editor da revista Isto É Senhor. Boa noite, deputada. A senhora teve uma audiência importante hoje em Brasília a respeito dessas denúncias de tráfico de drogas em Rondônia?
29/07/1991|Raquel Cândido|3|Raquel Cândido|Em primeiro lugar, eu tenho que agradecer a este programa, ao Brasil inteiro, e aos jornalistas, que poderão fazer todo e qualquer tipo de pergunta, sem que eu vá lá apagar a câmera ou ameaçá-los. Fiquem tranqüilos. Essa audiência hoje foi para mim surpreendente, eu não esperava.
29/07/1991|Raquel Cândido|4|Jorge Escosteguy|Com quem a senhora teve audiência?
29/07/1991|Raquel Cândido|5|Raquel Cândido|Eu tive a audiência, primeiro com o ministro da Justiça, em seguida com o presidente da República, e de volta da audiência com o presidente da República, me encontrei com o doutor  Tuma . Gostaria de ter encontrado com os três juntos, mas tive reunião ao mesmo tempo com eles em horários diferentes.
29/07/1991|Raquel Cândido|6|Jorge Escosteguy|O que a senhora falou na audiência? Por que foi surpreendente? Do ministro para o presidente da República...
29/07/1991|Raquel Cândido|7|Raquel Cândido|Pelo seguinte: tinha mais ou menos quarenta dias que eu estava procurando essa audiência, e eu achava que estava acontecendo alguma coisa que não fazia com que eu chegasse até o presidente da República, alguma força muito poderosa, como é a questão do crime organizado, do narcotráfico. São forças ocultas que você não sabe de onde vêm. Eu falava com o ministro, tinha o problema da 296, tinha o problema da ida ao México, então as coisas estavam acontecendo. Até porque, também paralelo a isso, como aconteceram muitas coisas graves com relação a minha vida, a vida dos meus familiares, por incrível que pareça, eu fui bater numa embaixada americana, dizendo: “embaixador, eu respeito a sua bandeira, mas sou brasileira. Não gosto da forma como vocês tratam o meu país economicamente, mas como já fiz várias pesquisas em outros países para elaborar a parte econômica e mineraria do meu país indo à Austrália e ao Canadá, colhendo subsídios, gostaria de manter contatos com parlamentares do Congresso Americano para saber da legislação americana com relação ao narcotráfico e o orçamento, que é item dois, nos Estados Unidos, com relação à droga”. E também me preocupou que as sete poderosas  que se uniram agora, há cerca de um mês, tenham colocado no seu item, a questão droga. Eu queria conversar, como vou à embaixada da Inglaterra, como vou à embaixada da Itália, perguntar por que faz parte do item das sete poderosas, caminhando para as oito, a questão droga. Portanto porque a América Latina não pode ficar sendo questionada, ela só, com a questão droga, enquanto a Europa, os Estados Unidos estão com esse problema em casa, estão questionando, e nós, da América Latina e do Brasil, em especial, que estamos próximos da América Latina, temos que questionar, inclusive, no orçamento, qual o orçamento para a Polícia Federal? Como é que está o problema da soberania na fronteira? Por que os laboratórios de narcotraficantes estão vindo para nossa fronteira? Enfim...
29/07/1991|Raquel Cândido|8|Jorge Escosteguy|Desculpe interrompê-la, deputada. Eu queria que a senhora retomasse um pouco o começo. A senhora ficou surpresa, porque estava há muito tempo querendo ter uma audiência com o presidente da República e não conseguia.
29/07/1991|Raquel Cândido|9|Raquel Cândido|É verdade.
29/07/1991|Raquel Cândido|10|Jorge Escosteguy|Aí aconteceu o quê, hoje? O ministro  Passarinho  lhe chamou ...
29/07/1991|Raquel Cândido|11|Raquel Cândido| Aconteceu que o ministro me ligou...
29/07/1991|Raquel Cândido|12|Jorge Escosteguy| O ministro Jarbas Passarinho, da Justiça?
29/07/1991|Raquel Cândido|13|Raquel Cândido|... às oito horas, e aconteceu nessa hora um fato interessante, eu não sei como e quem avisou para o deputado Jabes que eu chegaria naquele momento, e eu fui surpreendida ao sair do meu gabinete para ir ao ministério pelo deputado Jabes Rabelo e o seu motorista ...
29/07/1991|Raquel Cândido|14|Jorge Escosteguy| Deputado Jabes Rabelo, que é um dos envolvidos nas acusações sobre o tráfico de drogas.
29/07/1991|Raquel Cândido|15|Raquel Cândido|Eu não sei, isso aí é um problema da Polícia Federal. Os irmãos, eu sei, hoje, sem sombra de dúvida. Eu acho que a comissão do Congresso corregedor chegará a essa conclusão, não sou eu que tenho que chegar. Então veja bem, fui surpreendida por ele e seu motorista. Lamentavelmente, o deputado Robson Tuma não estava no Congresso Nacional, e o deputado Jabes foi usar a vaga do deputado Robson Tuma. Naquele momento, eu falei para o meu anjo de guarda que é um policial federal, que só era um que estava cuidando de mim naquela hora, com o meu motorista, eu disse: “corre, corre para ver para onde vai esse carro”. Porque vinha um carro de Curitiba, na mesma direção, o deputado Jabes passou por mim, entrou no Congresso e o motorista estava armado, eu não sei se era segurança, eu creio que não, porque não sei se ele está sendo intimidado, e se dirigiu a esse carro de Curitiba. Então eu chamei o PM e falei: “veja que carro é esse”. Eles saíram fugindo, e eu fui para o Ministério da Justiça, nessa hora, graças a Deus, viva e inteira. E a Câmara não sabe explicar quem é, quem era o segurança. Ela vai talvez explicar, eu tenho certeza que vai apurar, eu aguardo.
29/07/1991|Raquel Cândido|16|José Paulo de Andrade|A senhora não é do partido do presidente, deputada Raquel Cândido?
29/07/1991|Raquel Cândido|17|Raquel Cândido|Não senhor.
29/07/1991|Raquel Cândido|18|José Paulo de Andrade|A senhora não é do mesmo partido?
