DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
10/08/1987|Raul Cortez|1|[Programa gravado, não permitindo a participação dos telespectadores]|Programa gravado, não permitindo a participação dos telespectadores]
10/08/1987|Raul Cortez|2|Augusto Nunes|Boa noite. Aqui começa mais um programa Roda Vida da TV Cultura de São Paulo. Nós lembramos que esse programa foi, excepcionalmente, gravado, portanto não poderemos recolher entrevistas formuladas por telefone pelos nossos telespectadores. Lembramos, ainda, que o programa Roda Vida é retransmitido pelas TVs educativas de Minas Gerais, Espírito Santo, Mato Grosso do Sul, Rio Grande do Sul, Bahia e Piauí. Nosso convidado de hoje é o ator Raul Cortez. O paulista Raul Cristiano Machado Cortez acumula já há trinta anos sucessos em várias frentes: no cinema, no teatro e na televisão. No momento, Raul segue brilhando em todas essas áreas, uma das quais é a novela das 19 horas da TV Globo, Brega & chique. É para falar da sua carreira, para expor suas opiniões sobre o teatro e sobre a situação brasileira que o programa Roda Viva convidou Raul Cortez. Convidamos também para entrevistá-lo o jornalista Ivan Ângelo, escritor e editor-chefe do Jornal da Tarde; o jornalista Caetano Bedaque, chefe de divulgação da Rede Bandeirantes; a atriz Célia Helena; a jornalista Cristina Duarte, diretora de redação da revista Cláudia; o jornalista Marcos Augusto Gonçalves, editor da Folha Ilustrada, do jornal Folha de S.Paulo; o jornalista Marco Antônio Lacerda, editor da revista Vogue; o jornalista Luís Fernando Emediato, editor do Caderno 2 do jornal O Estado de S. Paulo; o jornalista Humberto Werneck, da revista Isto É; a atriz e deputada estadual Ruth Escobar e o jornalista Luciano Ramos, da TV Cultura. Estará acompanhando o programa e nossos movimentos e assuntos o cartunista Paulo Caruso. Temos também a presença de alguns convidados da produção do programa. Raul Cortez, você acha que, neste momento, a cultura brasileira está mais para brega ou mais para chique?
10/08/1987|Raul Cortez|3|Raul Cortez| Se ele estivesse para brega, até seria uma coisa muito boa! Eu acho que nem para isso está. Acho que a cultura brasileira, de uma forma geral – não especificando a minha área, que é o teatro –... acho que está simplesmente parada. Acho que nada, realmente, acontece. Agora, dentro do meu setor, que é o teatro... Sempre considerei o teatro  um reflexo do que está acontecendo na vida brasileira. Então, esse marasmo em que alguns dizem – com o que não concordo na sua totalidade– que o teatro está acho que sempre está refletindo o que está acontecendo no país no momento. Então, ninguém pode tirar essa qualidade do teatro, nesse momento. Ele está, realmente, refletindo que está acontecendo tudo isso. Se dizem que o teatro é medíocre, acho que a nossa vida criativa, artística está medíocre, não como nossa culpa evidentemente... Uma série de coisas que vem acontecendo durante esses anos todos na vida brasileira. 
10/08/1987|Raul Cortez|4|Augusto Nunes|Agora, Raul, te incomoda, de alguma forma, o fato de você ser mais conhecido popularmente como ator de novela de TV do que como um grande ator de teatro que você, reconhecidamente, é?
10/08/1987|Raul Cortez|5|Raul Cortez|Acho que, de uma certa maneira, me incomoda. Me incomoda no momento em que a gente tenta justificar a vida da gente, trazer não só uma respeitabilidade para a própria carreira, mas pela própria função que você está desempenhando... E também porque você fica sempre na eterna luta da qualidade e quantidade, entre uma coisa e outra. Evidentemente, a telenovela – e não vejo atualmente nenhum desprestígio em fazer – traz, normalmente, mais quantidade e menos qualidade. Que até o processo de criação e de fazer a novela, a cada dia um capítulo, enfim... Nesse processo de trabalho, a gente não tem muito tempo. E vejo meus colegas todos da televisão com muito respeito, porque o tempo que se tem para criar qualquer coisa é muito pequeno. E as coisas criadas dentro dessa novela que estou fazendo eu acho extraordinárias, porque você tem um diretor, de repente, com o talento do Jorge Fernando . Então, essas coisas têm que ser levadas em consideração. Evidentemente, dentro do teatro você tem mais oportunidades de fazer coisas melhores. No cinema, sem falar, é claro.
10/08/1987|Raul Cortez|6|Ruth Escobar|Raul, o Augusto perguntou se o teatro está mais para brega ou mais para chique, né? E você disse que o teatro, em certo sentido, reflete o momento que a sociedade está vivendo. Agora, o que acontece? Nós tivemos aqui vinte e tantos anos de ditadura e nós dizíamos – nos momentos em que o teatro esteve em crise, ele passou por ciclos de crises de subida e descida–... e nós, os artistas, muitas vezes colocávamos a responsabilidade disso em relação à censura. Nós podemos dizer... Nós quase podemos dizer que a censura não se exerce mais como ela se exerceu nos tempos da ditadura. Então, como é que se justifica que de repente haja esse vazio cultural do país? E, muitas vezes, a gente se pergunta “será que os artistas conseguem criar mais quando eles têm o gancho da censura e da repressão em cima deles?” Como é que você justifica que no momento em que há uma liberação, quer dizer, a censura ainda existe... Mas como é que se justifica quando, de repente, surgem os grandes textos falando do momento político que é tão... Em certo sentido, pode ser dramático, mas ele é criativo... Não é?
10/08/1987|Raul Cortez|7|Raul Cortez|Quando se fala em censura, a gente esquece que houve uma outra censura também que foi terrível, que foi censura econômica. Então, muitas pessoas – não digo só atores, de uma forma geral – se afastaram do teatro, foram à televisão, por um problema inclusive econômico, não é? E o que se vê atualmente é um reflexo de todos esses anos de repressão que se teve. Quando se diz que um artista talvez melhore o seu poder criativo dentro de uma repressão, acho isso terrível de se falar! Porque o que na verdade – não sei, pelo menos é o meu caso –... o que realmente acontece quando existe uma repressão é que ela provoca uma energia muito grande por parte da gente. Eu acho que ninguém gosta de ser...
10/08/1987|Raul Cortez|8|Ruth Escobar|A gente talvez introjete uma espécie de auto-censura, não? Será que isso tem reflexos depois?
10/08/1987|Raul Cortez|9|Raul Cortez|Isso teve... Evidentemente que teve. Teve especificamente na área dos autores de teatro. Também... Ninguém mais queria escrever para o teatro. Por que você ia escrever para o teatro se as peças não iam ser encenadas? Se o trabalho deles não poderia ser melhorado através de se ver representado, não é? Então, isso também frustrou demais. Como é que eu poderia representar bem, sabendo que, de repente, ia ter – como teve, inclusive, com você, não foi, numa peça que nós fizemos juntos? – na bilheteria algo dizendo que aquela peça era considerada pornográfica. O que, na época, afastava o público, porque era na época da marcha daquelas senhoras não é?
10/08/1987|Raul Cortez|10|Ruth Escobar|Santana.  
