DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
04/05/1998|Renato Borghi|1|Matinas Suzuki|Boa noite. Ele é um dos mais importantes atores brasileiros e está comemorando 40 anos de atividade teatral. No centro do Roda Viva, o ator Renato Borghi.
04/05/1998|Renato Borghi|2|[Comentarista]|Ele poderia ter ficado conhecido como doutor Borghi, mas no início dos anos 60, Renato Borghi abandonou o curso de direito, levando junto outro ex-futuro advogado, José Celso Martinez Corrêa . Dessa mudança de rumo, surgiu o Oficina , um dos grupos teatrais mais importantes do país.
04/05/1998|Renato Borghi|3|Renato Borghi [em entrevista gravada]|O Zé Celso é uma figura importantíssima na minha vida. O Zé Celso, inclusive, por uma coincidência, nasceu no dia 30 de março de 1937, como eu: no mesmo dia, do mesmo mês.
04/05/1998|Renato Borghi|4|[...]|Foram fazer faculdade de direito juntos...
04/05/1998|Renato Borghi|5|Renato Borghi [em entrevista gravada]|E ele fez faculdade de direito e cruzou na mesma turma, e lá, nós fundamos o Teatro Oficina.
04/05/1998|Renato Borghi|6|[Cenas de palco gravadas]|Eu não quero ofender ninguém, meu Deus, eu é que me sinto ofendido por vocês, amargamente ofendido. Vocês não prestam a mínima atenção...
04/05/1998|Renato Borghi|7|[Comentarista]|A estréia de Renato Borghi no teatro foi anterior ao grupo Oficina. Em 1958, aos 20 anos, foi escolhido por Sérgio Cardoso  para uma peça entre cinquenta candidatos. Sérgio Cardoso teria dito: “O papel é seu, nunca mais abandone o teatro”. Borghi seguiu o conselho. Está comemorando 40 anos de profissão.
04/05/1998|Renato Borghi|8|[Cenas de palco gravadas]|(...) não se trata de desapontá-la, porque creio na sua aparição espontânea e inelutável. Surgirá, de vozes jovens (...)
04/05/1998|Renato Borghi|9|[Comentarista]|Depois de se separar de José Celso, no início dos anos 70, Borghi fundou com a mulher, a atriz Esther Góes, o Teatro Vivo.
04/05/1998|Renato Borghi|10|[Cenas de palco gravadas]|(...) por favor, em vez de me censurar, queira ter a bondade de me apresentar a (...)
04/05/1998|Renato Borghi|11|[Comentarista]|Também trabalhou como autor: a peça O lobo de Ray-Ban foi escrita por ele.
04/05/1998|Renato Borghi|12|Renato Borghi [em entrevista gravada]|Mas você se sente assim, brincando de Deus, não é? Você começa a criar um universo da pessoa, o universo de outra pessoa, o conflito que existe entre elas, a traçar o destino delas etc. Então, é uma coisa que dá uma sensação muito gratificante, é muito gostoso brincar com isso.
04/05/1998|Renato Borghi|13|[Cenas de palco gravadas]|(...) assim não será responsável por tudo quando o nome de papai estiver jogado na lama (...)
04/05/1998|Renato Borghi|14|[Comentarista]|Na televisão, fez novelas na Globo e na Tupy .
04/05/1998|Renato Borghi|15|[Cenas de palco gravadas]|(...) é você toda, toda, inteirinha (...) eu vou te cortar de tesoura (...)
