DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
24/05/1999|Roberto Da Matta|1|Paulo Markun|Boa noite. Ele diz que o Brasil é o país que escolheu não escolher, que é o país do número três, do mediador. Entre o branco e o preto tem o mulato; entre o inferno e o céu tem o purgatório; entre a esquerda e a direita tem o centro. E está exatamente no centro do Roda Viva desta noite o antropólogo mais polêmico do Brasil, Roberto Da Matta. Formado em história e com mestrado e doutorado em antropologia na universidade americana de Harvard, Roberto Da Matta leciona há mais de doze anos na Universidade de Notredame, em Indiana, nos EUA. Já publicou onze livros, trabalhos que se tornaram marcos do pensamento antropológico brasileiro e referência para o estudo e compreensão da nossa realidade. A malandragem, o heroísmo, a corrupção, o futebol, a casa e a rua, as leis e os costumes. Traços da alma brasileira que compõem nossa intrincada teia social. O seu último livro, Águias, burros e borboletas, baseado na tese da antropóloga Helena Soares, é um mergulho no mundo mágico e profundamente brasileiro do jogo do bicho. O tema não poderia ser melhor.
24/05/1999|Roberto Da Matta|2|[Comentarista]|Numa cultura em que todos ou quase todos sonham no máximo ganhar sem o menor esforço, o jogo do bicho entrou fácil na vida brasileira. Tudo começou no final do século passado, no Rio de Janeiro. O Barão de Drummond, dono do primeiro jardim zoológico no Brasil, teve uma idéia para atrair mais visitantes e garantir a manutenção do empreendimento. Cada ingresso vinha com uma figura de um animal, era sorteado um bicho por dia e o ganhador recebia um prêmio em dinheiro. A idéia pegou e em pouco tempo o que era sorteio virou aposta, dando origem a um jogo que se expandiu rápido, alimentado pelo sonho de se ganhar muito apostando pouco. Há mais de cem anos, o brasileiro vem fazendo a sua "fezinha" nesse jogo de azar proibido desde 1944, mas que se solidificou ainda mais na ilegalidade. Jogo ingênuo passou para a contravenção e se envolveu com o submundo do crime. Bicheiros espalharam sua influência por toda a sociedade, numa rede de corrupção que envolveu até mesmo autoridades e políticos, revelando uma face nada exemplar do cotidiano brasileiro. Por tudo isso o Brasil sem o jogo do bicho não seria o mesmo. Como o carnaval, o jogo ajudou a formar a identidade nacional na análise de Roberto Da Matta, que há trinta anos vem olhando a nossa gente, nossos malandros e nossos heróis, procurando explicar um país que aprendeu a apostar em águias, burros e borboletas, que aprendeu a apostar no capital especulativo da ciranda brasileira, mas que ainda não aprendeu a apostar em si mesmo.
24/05/1999|Roberto Da Matta|3|Paulo Markun|Para entrevistar o antropólogo Roberto Da Matta, nós convidamos o carnavalesco Joãosinho Trinta, da Escola de Samba Unidos do Viradouro, do Rio de Janeiro; o professor Renato Janine Ribeiro, titular de filosofia da Universidade de São Paulo; a professora Paula Monteiro, diretora do Museu de Arqueologia e Etnologia da Universidade de São Paulo e pesquisadora do Cebrap, Centro Brasileiro de Análise e Pesquisa; o jornalista Fernando Mitre, diretor de jornalismo da Rede Bandeirantes; o repórter da TV Cultura de São Paulo Hélio Alcântara, que vai apresentar aqui as perguntas enviadas por você por telefone ou por fax e pela internet, e o jornalista Fernando de Barros e Silva, editorialista e crítico de TV do jornal Folha de S. Paulo. Este programa é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Professor Roberto Da Matta, boa noite.
24/05/1999|Roberto Da Matta|4|Roberto Da Matta|Boa noite.
24/05/1999|Roberto Da Matta|5|Paulo Markun|Queria começar pelo seguinte: mexendo aí, um pouco, com o jogo do bicho. O senhor acha que um dia ainda vai dar Brasil na cabeça?
24/05/1999|Roberto Da Matta|6|Roberto Da Matta|A pergunta é óbvia: é claro que vai dar, já está dando. Eu acho muito interessante a pergunta, porque ela mostra, ela é uma pergunta recorrente que a gente sempre faz, não é? E ela mostra uma maneira de ver o Brasil, uma leitura do Brasil que é uma leitura curiosa, que em outros países não acontece, que é assim: o Brasil perdeu o trem da história, o Brasil é um país que pode dar certo. Eu acho que essa pergunta para uma sociedade é uma pergunta que talvez não caiba fazer, porque as sociedades existem e independem da gente.
24/05/1999|Roberto Da Matta|7|Paulo Markun|O que a gente faz?
24/05/1999|Roberto Da Matta|8|Roberto Da Matta|Depende da maneira como a gente lê. Se você achar que o Brasil está muito errado, então tem-se que fazer alguma coisa. Se você acha que é uma sociedade que tem coisas certas e erradas, quer dizer, é uma combinação e tem tido um processo histórico particular, enfim, com altos e baixos etc, mas que, evidentemente está chegando a uma certa modernidade, que também tem as suas singularidades etc, então a resposta seria: está dando na cabeça, não tem jeito, se não está dando na cabeça, está dando na nossa cabeça, isso que é o certo. Que é o que a gente vai tentar fazer um pouco um exercício coletivo aqui, porque quem sou eu para fazer um exercício individual?
24/05/1999|Roberto Da Matta|9|Fernando de Barros e Silva|Você diz "uma sociedade com altos e baixos". O grande "baixo" dessa sociedade é a exclusão social. Ela se modernizou,  ela tem características arcaicas ainda, tem coisas muito modernas, é uma sociedade basicamente industrial. Mas tem uma questão: grande parte da população não foi incluída no mercado, na cidadania etc. Esse, acho, é o ponto central quando o Markun pergunta se vai dar Brasil na cabeça. O senhor acha que, sob esse aspecto que eu acho decisivo, vai dar Brasil na cabeça? Há ainda essa possibilidade de essa sociedade ser menos excludente?
24/05/1999|Roberto Da Matta|10|Roberto Da Matta|Fernando, deixa eu fazer um reparo à tese. Eu tenho analisado o Brasil distinguindo duas coletividades. Uma é o Estado nacional. Eu acho que o Estado nacional realmente tem excluído. O outro é a sociedade brasileira, é uma outra coletividade, é organizada em termos de outros princípios, tem uma lógica que é um pouco diferente. E as expectativas de quem fala da sociedade também são diferentes. Nesse sentido, mesmo mantendo uma hierarquia, ela tem incluído, ela não é exclusiva, ela é uma sociedade híbrida, ela junta, ela tem na ambigüidade um valor. Então é preciso ver como a gente lê essas coisas. O interessante, no caso brasileiro, é exatamente o fato de você ter duas lógicas, você ter essas duas coletividades e a leitura, a maneira como você se sente em relação a essa totalidade que a gente chama Brasil. Essa "realidade", com aspas, que é construída, não é uma coisa como uma pedra. Ela é construída por todos nós, é um diálogo, está certo? Existe uma recorrência de imagens, depende muito da maneira como você vê. Eu acho que esse é o grande desafio, a grande vergonha do Brasil é essa exclusão, quando você fala do Estado Nacional. Entretanto, eu acho que, nos últimos dez anos, eu acho que isso tem, quer dizer, a consciência da exclusão é muito grande. Eu acho muito difícil que o Brasil entre no século XXI com os mesmos mecanismos sistemáticos de exclusão  que ele entrou no século XX. A saída para o século XXI e a entrada no século XX é até um dado interessante para comparar. O pessimismo da entrada no século XX e um relativo talvez otimismo, uma certa esperança muito grande no século XXI, é muito tempo, mas toda as sociedades têm os seus pontos cegos. Eu aprendi nos últimos doze anos... eu aprendi, talvez, a ter um pouco mais de paciência com o Brasil.
24/05/1999|Roberto Da Matta|11|Paula Monteiro|Você diz num artigo de 1998, um artigo de jornal, que algumas medidas políticas voltadas à modernização podem gerar exatamente o inverso, podem gerar efeitos antimodernos. Então eu te perguntaria se você acha que o governo Fernando Henrique  se esqueceu de convidar o povo no seu modelo de transição democrática?
24/05/1999|Roberto Da Matta|12|Roberto Da Matta|O Gilberto Freyre tem uma frase na passagem do Ordem e progresso (1957) que eu acho que vale a pena invocar. Ele diz assim: "a República, os republicanos mudaram tudo, mudaram os portos, os canais, o exército, a marinha,  se esqueceram de preparar a sociedade para essas mudanças". Eu acho que, até certo ponto, isso vale para o governo Fernando Henrique. Eu acho que existe uma certa inércia relativamente ao poder. Eu acho que no Brasil é preciso fazer uma crítica e quem tem que fazer essa crítica são as pessoas que ocupam os cargos que são os cargos eleitorais, as pessoas que são os representantes, fazer uma crítica do que significa, inclusive, a categoria governo, menos talvez do que a categoria Estado. Porque a categoria Estado é uma categoria importada. A categoria governo, ela é ativa, o povo não fala de Estado, o povo fala de governo, ele não fala "o Estado nacional", ele fala "o governo é ruim", "o governo é bom" etc. Eu acho que precisava fazer isso, precisava fazer uma crítica. Eu acho que há uma certa inércia, no sentido de que as práticas do governo, as práticas das pessoas que se transformam em governo são práticas que precisam dar uma sacudidela, precisavam dar uma mexida. E o problema é dito por os jornalistas e por uma série de pessoas da comunicação. Entretanto quem sou eu para ser conselheiro do governo? Eu não tenho, eu não tenho a vontade de ser, eu não tenho a competência para ser, eu apenas posso dizer, isso é uma coisa que você pode sentir. Você evita uma dialética negativa se você comunica mais, isso é uma pressuposição, talvez seja uma pressuposição ingênua de a gente fazer, mas eu acho que é uma pressuposição que conta, porque se você não tem... se você não tem muita consciência, se você não aborda, no fundo é a questão da cultura, é a questão de que os antropólogos tratam, que eu mexo com isso, que é uma questão importante, que é uma questão da cultura. Se ela existe, se ela é considerada como alguma coisa que tem uma realidade concreta nas suas várias dimensões, com os seus limites, com a sua capacidade de iluminar determinados aspectos da realidade ou não, é um aspecto do simbolismo. Na pesquisa que saiu, eu vi rapidamente hoje, na revista Época, é muito interessante o papel do presidente. Tem muitos dados que são perturbadores, mas tem um dado curioso lá, que o papel do presidente como uma figura importante...
24/05/1999|Roberto Da Matta|13|Paulo Markun|Quase 76%.
24/05/1999|Roberto Da Matta|14|Roberto Da Matta|Exatamente. O papel do presidente é extremamente importante. Então, é uma questão... quer dizer, você olhar e ver o que você vai fazer e tomar as decisões, aí tem todo o problema das alianças políticas, que só uma pessoa que está naquela posição pode dizer.
