|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|30/04/2001|Roberto Mangabeira Unger|1|[programa gravado]|
1|30/04/2001|Roberto Mangabeira Unger|2|Heródoto Barbeiro| Olá, boa noite. Ele é um dos mais conhecidos intelectuais brasileiros no exterior. Estudioso dos nossos problemas, vem propondo uma alternativa progressista ao Brasil, achando que o país pode caminhar para uma realidade diferente dessa que aí está, e que muitas vezes é encarada como a única realidade possível. O Roda Viva entrevista esta noite o professor de direito, filósofo e pensador Roberto Mangabeira Unger.
2|30/04/2001|Roberto Mangabeira Unger|3|[inserção de vídeo]|
3|30/04/2001|Roberto Mangabeira Unger|4|Narração de Valéria Grillo| Professor titular de direito na Universidade de Harvard, nos Estados Unidos, durante 29 anos, Roberto Mangabeira Unger decidiu voltar de vez para o Brasil e se dedicar à política . Nos últimos anos, atuou como consultor de Leonel Brizola, do PDT; foi um dos intelectuais que influenciaram Vicente Fox, eleito no ano passado presidente do México ; e é o formulador das propostas de governo de Ciro Gomes , pré-candidato do PPS às eleições presidenciais de 2002. Mangabeira Unger até tentou ser candidato a prefeito de São Paulo em 2000, mas seu partido, o PPS, decidiu indicar Emerson Kapaz como vice numa chapa coligada com a candidata Luiza Erundina . O professor Mangabeira teve de desistir e se dedicou a continuar divulgando suas propostas políticas, reunidas agora no livro A segunda via: presente e futuro do Brasil. O livro, que acaba de ser lançado, sintetiza sua idéia de refundar o Estado brasileiro. A segunda via de Mangabeira Unger é colocada como alternativa ao modelo econômico americano e à proposta de reforma social democrata do primeiro-ministro inglês  Tony Blair. Segundo ele ,  “A idéia de uma terceira via é apenas a própria doutrina do caminho único, acompanhada do anúncio de intenção de humanizá-lo. A terceira via é a primeira via açucarada.”
4|30/04/2001|Roberto Mangabeira Unger|5|Heródoto Barbeiro| Para entrevistar o professor Roberto Mangabeira Unger, nós convidamos o jornalista Bob Fernandes, que é o redator-chefe da revista Carta Capital; o economista Luiz Gonzaga Belluzzo, professor da Unicamp e colunista da Carta Capital; o Wagner Carelli, que é diretor editorial da editora Globo; a Cida Damasco, que é editora executiva do jornal Gazeta Mercantil; o cientista político Carlos Novaes; e Ramiro Alves, editor de política da revista IstoÉ. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros. Hoje não vai ser possível sua participação no programa como telespectador, como faz normalmente, porque o nosso programa está gravado.
5|30/04/2001|Roberto Mangabeira Unger|6|Heródoto Barbeiro| Professor Mangabeira Unger, boa noite, professor.
6|30/04/2001|Roberto Mangabeira Unger|7|Roberto Mangabeira Unger| Boa noite.
7|30/04/2001|Roberto Mangabeira Unger|8|Heródoto Barbeiro| Obrigado pela participação do senhor e pela sua vinda aqui no Roda Viva.
8|30/04/2001|Roberto Mangabeira Unger|9|Roberto Mangabeira Unger| Obrigado.
9|30/04/2001|Roberto Mangabeira Unger|10|Heródoto Barbeiro| Professor, li recentemente uma entrevista do senhor Ciro Gomes, no jornal Valor, dizendo que ele não vai dizer que o programa dele, pré-candidato a presidente da República do Brasil, é um programa socialista. Disse que não vai falar a respeito do socialismo, e outros deverão empunhar essa bandeira, mas não ele. Eu gostaria de ouvir um comentário do senhor a respeito disso, porque o senhor faz parte do partido dele, que é o PPS, e acho que PPS tem alguma coisa em socialista na sigla .
