|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|20/03/1995|Rubens Barrichello|1|[Programa ao vivo permitindo a participação do telespectador]|
1|20/03/1995|Rubens Barrichello|2|Matinas Suzuki Júnior| Boa noite. Os motores voltam a roncar em Interlagos. É a abertura da temporada de Fórmula 1/95. No cockpit  do Roda Viva desta noite está Rubens Gonçalves Barrichello, a grande esperança brasileira. Impressionado com o desempenho do novo motor Peugeot, Rubinho disse que seu Jordan 195 tem cara de vencedor.
2|20/03/1995|Rubens Barrichello|3|[Comentarista]| Diz a lenda que Rubens Barrichello começou a pilotar antes mesmo de saber soletrar a palavra “corrida”. Aos seis anos, Rubinho já ia a mais de 100 km por hora atrás das vitórias nos campeonatos de kart e conseguiu: ele foi cinco vezes campeão paulista e brasileiro. Aos 17 anos, ainda não podia dirigir nas ruas, mas já disputava o campeonato de Fórmula Ford. A vida corria rápido para Barrichello. Sozinho, ele se muda para a Europa e é o campeão na Fórmula Opel. Na temporada seguinte, Rubinho continua no alto do pódio. É dele o título de campeão da Fórmula 3. Depois de uma passagem pela Fórmula 3000, realiza um sonho de criança: entra para o clube da Fórmula 1, pilotando uma Jordan. Rubinho terminou 1993 em décimo sétimo lugar. Uma acelerada dramática, no entanto mudou a sua carreira: em abril, ele escapa, por pouco, de um pavoroso acidente em Ímola . Dois dias depois, Ayrton Senna, seu ídolo e amigo, morre na mesma pista. Rubinho supera os dois golpes, chega a pole position, sobe pela primeira vez ao pódio da Fórmula 1 e fecha o ano em sexto lugar. 1995 começa cheio de esperanças: a Jordan tem agora um motor melhor e o piloto, um contrato maior. A Pepsi fechou com Rubinho um generoso patrocínio que, especula-se, chega aos três milhões e meio de dólares.
3|20/03/1995|Rubens Barrichello|4|Matinas Suzuki Júnior| Para entrevistar Rubinho Barrichello nós convidamos Cláudio Carsughi, comentarista da rádio Jovem Pan e da TVA e diretor da revista Auto e Técnica; Barbara Gancia, colunista da Folha de S. Paulo; Paulo Anshowinhas, repórter do Caderno Zap do jornal O Estado de S. Paulo; Marcus Zamponi, redator a revista Auto Esporte; Celso Miranda, repórter da Rede Cultura de Televisão; Mauricio Cardoso, subeditor da revista Veja; Jan Balder, comentarista da rádio Eldorado e Cândido Garcia, repórter e comentarista esportivo da Rede Bandeirantes de Rádio. Nós lembramos que o Roda Viva é transmitido em rede nacional por 30 outras emissoras, inclusive a TVE do Rio de Janeiro. Se você quiser enviar a sua pergunta para o Rubinho Barrichello aqui no centro do programa, você pode usar o telefone  252-6525, repetindo  252-6525. Se você preferir enviar as suas perguntas por escrito, use o fax 874-3454. Repetindo: 874-3454. Boa noite, Rubinho.
4|20/03/1995|Rubens Barrichello|5|Rubens Barrichello| Boa noite.
5|20/03/1995|Rubens Barrichello|6|Matinas Suzuki Júnior| Gostou de ver suas imagens aí?
6|20/03/1995|Rubens Barrichello|7|Rubens Barrichello|  Fantástico. Eu tinha mais cabelo, mas tudo bem.
7|20/03/1995|Rubens Barrichello|8|Matinas Suzuki Júnior|  É por isso que você usa tanto boné hoje em dia ou não?
8|20/03/1995|Rubens Barrichello|9|[Risos]|
9|20/03/1995|Rubens Barrichello|10|Matinas Suzuki Júnior| Rubinho, os dois dirigentes máximos da cidade de São Paulo são “loucos” por corrida de carros: o governador Mário Covas já reservou o lugar dele para a corrida no domingo, e o prefeito Paulo Maluf de vez em quando tira seus “rachinhas” lá em Interlagos. Por isso eu pedi aos dois hoje que fizessem uma pergunta para você. Como a pergunta dos dois mais ou menos sintetiza o que passa pela cabeça do brasileiro hoje em dia, eu vou abrir o programa fazendo as perguntas dos dois, está bom? A primeira pergunta é a do governador Mário Covas. Ele diz o seguinte: “Eu sei que o motorista é bom, mas o carro dará conta de correr com o alemão ?”. E a pergunta do prefeito Paulo Maluf é a seguinte: “O Senna deu muitas alegrias a mim e aos brasileiros, quando você nos dará a alegria de um campeonato na Fórmula 1?” E eu acrescentaria a minha pergunta: de um a dez quais são as chances de você subir no pódio domingo em Interlagos?
10|20/03/1995|Rubens Barrichello|11|Rubens Barrichello| Bom, eu diria que quanto ao desempenho do carro... Eu diria que é um carro muito bom. Eu fiquei até um pouco perplexo com a velocidade da Williams , porque, realmente, a Williams veio muito mais forte este ano. Mas eu diria que a Jordan está num nível um pouquinho atrás da Williams e da Benetton , mas bem próximo... Disputando, até quem sabe, o pódio já no início de temporada. Então eu diria que eu daria uma nota seis e meio ou sete, com uma chance de subir ao pódio no domingo. Acho que as chances são muito maiores que as do ano passado, mas eu acho que elas existem***.
11|20/03/1995|Rubens Barrichello|12|Matinas Suzuki Júnior| Em termos de campeonato... Porque depois dessas duas primeiras provas no Brasil e na Argentina, também entra o Nigel Mansell com a McLaren... Quer dizer, para o ano todo, como você vê a temporada?
