DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
19/08/2002|Rubens Ricupero|1|Paulo Markun|Boa noite. Ele é um observador privilegiado da economia mundial, do comportamento do Brasil no comércio internacional. Ele disse que o Brasil é bem maior do que a crise que está aí, que o país tem futuro e que os critérios utilizados pelas agências de classificação de risco são baseados em especulações. O Roda Viva entrevista esta noite Rubens Ricupero, secretário-geral da Conferência das Nações Unidas para o Comércio e Desenvolvimento .
19/08/2002|Rubens Ricupero|2|[Comentarista]|Já tem quase oito anos que o ex-ministro da Fazenda e um dos pais do Plano Real, Rubens Ricupero, lançou-se em uma carreira internacional depois do episódio das antenas parabólicas  quando ele era ministro de Itamar Franco . Formado em direito e diplomata de carreira, foi para Roma como embaixador brasileiro em 1994. No ano seguinte, assumiu em Genebra o cargo no qual foi reeleito em 99 e onde ainda permanece. Secretário-geral da Agência da ONU  para o Desenvolvimento e Comércio. É o mais importante órgão de cooperação econômica internacional das Nações Unidas. A agência foi criada para estimular o crescimento econômico de países menos desenvolvidos, incentivando o comércio global, buscando financiamentos e promovendo acordos internacionais, e é na execução desse trabalho que Rubens Ricupero tornou-se um afiado observador do mercado mundial e um analista crítico da ordem internacional. Suas idéias estão reunidas em um novo livro que acaba de lançar, Esperança e ação - A ONU e a busca de desenvolvimento mais justo. O prefácio é de Celso Furtado . Ele escreve que Esperança e ação é apresentado pelo autor como um simples depoimento pessoal, mas que na realidade são nutridos em ensaios que ajudam a entender a crise de governabilidade que atualmente constrange o mundo. O livro é uma crítica à globalização insensata, a um modelo econômico mundial que provoca instabilidades e aumenta as diferenças entre desenvolvidos e subdesenvolvidos, mas é também um esforço em busca de um pensamento independente para o Brasil e a América Latina. Idéias que procuram alternativas viáveis a uma globalização mais humana.
19/08/2002|Rubens Ricupero|3|Paulo Markun|Para entrevistar o embaixador Rubens Ricupero, nós convidamos Fábio Santos, editor do site e da revista Primeira Leitura; Carlos Eduardo Lins e Silva, diretor adjunto do jornal Valor Econômico; Priscila Murfin, editora assistente de economia do jornal Estado de S. Paulo; César Benjamim, editor da Contraponto Editora, Flavia Oliveira, repórter especial da editoria de economia do jornal O Globo; Antonio Corrêa de Lacerda, presidente da sociedade brasileira de estudos de empresas transacionais e da globalização, e professor de economia da PUC, a Pontifícia Universidade Católica de São Paulo; e José Paulo Kupfer editor de Nacional do jornal Gazeta Mercantil. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Hoje, infelizmente você não pode participar do programa porque ele está sendo gravado à tarde já que, à noite, enquanto o programa estiver indo ao ar, o embaixador estará justamente lançando seu livro aqui em São Paulo. Boa noite, embaixador.
19/08/2002|Rubens Ricupero|4|Rubens Ricupero|Boa noite.
19/08/2002|Rubens Ricupero|5|Paulo Markun|Eu queria começar pela definição do organismo que o senhor comanda na ONU. Ele é uma espécie de "grilo falante"  das Nações Unidas?
19/08/2002|Rubens Ricupero|6|Rubens Ricupero|Não, ele é sobretudo um laboratório de idéias. A principal função da Unctad hoje em dia é produzir idéias que possam contribuir para a construção de um sistema comercial, financeiro e de investimento, que seja mais equilibrado em favor dos países em desenvolvimento. Ele já foi realmente um lugar de confronto, durante os anos 60 e 70, era o grande fórum do confronto norte-sul.
19/08/2002|Rubens Ricupero|7|Paulo Markun|Sim.
19/08/2002|Rubens Ricupero|8|Rubens Ricupero|Mas, hoje em dia, essa fase toda passou com a própria evolução da economia mundial, e a instituição tem uma experiência técnica muito valiosa, sobretudo em termos de comércio e de investimento, nós somos talvez a única grande organização internacional que publica por ano três grandes relatórios: um sobre comércio e desenvolvimento, outro sobre investimentos e as empresas transacionais, e finalmente um sobre os países que são os pobres entre os pobres, os chamados list development countries, que são 49 países dos quais 34 na África, na América só o Haiti. Nós somos responsáveis por esses países de uma maneira especial. Esse é um pouco o trabalho que nós fazemos.
19/08/2002|Rubens Ricupero|9|Carlos Eduardo Lins e Silva|Embaixador, a organização que o senhor dirige traz no seu título duas expressões: comércio e desenvolvimento, que durante muito tempo pareceram que andavam juntas naturalmente. No entanto, a partir do momento em que a liberalização comercial se deu com maior ênfase, a partir do Consenso de Washington. O que se tem reparado - pelo menos aqui, na América do Sul - é que o índice de desenvolvimento do subcontinente tem sido menor do que em décadas anteriores. O que está dando de errado?
19/08/2002|Rubens Ricupero|10|Rubens Ricupero|Bem, olha, é preciso lembrar que quem criou a Unctad foi o Raúl Prebisch , um grande economista argentino que tinha sido a principal figura da Cepal , junto com Celso Furtado e outros. E a idéia dele era de mostrar que o comércio poderia ser um instrumento de desenvolvimento, e não era. A crítica que ele fazia, aquela teoria do centro e periferia, era justamente baseado no fato de que os países em desenvolvimento exportavam só matérias-primas, cujo preço estava sempre em queda, e importavam produtos tecnológicos, cujos preços valorizavam. Ele queria transformar essa área. Ele não teve êxito. A própria Unctad, apesar do esforço que tem feito... hoje as idéias no mundo sobre o sistema comercial são..., finalmente mudaram, no sentido que se admite que o sistema atual é desequilibrado contra os pobres, mas essa admissão não levou ainda a uma mudança efetiva nas regras, e só se saíram melhor países asiáticos, e hoje o último deles é a China, que souberam fazer essa liberalização comercial de uma forma mais prudente, mais gradual, que em geral trataram com muito mais cuidado a liberalização financeira , que é mais perigosa que a comercial, e é por isso que por exemplo países como a China e a Índia tem continuado a crescer, mesmo na época da crise asiática de 97, mas de maneira geral, mesmo os asiáticos que foram atingidos pela crise de 27, eles saíram depressa da crise porque eles tinham capacidade de exportar. A Coréia em nove meses zerou o déficit externo, desde março de ano 2000 a Coréia do Sul já teve 32 meses consecutivos de saldo comercial crescente. O Brasil não conseguiu fazer isso porque a capacidade de resposta das exportações brasileiras é muito baixa. Então, o que faltou aí? Faltou a visão de que, para você ter êxito no comércio mundial, você tem que melhorar a tua oferta em matéria de quantidade e qualidade. Os latino-americanos ficaram muito presos àquilo que o Prebisch criticava, que era exportação de matérias-primas ou de produtos básicos. Portanto, eu acho que o problema não é só a liberalização comercial, é a liberalização sem uma política de investimento, de crescimento, de diversificação da oferta, porque aí, realmente...
