DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
01/03/2004|Saulo de Castro Abreu Filho|1|[programa ao vivo, permitindo a participação dos telespectadores]|programa ao vivo, permitindo a participação dos telespectadores]
01/03/2004|Saulo de Castro Abreu Filho|2|Paulo Markun|Boa noite. Ele comanda a mais cobrada e a mais problemática secretaria de governo do estado de São Paulo. Responsável pela segurança pública de 36 milhões de brasileiros, busca reduzir os índices de criminalidade com uma política de combate duro e promete, principalmente, enfrentar diretamente o crime organizado. O Roda Viva entrevista, esta noite, o promotor público Saulo de Castro Abreu Filho, secretário de Segurança Pública do estado de São Paulo.
01/03/2004|Saulo de Castro Abreu Filho|3|[comentarista]|“Bater firme, de frente e com tenacidade”. A frase dita pelo secretário no dia da posse marcou o estilo que Saulo de Castro adotaria frente à complexa e sensível área do governo estadual. É o terceiro cargo que ele ocupa na administração paulista em pouco mais de oito anos. Mestre em direito pela Universidade Católica de São Paulo, onde também foi professor de Direito processual civil, Saulo de Castro trabalhou como promotor público em várias cidades paulistas. Em 1995, quando era o titular do 1º Tribunal do Júri da capital, foi convidado pelo governador Mário Covas para ser o corregedor-geral da Administração Estadual. Em 2001, no segundo governo Covas, assumiu a presidência da Febem , em um dos momentos mais tumultuados da história: uma época marcada por sucessivas rebeliões, fugas e conflitos entre menores e funcionários. Em janeiro de 2002, convidado pelo governador Geraldo Alckmin , Saulo de Castro foi para a Secretaria de Segurança Pública também em um momento em que a escalada da criminalidade tinha se transformado na principal fonte de preocupação para o governo e a sociedade. Há dois anos no comando da segurança, entre polêmicas e acusações de violência policial, Saulo de Castro também contabiliza ganhos. A população hoje confia mais na ação da PM  do que há quatro anos, segundo o Datafolha . A pesquisa divulgada pelo jornal Folha de S.Paulo, no mês passado, mostrou que caiu para 54% o índice de paulistanos que ainda têm mais medo que confiança nos policiais militares. Na pesquisa anterior, em 1999, o medo era um sentimento de 66% das pessoas. Hoje, subiu para 41% o índice de moradores que dizem ter mais confiança do que medo em relação à Polícia Militar. No levantamento anterior, apenas 30% confiavam. Índices de confiança, medo, violência e corrupção na polícia, crime organizado, baixo padrão ético no comportamento social, cobranças e expectativas em relação ao trabalho policial são questões que se entrelaçam cada vez mais no debate sobre segurança pública. Mas esse debate também relaciona criminalidade e situação social. Estatísticas novas confirmam antigos estudos de que a queda de renda e o desemprego têm aumentado na mesma proporção o crime que a população mais teme: o roubo.
01/03/2004|Saulo de Castro Abreu Filho|4|Paulo Markun|Para entrevistar o secretário de Segurança Pública de São Paulo, Saulo de Castro Abreu Filho, nós convidamos Madi Rodrigues, repórter da editoria da revista Isto é; Luis Nassif, comentarista de economia da TV Cultura; Renata Lo Prete, editora da Folha de S.Paulo; José Maria dos Santos, editor executivo do Jornal da Tarde; Renato Lombardi, repórter especial do jornal O Estado de S. Paulo e Wallace Nunes, repórter de política do jornal Gazeta Mercantil. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e para Brasília. Boa noite, secretário.
01/03/2004|Saulo de Castro Abreu Filho|5|Saulo de Castro Abreu Filho|Boa noite.
01/03/2004|Saulo de Castro Abreu Filho|6|Paulo Markun|Eu queria começar com dois números aqui. Como sei que eles estão relacionados, já queria citar os dois para que o senhor comentasse. Dados publicados pelo  O Estado de S. Paulo no dia 10 de fevereiro de 2004 mostram que o número de mortes envolvendo PMs cresceu 29% em 2003. O mesmo jornal, em uma reportagem do nosso colega Renato Lombardi, mostra que, no ano passado, houve um aumento de 77,6% de demissões entre os policiais militares, e de 37,8% na Polícia Civil. Um número justifica o outro? Aumentou a violência, mas demitimos mais, está tudo resolvido?
01/03/2004|Saulo de Castro Abreu Filho|7|Saulo de Castro Abreu Filho|Não,  separar as duas coisas. Os números absolutos - número de mortes de pessoas em confronto com a polícia - realmente aumentaram, mas o percentual não. Vamos pegar os dados históricos, voltar dez anos. Esse percentual de confronto com a polícia que gera letalidade, a morte da pessoa, vai de 0,37% a 0,55%, ou seja, em 100% dos casos onde há confronto com a polícia, 99,5% não geram a morte. Ou seja, nas 99,5% das vezes que a polícia atua, não há casos de morte. E atua quando, Markun? Isso é importante colocar. Você faz bloqueios, revistas, prisões, reintegrações de posse. Nós temos 130 mil homens e mulheres, por 24 horas por dia, atuando no estado de São Paulo. São números grandes. São 126 mil presos hoje no sistema. Para você ter um parâmetro, no Rio de Janeiro, que é um estado menor - é verdade - há 21 ou 22 mil presos. Minas Gerais tem perto de 17 mil. Nós temos 126 mil presos! 23% da população do Brasil mora aqui, 45% da população carcerária está aqui. Portanto, a função da polícia é prender. O momento da prisão é o ápice do estresse, tanto para o policial quanto para aquele que está sendo preso. Eu acho que não tem ato de mais força do que conter alguém na sua liberdade, chegar, algemar e levar. Claro que tem gente que sai em liberdade provisória, porque pagou fiança. Por isso, o número de presos em prisões é menor que o número de prisões. Mas, de 146 mil prisões, em 99,5% a polícia não teve nenhuma dificuldade. Houve letalidade em 0,5% dos casos.
01/03/2004|Saulo de Castro Abreu Filho|8|Paulo Markun|São cerca de oitocentas mortes, é isso?
01/03/2004|Saulo de Castro Abreu Filho|9|Saulo de Castro Abreu Filho|Isso, de 146 mil prisões, né? Mas como você justifica ou explica essa situação? Vamos passo a passo. Primeira coisa: aumentamos muito o número de policiais nas ruas. O governador aprovou duas leis logo que eu assumi, em 2002, que deram um impacto muito grande, principalmente na Polícia Militar. Mais de dez mil homens - quatro mil que ficavam nas muralhas de presídio e seis mil que ficavam na burocracia - foram para as ruas. Contratamos jovens de 18 a 23 anos, que nós chamamos de soldados voluntários. Eles foram trabalhar na burocracia. Compramos veículos. Hoje, a frota das duas polícias é de 21 mil carros. O armamento também foi modificado. Hoje, muitos policiais já possuem pistolas ponto quarenta, um armamento de alta letalidade, ou seja, com um tiro ele acaba gerando a morte. Agora, a polícia não chega sozinha, chega em uma diligência de dois a quatro carros. A opção de dar ou não o tiro é sempre do outro lado. Se a polícia matou mais em números absolutos é porque tem trabalhado muito mais. Foram 100% a mais no número de operações, 100% a mais número de prisões, é o limite que a polícia tem.
01/03/2004|Saulo de Castro Abreu Filho|10|Paulo Markun|Eu só queria entender uma coisa, secretário...Certamente, não vou entrar no debate de estatísticas com o senhor, que é mestre nisso.
