DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
17/04/2000|Sebastião Salgado|1|[programa ao vivo]|programa ao vivo]
17/04/2000|Sebastião Salgado|2|Paulo Markun|Boa noite. Ele visitou uma humanidade ameaçada. Dessa viagem assustadora trouxe um dramático álbum de fotografia. O Roda Viva entrevista, esta noite, Sebastião Salgado, considerado um dos mais importantes fotógrafos documentaristas
17/04/2000|Sebastião Salgado|3|[Comentarista]|"O economista que virou fotógrafo e ganhou fama de mestre da fotografia humanitária volta ao Brasil mobilizado pelo tema que nas últimas décadas o levou a viajar pelos cinco continentes para retratar a condição humana e revelar as desigualdades no mundo. O mais recente trabalho desse fotógrafo da dor humana, fruto de sete anos de investigação fotográfica, em mais de quarenta países está reunido em dois livros, que acabam de ser editados e transformados em uma exposição no Sesc Pompéia, em São Paulo. A exposição, que já estreou em Paris e Nova York, vai circular dois anos pelo Brasil, além de outras vinte outras grandes cidades do mundo. Sebastião Salgado quer provocar entre as pessoas um debate: a preocupação sobre um drama da humanidade neste final de século, o êxodo de milhões de indivíduos no mundo empurrados pelas perseguições políticas, pela luta por terras, pela fome e pelas guerras. Êxodos - título da exposição e do livro, é um retrato em branco e preto dessa luta pela sobrevivência, dessa aventura pela reorganização da família humana de praticamente todos os países do mundo. O fotógrafo escreve que o livro é a história da humanidade em trânsito. Uma história perturbadora, porque poucas pessoas abandonam a terra natal por vontade própria, se tornam migrantes, refugiados ou exilados constrangidos por forças que não podem controlar. E partem com o que conseguem levar, deixando para trás suas histórias, suas identidades. E vão como podem. Se penduram em trens, se lançam ao mar em frágeis embarcações, onde muitas vezes só o barco chega à alguma praia, ou vão à pé, mesmo sem saber para onde estão indo. Só estão aliviados por estarem vivos. E, quando chegam a algum lugar, descobrem que continuam excluídos. Sem lugar nesse novo mundo, ficam às margens da cidade grande, vendo o sonho libertário se desfazer nas ruas e até mesmo em alguma prisão. Sebastião Salgado diz que o livro é a história de 85% da população do mundo. A triste história de um imenso contingente humano à procura de um lugar e de um horizonte no mundo civilizado".
17/04/2000|Sebastião Salgado|4|Paulo Markun|Para entrevistar o fotógrafo Sebastião Salgado nós convidamos: o cientista social e advogado Guilherme Lustosa da Cunha, ex-representante regional do Alto Comissariado da ONU para Refugiados; o jornalista José Arbex, editor executivo da revista Caros Amigos; o sociólogo Danilo Miranda, diretor regional do Sesc de São Paulo; a fotógrafa Maureen Bisilliat, curadora do Pavilhão da Criatividade do Memorial da América Latina; o cientista social Miguel Chaia, coordenador do núcleo Arte, Mídia e Política da PUC de São Paulo; e o jornalista Reinaldo Azevedo, editor chefe das revistas Bravo e República. O Roda Viva, você sabe, é transmitido em rede nacional para todos os estados brasileiros e também para Brasília  Boa noite, Salgado.
17/04/2000|Sebastião Salgado|5|Sebastião Salgado|Boa noite.
17/04/2000|Sebastião Salgado|6|Paulo Markun|No final da introdução do prefácio do seu livro Êxodos, você diz taxativamente que a humanidade está ameaçada. Eu pergunto se para muita gente não é um pedaço da humanidade que está ameaçado,  são eles que estão ameaçados e não nós. Porque, às vezes, eu tenho a impressão que essa tragédia que você retrata, e que não tem endereço, nunca é na casa da gente, é sempre... Da gente que eu digo, nós, que estamos falando ao vivo este programa, enfim, apartados desse drama.
17/04/2000|Sebastião Salgado|7|Sebastião Salgado|Eu acho que, num primeiro instante são... Esses 85% que eu falei estão ameaçados. Os 15% se consideram muito protegidos. Mas eu acho que essa proteção é relativa. E se não for para um debate mais aberto, para uma discussão mais ampla do problema da distribuição de renda no mundo hoje, um pouco da repartição, eu acho que todo mundo está ameaçado. Hoje, quando a gente fala de globalidade, realmente há. Nós todos, hoje, estamos dentro de um só sistema. Mesmo os países ultra protegidos do norte eles não estão seguros, realmente, de que a situação pode se manter no status quo, indefinidamente. Por exemplo, o que passou em Los Angeles há alguns anos atrás, quando três ou quatro policiais brancos agrediram um senhor negro e a desorganização que houve em torno de Los Angeles em algumas horas, alguns dias . Se isso coincidisse, talvez, com uma crise bastante forte do mercado financeiro e se essa crise se estendesse por mais algumas cidades americanas... Quando a gente viaja nas periferias das cidades americanas, Filadélfia, cidade média como , ou como Rochester , a gente começa a ver que a periferia das cidades americanas vivem sob uma tensão imensa, têm um cordão de pobreza muito forte. Então, eu acho que se desorganiza o sistema de uma vez é perigoso. Mas se desorganiza uma parte do sistema, como os Estados Unidos, em que se perdeu o controle do mercado financeiro, do mercado, da economia , um pouco da distribuição, a gente arrisca de queimar muito rápido. Eu acho que essa segurança que as pessoas têm, que acreditam que tendo uma bela conta no banco, um automóvel, uma casa é uma segurança para o resto da vida, não é. Vou te dar um exemplo. A Alemanha, por exemplo, em 1945. O que aconteceu em 1945 com os alemães... Em 1939, os alemães tinham uma situação invejável na Europa. Era fabuloso. Contas em banco, Mercedez Benz, fantástica. Seis anos depois, os alemães estavam na beira da estrada, esticando a mão, como os refugiados que eu acabei de fotografar. O caso da ex-Iugoslávia, que era um país relativamente equilibrado, relativamente tranqüilo e, em poucos anos, a Iugoslávia se desorganizou de uma maneira fenomenal, era realmente um país desenvolvido em termos sociais, econômicos, em termos de educação...  O caso de Ruanda, eu conheci bem Ruanda. Eu trabalhei em Ruanda pela primeira vez em 1971. Fui como economista, trabalhando com a Organização Internacional do Café. Eu trabalhava em uma espécie de banco de investimento, que era o fundo de diversificação. E Ruanda é um país muito organizado, bastante equilibrado e com uma distribuição de renda bastante eqüitativa. Eu voltei em Ruanda várias vezes. Em 1991, quando eu voltei a Ruanda, eu já pressenti que alguma coisa não ia...
17/04/2000|Sebastião Salgado|8|Reinaldo Azevedo|Salgado, seja nos protestos que houve em Seattle agora, nos Estados Unidos, por conta da reunião do Banco Mundial com o FMI. Enfim, houve uma verdadeira batalha campal ali . E você percebe com um simples olhar. Ao olhar para as pessoas que estão ali protestando, que você tem, de algum modo, a classe média, informada, que está protestando. Está protestando em nome, digamos, do que se passa no Terceiro Mundo ou contra as misérias do Terceiro Mundo. Olhando as suas imagens a despeito da beleza delas, e a gente pode discutir depois o que é belo aí. Mas também parece que não há grandes motivos para esperança. Quer dizer, eu diria que no livro Êxodos, eu, certamente, não encheria os dedos das duas mãos se eu fosse escolher as fotos em que há um certo respiro, uma certa esperança sendo vislumbrada ali. No mais, o que me parece é que há um certo desconsolo, uma certa visão amarga, que coincide com o que você diz na introdução do livro, quando você diz: "Quando eu estava escrevendo esse livro, eu achava que a humanidade avançava em um rumo positivo.” Parece que você acha que não avança mais. Então, eu te pergunto: os deserdados, as pessoas em trânsito, não parecem capazes de se organizar para mudar o sistema. Os que pressionam contra o sistema, de algum modo, fazem parte, são a minoria radicalizada oriunda desse mesmo sistema. Eu queria saber onde está o ponto de escape, na sua opinião, se há algum ponto de escape.
17/04/2000|Sebastião Salgado|9|Sebastião Salgado|Eu acho que tem um ponto de escape. Tem uma possibilidade. Seria realizar um debate, o mais aberto possível. As pessoas, de uma maneira geral, na parte protegida do mundo, quando eu falo que 85% vive um pouco a situação que eu fotografei, eu acho, realmente, que tem. Eu acho que tem mais ou menos uns 15% da população do mundo que fez uma fuga em direção ao futuro. E deixou atrás 85% do resto da população. Existe essa concentração de renda brutal... em uma parte do mundo tem uma sociedade, como a nossa brasileira, não é isso, a gente sabe... Nós temos uma renda per capita aritmética incrível, é realmente incrível, fabulosa. E a gente sabe que o salário mínimo aqui no Brasil o que ele é. Então, a gente vê que aqui é verdade essa fuga em direção ao futuro. Mas eu acho que se a gente conseguir ir em direção a um debate, um debate realmente com a sociedade, a gente tem uma discussão ética muito séria, de redistribuição de renda, uma discussão política. E se todo mundo tomar um pouco a sério, eu acho que nós temos recursos suficientes para resolver o problema.
17/04/2000|Sebastião Salgado|10|Miguel Chaia|Sebastião, esse problema não é muito mais amplo? Ou seja, você tem visitado campos de refugiados.  E até gostaria que você fizesse algumas observações dessa qualificação de campos de refugiados. Até onde eles são campos de concentração, ou até onde eles são sistemas espacialmente, digamos, legitimados pela ONU? Mas, veja. Nós estamos falando de campos de refugiados que podem e existem nas grandes cidades, como São Paulo, Rio de Janeiro, vamos pensar nas cidades brasileiras. São condomínios fechados, quer dizer, é o mesmo com o centro da cidade que você não pode freqüentar à noite. Então, uma questão que se coloca é essa da intolerância, que talvez exista nas cidades, que você vem observando. A fotografia e o cinema mostram bastante e com muita riqueza essa questão da intolerância. Desde Griffith , até Sebastião Salgado, nós estamos  verdade mundial,  a questão da intolerância é tratada. Então, quer dizer, a sociedade se preocupa constantemente em segregar, em separar determinadas populações, determinados contingentes. Desde o doente mental até uma determinada etnia. Então, eu lhe pergunto: o que é campo de refugiados para você? Esses campos de refugiados se dão apenas na Ásia, na África, nessas zonas rurais, ou também nas zonas urbanas, nas grandes metrópoles? Qual é a natureza deles? E, na sua experiência, visitando esses campos de refugiados nas suas andanças, você sente que a intolerância pode ser resolvida por esses meios formais? Hoje, uma nova democracia permite o controle ou que se evite a intolerância? Mesmo você dizendo que passando da idéia de revolução, que até antes você defendia, hoje você fala mais nessa democracia participativa, não é? Sem dúvida nenhuma, é um caminho, não se deve fechar. Mas como é agora a figura do homem que sente a humanidade em face dessa questão da segregação e da intolerância?
17/04/2000|Sebastião Salgado|11|Sebastião Salgado|Olha, voltando para a questão de base, que é a questão do campo de refugiados, tem uma definição oficial nas Nações Unidas de campo de refugiados, teoricamente protegidos, localizados bem próximos de uma fronteira, ou onde as pessoas são confinadas, colocadas juntas. E aí dentro tem uma quantidade de aspectos diferentes. Tem campo de refugiado onde ele é totalmente aceito, acolhido pela população local. Outros onde as comunidades, onde o campo é implantado,  não aceita e recebe o campo mal, as pessoas são agredidas, vivem realmente muito mais em uma prisão do que num campo. Tem campos que são verdadeiras prisões. O campo que eu fotografei dentro da cidade de Hong Kong, tinha a renda per capita mais alta do planeta, pertencia à Inglaterra, pertencia ao Mercado Comum Europeu, com a quantidade imensa de organizações de lutas pelo direito civil, pelos direito humanos. E pessoas que caíram na prisão, onde metade dos prisioneiros eram crianças nascidas na prisão,  não tinha prisioneiros que eram criminosos, mas eram tratados como criminosos dentro de uma prisão mais terrível possível. E você pode  sofisticando, mudando a categoria até chegar, realmente, em uma periferia de uma cidade como São Paulo, ou em determinados guetos que existe aqui dentro dessa cidade, são verdadeiros campos de refugiados. Eu encontrei, por exemplo, a maioria das pessoas... Eu trabalhei muito em São Paulo, fotografando nesse projeto... porque eu fotografei nove grandes cidades que se parecem muito, para mim são as cidades do futuro: Cidade do México, São Paulo, Jacarta, Bombaim e uma série de outras na Ásia. Talvez eu tenha fotografado uma cidade de 150, 180 milhões de habitantes, onde São Paulo é um bairro dessa cidade, podemos pensar dessa forma. E aí,  dentro, isso se parece demais. Tem uma quantidade de populações excluídas que vivem de uma maneira incrível, que dependem de ajuda, que não tem possibilidade nenhuma de reintegração,  descriminada e que se parece muito. Aí a discussão pode se abrir. Quando eu falei que eu acho que a gente tem que ir em direção a uma discussão... Eu acho que a gente tem que encontrar uma forma. Eu não tenho uma forma. Eu só vi. Eu só apreciei durante sete anos. Eu fiz um corte representativo do que eu considero um pouco dessa sociedade que a gente vive. E, hoje, essa exposição, esses livros, uma série de filmes que a gente está fazendo, eu acho que é uma matéria para provocar uma discussão. O que eu quero com isso é, realmente, provocar uma discussão. Mas a solução eu não tenho. Eu constato. Nós vamos discutir a partir desse corte representativo, onde eu também quero aprender.
17/04/2000|Sebastião Salgado|12|José Arbex|Eu vou fazer uma questão que acho importante. Por uma coincidência imensa, hoje se completam quatro anos do massacre de Eldorado dos Carajás, onde a polícia militar do Pará assassinou dezenove honrados e honestos trabalhadores sem-terra. E a boa notícia é que o Estado brasileiro, por causa de um monte de pressão, foi obrigado a anular o julgamento que absolveu os comandantes militares do massacre. Então, eu acho que é uma boa notícia, a gente tem que comemorar. Agora, a pergunta que eu quero te fazer é a seguinte. Eu queria que você comparasse um pouco a condição desses trabalhadores sem-terra, que você fotografou, com aquilo que você viu no resto do mundo. Porque a gente, em geral, tem a impressão que o inferno é do lado de lá, que aqui não tem inferno, que o Brasil é um país bonzinho, um país de integração racial, o Brasil é uma democracia, no Brasil todo mundo se dá bem, o Brasil é bonitinho... Parece que o inferno não existe no Brasil, o inferno são os outros países. Eu queria que você contasse um pouco na tua relação com o MST , com o pessoal do MST, com o pessoal sem-terra, comparasse um pouco a situação deles com a que você viu em Ruanda e em todos os países que você fotografou.
17/04/2000|Sebastião Salgado|13|Sebastião Salgado|Olha, pegando do ponto de vista até... racismo no Brasil, eu acho que o Brasil é um país profundamente racista, profundamente. A gente vê o comportamento que houve na nossa história, primeiro com os indígenas, depois com os negros que chegavam aqui. O tratamento recebido, que recebem até hoje... E hoje o problema desse grupo, que fez uma fuga em direção ao futuro, e a maneira que se trata no Brasil uma parte pobre da população, mesmo se ela é branca... A discriminação foi tanta que hoje ela é considerada quase como uma sub-raça. Então, eu acho que o problema é muito sério. Eu até hoje acho, e acho seriamente: dos movimentos mais sérios nesse país, o movimento sem-terra é um dos poucos movimentos que luta pela cidadania no Brasil. E eu tenho um respeito imenso pelo trabalho dos sem-terra. Eles foram altamente “diabolizados” no Brasil, não é isso? Mas quando você viaja pelo interior do Brasil, como eu viajei, para fazer esse trabalho que está sendo apresentado aqui, onde os sem-terra são uma pequena parte... mas foi transformada em um livro. Nós publicamos aqui em 1997, também pela Companhia das Letras . Eu pude observar um comportamento muito interessante. Na realidade, além de militar pela integração social do homem, através de escolas, através de informação, transformando realmente o cidadão, o movimento sem-terra, eu acho, que é um dos agentes principais de formação de consumidores nesse país. É um movimento de redistribuição de renda. Eu vi, em determinadas regiões, por exemplo, no sul da Bahia, uma cidade chamada Itamaraju. A quantidade de assentados e a transformação da cidade, na medida em que os assentamentos foram começando a funcionar; o movimento sem-terra tem um mecanismo muito interessante de comercialização de produtos que as pessoas não falam. Às vezes, as pessoas só falam que a questão é só a busca da terra e terminou. De forma alguma. Eles têm um nível técnico bastante interessante, têm um corpo técnico móvel que flutua nesse país, assistindo as cooperativas, os assentamentos, e um corpo muito interessante, bastante agressivo, de identificação de mercado para os produtos. Na realidade, existe uma melhoria enorme do nível de renda dessas populações  se transformam em consumidores e resolvem o problema de comércio, de indústria, de uma maneira muito interessante. Eu acho que é um movimento que tinha que ser visto de uma maneira muito mais respeitosa e carinhosa pela população brasileira e pelas autoridades brasileiras.
17/04/2000|Sebastião Salgado|14|Guilherme L. da Cunha|Sebastião, eu gostaria demais de felicitá-lo pela sua obra. Como ex-funcionário das Nações Unidas, eu acho que você é um testemunho solidário, fraterno, da miséria humana, da barbárie que coexiste com a vida daqueles que comem três vezes por dia. As Nações Unidas, sobretudo a parte humanitária das Nações Unidas, a organização na qual eu trabalhei vinte anos, que é o Alto Comissariado da ONU para os Refugiados, tem se batido para proteger, assistir e melhorar a sorte de 22 milhões de refugiados que existem no mundo. As suas fotos nos interpelam e nos condenam ao mesmo tempo. É como se elas indicassem um crime, que nós todos somos responsáveis pela sua execução. Alguém diz que você utiliza a sua câmera Leica  como se fosse um microfone. Eu lhe pergunto: de que maneira você acha que a voz dos "debaixo", a voz dos abandonados pela história chega aos governos dos Estados membros da comunidade internacional e  seja capaz de mobilizar esses governos para elaborar políticas públicas para atenuar essa barbárie que você mostra de maneira tão extraordinária na sua obra?
17/04/2000|Sebastião Salgado|15|Sebastião Salgado|Olha, eu acho muito difícil você sensibilizar a burocracia. Eu realmente acho muito difícil. Eu, se tivesse, se eu acreditasse que as minhas fotografias pudessem fazer efeito, seria com a base e não com a cúpula que dirige os países. Eu, quando vejo as Nações Unidas... eu trabalhei muito com as Nações Unidas, trabalhei muito, como você sabe, com o Alto Comissionariado das Nações Unidas para os Refugiados. Eu tenho um respeito enorme por esse departamento. As Nações Unidas são uma enorme burocracia que as pessoas acreditam que é ineficaz. Eu acho que têm determinadas coisas nas Nações Unidas que são altamente eficazes. Por exemplo, o tratado de paz em Moçambique as pessoas não comentam muito. Mas foi uma coisa fabulosa. Foi possível terminar 18 anos de guerra, a população voltar ao país e tentar juntos fazer uma outra coisa na sociedade. O que houve em Ruanda, as Nações Unidas foram muito acusadas. As tropas que estavam dentro de Kiliari, se tivessem, no primeiro momento, tido realmente uma ação séria, a gente teria poupado possivelmente oitocentas mil vidas que foram assassinadas no massacre que houve. E mais: os milhões de refugiados, com centenas de milhares de mortos, foi uma catástrofe imensa. Mas, a gente acusa as Nações Unidas. E aí a culpa não foi das Nações Unidas. A culpa foi da enorme burocracia mundial que  Nações Unidas. Porque as Nações Unidas são a adição dos governos de todos os países. Quer dizer, é a nossa burocracia que está refletida ali dentro. E, no momento de Ruanda, se o Conselho de Segurança das Nações Unidas tivesse aceitado o que as Nações Unidas informaram, que estava indo em direção a um genocídio brutal e eram necessários  cinco milhões de dólares... As tropas da Nigéria estavam dispostas, prontas,  embarcarem para Kiliari, e se tivessem tomado determinadas posições no centro da cidade, teriam evitado, sem nenhuma dúvida, o genocídio que houve. E, simplesmente, por cinco milhões de dólares não houve respeito a essas pessoas, e foi o que foi. A desarticulação não só de Ruanda, de Burundi, hoje do Zaire... e são milhões de mortos em função de uma pequena indecisão burocrática, não mais do que isso.
17/04/2000|Sebastião Salgado|16|Guilherme L. da Cunha|Os países que compõem...
17/04/2000|Sebastião Salgado|17|Sebastião Salgado|Os países que chegaram a essa indecisão eram  o Conselho de Segurança das Nações Unidas, que não é mais as Nações Unidas. São os países que formam o Conselho de Segurança.
17/04/2000|Sebastião Salgado|18|Guilherme L. da Cunha|Exatamente.
17/04/2000|Sebastião Salgado|19|Sebastião Salgado|São as nossas burocracias, das quais somos responsáveis, indiretamente somos responsáveis.
17/04/2000|Sebastião Salgado|20|Danilo Miranda|Sebastião, eu pretendia trazer um pouco a discussão para essa nossa realidade atual aqui. Falando um pouco da exposição e do trabalho que você tem nesse momento mostrando aqui no Brasil, depois de uma experiência, já acumulando várias outras exposições que você tem feito, enfim. Essa exposição de agora, a Êxodos, e o trabalho em cima das crianças do Êxodos, retratam naturalmente uma experiência muito ímpar, muito especial, que você já vem acalentando, preparando há alguns anos. E é um projeto muito abrangente. Você está lidando, ao mesmo tempo, com fotografia, que é a sua linguagem principal e, além disso, você tem filmes, um trabalho, digamos, didático em cima desse material todo, trabalhando um pouco o making of etc. É uma experiência, portanto, muito especial, muito nova. Eu gostaria que você falasse um pouco sobre essa questão de realizar um projeto com essa abrangência, com esse volume, trazendo essa informação tão vasta, tão grande, no mundo inteiro, para uma realidade como a nossa. Vivendo, portanto, uma situação muito própria do Brasil hoje, é para uma formação de novos brasileiros, não fotógrafos necessariamente, pessoas que estão interessadas em conhecer essa realidade. Você fala do debate, da necessidade, talvez da única saída, o diálogo, o debate, a solução para esse gap tremendo entre aqueles que têm mais e aqueles que não têm. Até que ponto essa exposição, e tudo que ela representa seja aqui no Brasil, seja nos diversos países em que estão acontecendo essa exposição e que vão acontecer ainda no futuro... como você vê, digamos, a repercussão de tudo isso? E como você imagina que você vai alcançar isso no futuro?
