DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
10/12/2007|Tião Rocha|1|[Programa ao vivo]|Programa ao vivo]
10/12/2007|Tião Rocha|2|Paulo Markun|Boa noite. Ele diz que as escolas precisam ser tão boas que professores e alunos queiram freqüentá-las aos sábados, domingos e feriados. Com a crítica de que a escola formal carece de ousadia e experimentação, criou, no sertão de Minas Gerais, um projeto pedagógico que mistura educação, cultura e ação social, um jeito de ensinar e aprender baseado no saber popular, na brincadeira e no afeto. A experiência, já levada a vários pontos do país, é do educador mineiro Tião Rocha, Prêmio Empreendedor Social de 2007 que traz sua idéias sobre escolarização e educação para a entrevista dessa noite do Roda Viva. O programa começa num instante.
10/12/2007|Tião Rocha|3|Paulo Markun|Tião Rocha se diz antropólogo de formação e educador por opção. Partiu da sua própria experiência de estudante e professor na escola formal para criar um projeto alternativo de alfabetizar e da base na cultura do lugar. A idéia do trabalho é reintegrar as crianças, mudar a vida, criar oportunidades e promover a cidadania.
10/12/2007|Tião Rocha|4|[Comentarista – narração Valéria Grillo]|Sebastião Rocha é Tião Rocha desde menino. Nascido e crescido em Belo Horizonte conta que enfrentou problemas na escola já no primeiro dia de aula. A professora começou a ler para os alunos uma historinha infantil que falava de um lugar distante onde moravam um rei e uma rainha. O aluno Tião, já gostando da história, interrompeu para dizer que a tia dele era rainha. A professora desconversou. Explicou que aquela era uma história da “carochinha”, falava de reis e rainhas que não existiam e pediu que Tião ficasse quieto. Mas cada vez que o rei e a rainha eram citados, Tião Rocha interrompia a história, a professora se irritou e mandou um “cala boca” no menino. Tião, que no final da aula foi parar na diretoria, tinha mesmo uma tia rainha; se chamava Edeuvina e era rainha perpétua do congado. Todos os anos, devidamente trajada, ela recebia homenagem nas congadas, moçambiques, festas religiosas de santos brancos e reis negros que construíram parte importante da história cultural de Minas Gerais. Tião Rocha, ao longo da vida escolar, carregou na memória a indiferença de professores em relação às histórias e heranças culturais das próprias comunidades onde as escolas existiam e funcionavam. A partir disso, decidiu estudar história e, depois, antropologia. Deu aulas de cultura popular na universidade de Ouro Preto, mas desistiu de ser professor para ser educador. Em 1984, com um grupo de amigos, criou em Curvelo, no sertão de Minas Gerais, um Centro Popular de Cultura e Desenvolvimento , um projeto pedagógico baseado no uso da cultura local como matéria prima da educação e na idéia de que qualquer espaço físico, além da escola, pode ser um lugar de aprendizagem, até mesmo um pé de manga. Veio daí a idéia da pedagogia da roda, que Tião Rocha criou junto à pedagogia do sabão e à pedagogia do brinquedo, os três pilares que caracterizam seu trabalho. Na pedagogia da roda, as crianças sentam em círculo e uma enxerga a outra, as propostas são discutidas e o consenso do grupo decide a atividade do dia. A pedagogia do sabão busca soluções caseiras para problemas comunitários. Nasceu da falta de materiais na escola municipal da cidade e da percepção de que os alunos poderiam criar vários tipos de produtos, inclusive sabão. A idéia deu origem a uma cooperativa que produz e vende milhares de objetos criados por alunos e familiares. A pedagogia do brinquedo busca uma educação mais prazerosa e foi além. Já ajudou a desenvolver mais de 150 jogos e brinquedos que, depois, foram levados às escolas públicas, são métodos que lembram e parecem outros já usados por escolas alternativas. Mas que, nesses casos, são aplicados com crianças que não estão na escola ou onde a escola não chegou. A escola de rua de Tião Rocha já rendeu polêmicas, mas também premiações. Esse ano ele recebeu o Prêmio Empreendedor Social do jornal Folha de S.Paulo e da Fundação Schwab. O trabalho do centro popular de cultura e desenvolvimento formou até hoje perto de quinhentos educadores. Atendeu mais de vinte mil crianças e adolescentes em cinco estados brasileiros. E já chegou a Moçambique e Guiné Bissau.
10/12/2007|Tião Rocha|5|Paulo Markun|Para entrevistar o presidente do Centro de Cultura e Desenvolvimento Tião Rocha, nós convidamos: Júlio Moreno, coordenador do núcleo de jornalismo da TV Cultura; Fernando Rossetti, jornalista especializado em educação e secretário geral do Gife, o Grupo de Institutos, Fundações e Empresas; Renata Cafardo, repórter do  de Educação do jornal O Estado de S. Paulo; Uirá Machado, coordenador de artigos e eventos do jornal Folha de S.Paulo; Gilberto Nascimento, oficial de comunicações do Unicef, Fundo das Nações Unidas para a Infância; e, Mozart Neves Ramos, presidente executivo do movimento Todos pela Educação. Também temos a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e os flagrantes do programa  Uma boa noite, Tião.
10/12/2007|Tião Rocha|6|Tião Rocha|Boa noite.
10/12/2007|Tião Rocha|7|Paulo Markun|Nós estamos aqui numa roda não muito pedagógica, mas eu queria começar pelo seguinte: você imagina que essa experiência que você desenvolve tenha condição de acontecer em larga escala? Uma coisa, penso, é trabalhar com pequenos grupos em regiões mais afastadas, onde a escola formal não está presente ou tem pouca penetração, outra coisa é imaginar isso numa cidade do tamanho de São Paulo, ou eu estou enganado?
10/12/2007|Tião Rocha|8|Tião Rocha|É possível trabalhar também em capitais e metrópoles. Nós trabalhamos em Santo André há sete anos com a pedagogia da roda, fazendo uma escola debaixo do pé de manga em uma cidade que não tem pé de manga. Mas tem espaços ociosos, garagens, quintais das casas, porta das ruas e a idéia é fazer uma roda e ter um espaço de aprendizagem das pessoas se olharem e aprender, trocar. Então, isso é possível.
10/12/2007|Tião Rocha|9|Paulo Markun|Qual é a vantagem que esse tipo de pedagogia oferece em relação à escola que pode medir o resultado num exame nacional, comparar com outros países em que as crianças ficam enfileiradas em sala e tenham uma agenda definida?
10/12/2007|Tião Rocha|10|Tião Rocha|Eu acho que a idéia fundamental que a gente tinha, quando nós criamos essa pedagogia, estava se perguntando se era possível fazer educação sem escola ou se era possível fazer escola e educação debaixo de um pé de manga. E a gente respondeu afirmativamente, que é possível fazer educação sem escola, só não é possível fazer boa educação sem bons educadores. São eles os responsáveis pela boa educação, o contrário também é verdadeiro, os maus educadores fazem má educação. E a questão da roda é criar um espaço generoso de aprendizagem, não em fila indiana um olhando na nuca do outro e olhando todos para o mesmo lugar, mas todo mundo olhando para si. Com isso, você cria, não só um desenho, mas também um outro jeito... Quer dizer, na pedagogia da roda ninguém fica no centro da roda, como eu estou. O que está no centro da roda é o conteúdo, aquilo que leva as pessoas que estão em volta e interessa a todo mundo. Então, é construir consensos, para que se possa aprender de tudo. Então, nesse aspecto, ela pode ser geradora de tudo, inclusive de se alcançar êxitos na escolarização, nos processos de avaliação. Não vejo nenhum problema nisso.
