DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
05/03/2007|Yeda Crusius|1|[programa ao vivo, permitindo a participação dos telepectadores]|programa ao vivo, permitindo a participação dos telepectadores]
05/03/2007|Yeda Crusius|2|Paulo Markun|Boa noite. Ela foi a única mulher da turma de economia da USP  nos anos 60. Depois disso, tornou-se uma das poucas presenças femininas de destaque na política gaúcha, até ser eleita a primeira mulher a governar o Rio Grande do Sul. Ganhou a eleição de forma surpreendente. Mas também ganhou um problemão: uma crise financeira como nunca se viu por lá. Na lista dos oito estados que fecharam 2006 com um rombo nas finanças públicas, a situação gaúcha é, justamente, a mais grave. O Roda Viva entrevista, esta noite, a economista Yeda Crusius, governadora do Rio Grande do Sul pelo PSDB . A eleição da governadora foi uma das surpresas da campanha eleitoral de 2006, e uma surpresa ainda maior no Rio Grande do Sul, onde ela já era conhecida como professora de economia e deputada, mas ocupava um lugar secundário nas preferências do eleitor gaúcho. 
05/03/2007|Yeda Crusius|3|[comentarista]|Paulistana de nascimento, gaúcha por adoção, Yeda Crusius é formada e pós-graduada em economia pela Universidade de São Paulo, com mestrado na Universidade de Vanderbilt, nos Estados Unidos. Em Porto Alegre desde 1970, ela fez carreira acadêmica na Universidade Federal do Rio Grande do Sul, onde foi professora e diretora. Em 1990, filiou-se ao PSDB gaúcho e, em 1993, foi ministra do Planejamento por três meses, no governo Itamar Franco . Em seguida, entrou na vida parlamentar elegendo-se deputada em 1994, 1998 e 2001. Nesse período, tentou duas vezes ser prefeita de Porto Alegre, sem conseguir. Em 2006, quando presidiu o PSDB do Rio Grande do Sul, decidiu concorrer ao governo gaúcho. Para isso, teve que convencer o partido a ser mais ambicioso e entrar diretamente na disputa eleitoral. Escolhida candidata, numa coligação do PSDB com PFL  e mais nove partidos, Yeda Crusius começou a campanha em terceiro lugar nas pesquisas, bem distante dos candidatos favoritos. Enfrentando divergências a respeito das privatizações com seu candidato a vice, Paulo Feijó, e com dificuldades financeiras para manter a equipe de marketing, Yeda teve que assumir pessoalmente a condução da sua campanha, três semanas antes das eleições. Explorando o baixo índice de rejeição que tinha, pulou para o segundo lugar, passou para o segundo turno e completou a virada surpreendente, ganhando a eleição com quase 54% dos votos. Mas, ao assumir, já vivia uma crise. O pacote econômico da governadora, com aumento de impostos, congelamento de salários e corte de despesas, teve oposição até de deputados da base aliada, que ajudaram a derrubar o projeto levado à Assembléia Legislativa. Por conta do episódio, três futuros secretários  da governadora eleita renunciaram antes mesmo da posse. As divergências com o vice-governador se transformaram em briga pública. Yeda Crusius começou o governo em meio a pior crise financeira do Rio Grande do Sul. Para ela, os gaúchos só vão resgatar empregos industriais e relançar a produção agrícola depois de cortes drásticos nas despesas públicas.
05/03/2007|Yeda Crusius|4|Paulo Markun|Para entrevistar a governadora do Rio Grande do Sul, Yeda Crusius, nós convidamos: Delmo Moreira, diretor-executivo do jornal O Estado de S. Paulo; Eliane Brum, repórter especial da revista Época; Eleonora de Lucena, editora da Folha de S.Paulo; Denise Neumann, editora de jornal Valor Econômico; Klécio Santos, colunista político do jornal Zero Hora; Telmo Flor, diretor de redação do jornal Correio do Povo, também de Porto Alegre. Aliás, esses jornalistas todos são gaúchos de nascimento. Também temos a participação do cartunista Paulo Caruso, registrando em seus desenhos, os momentos e flagrantes do programa. Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Para participar, fazer sua pergunta, sua crítica, sua sugestão, o telefone é (11) 3677-1310. Pela internet, acesse o site do programa, cujo endereço é www.tvcultura.com.br/rodaviva e mande seu e-mail. Boa noite, governadora.
05/03/2007|Yeda Crusius|5|Yeda Crusius|Boa noite, Paulo.
05/03/2007|Yeda Crusius|6|Paulo Markun|Nós estamos aqui na "semana da mulher" - dia oito de março é o Dia Internacional da Mulher - e evidentemente a eleição da senhora tem alguma coisa a ver com a presença da mulher na política brasileira. A senhora acha que as mulheres ainda precisam de um "dia"? 
05/03/2007|Yeda Crusius|7|Yeda Crusius|Precisam. É só olhar as estatísticas referentes à desigualdade existente entre gêneros, do crescimento da violência doméstica sobre a mulher e a criança, a diferença de salários. É só ver a política brasileira: nós somos menos de 10% nas prefeituras, no Congresso Nacional. A participação ativa da mulher vem a partir do trabalho, são líderes comunitárias. Elas estão em todos os setores da vida econômica, da vida social como líderes. Mas, na verdade, há uma diferença que requer que a análise seja anualmente feita, e até celebrando momentos lá do passado, quando a mulher sofria por querer igualdade, por não querer trabalhar dois terços do dia, tendo em casa crianças para cuidar. Então, é um dia para se avaliar e se propor. A realidade é esta, precisa ser mudada, chamamos a todos para compartilhar do esforço e do resultado de uma política que diminua a diferença. E a diferença começa dentro de casa e tende a se reproduzir. Tem que haver sim um dia especial, uma semana especial para colocarmos as questões da mulher, os avanços que nós já temos no Brasil, uma política ativa em relação ao gênero.
05/03/2007|Yeda Crusius|8|Paulo Markun|Antes que alguém me acuse de machista, eu vou insistir na pergunta, lembrando que, em 1975, quando foi instituído o Dia Internacional da Mulher - aliás, era o Ano Internacional da Mulher - eu comandei a edição de uma revista sobre essa questão...O que eu pergunto é o seguinte: no que um dia em particular avança em alguma coisa? Uma luta tem que ser permanente, já avançamos muito nos últimos tempos.
05/03/2007|Yeda Crusius|9|Yeda Crusius|Torna visível a questão de gênero. Vamos ter no Brasil inteiro, no mundo inteiro, na celebração dos avanços e na denúncia dos retrocessos, atos como, por exemplo, a organização de mulheres rurais que vão mostrar o papel que elas exercem no campo. No ano passado, se tentou fazer valer a Lei Maria da Penha, que era uma lei que colocava o judiciário com condições específicas para tratar da questão da violência contra a mulher. Se o dia não houvesse, se não se celebrasse o avanço e denunciasse o retrocesso, com ações para melhorar... É por um movimento que a gente consegue dar visibilidade a uma questão que fica escondida no cotidiano das pessoas. E temos uma lei, temos o judiciário preparado, foi preciso o esforço coletivo. No Congresso Nacional, a bancada feminina é conhecida por estar trabalhando para que leis como essa dêem condições de atendimento à mulher vítima de violência, de maneira que ela não volte para a mesma casa e sofra reproduzidamente o mesmo tipo de violência. Isso porque o juiz não podia fazer o homem, a pessoa sair de casa. Hoje já pode! Então, são pequenos avanços, mas que mudam a vida da mulher, da criança e da sociedade.
05/03/2007|Yeda Crusius|10|Eleonora de Lucena|Governadora, o seu partido, o PSDB, capitaneou, nos anos 90, o processo de privatização no Brasil. A senhora assume  em meio a essa crise financeira econômica do estado. A senhora pretende privatizar, vender alguma empresa do Rio Grande do Sul na sua gestão?
05/03/2007|Yeda Crusius|11|Yeda Crusius|A privatização foi um instrumento utilizado, não apenas no Brasil, mas em todo mundo, para fazer uma transição entre os países que tinham o seu processo de desenvolvimento capitaneados pelo capital estatal, em setores considerados estratégicos, nos períodos da industrialização. É uma agenda que vigorou nos anos 90, então pode ser avaliada, analisada. Os resultados da privatização podem ser vistos, comentados, criticados ou ampliados. No caso do Rio Grande do Sul, o grande debate aconteceu durante  campanha, meio que tentando associar  a uma mulher do PSDB, que participou do governo Fernando Henrique, no Congresso Nacional, de uma forma muito ativa. O Banrisul  é um banco que a população gaúcha, a sociedade, resolveu manter em meio às imensas transformações que resultaram em renegociações de dívidas gerais. Demorou muito tempo, mas desde o ano passado, ele não apenas dá lucro, como ajuda o governo estadual a fazer sua política de desenvolvimento. Não há porque privatizar a jóia da coroa.
05/03/2007|Yeda Crusius|12|[sobreposições de vozes]|sobreposições de vozes]
05/03/2007|Yeda Crusius|13|Eliane Brum|Governadora, o seu slogan de campanha era "Um novo jeito de governar". A senhora nem tinha tomado posse e estava tentando aumentar impostos, o que não é nada novo. O que realmente a senhora aponta como novo no seu jeito de governar?
05/03/2007|Yeda Crusius|14|Yeda Crusius|O novo foi uma tentativa de tirar esses rótulos...por exemplo, o que nós enviamos à Assembléia não foi um "tarifaço"  e nós estamos vendo isso. Hoje, no Programa de Aceleração do Crescimento  do presidente Lula, se busca com os recursos existentes, criar um fundo especial para fazer infra-estrutura. Há um nó, um gargalo para crescer, que é a infra-estrutura, principalmente energética. Eu enviei para a Assembléia um conjunto de dois projetos de reestruturação global das finanças do estado. O primeiro era um guarda-chuva de fundos reestruturadores de uma realidade: o Rio Grande do Sul, há 35 anos, acumula e amplia déficits, todo ano a receita não paga despesa. Para isso acontecer, teve que tomar emprestado, viver da inflação, coisas do passado. Nós enviamos esse projeto de criação de um fundo reestruturador que permita habitação e saneamento, enviamos um fundo para garantir a aposentaria dos funcionários públicos, que no Rio Grande do Sul, são 54% da folha de pagamentos. E também queremos estabilizar as finanças. Para isso, era necessário manter os impostos básicos de telecomunicações, energia, e reduzir impostos de produtos, para os quais nós perdemos na guerra fiscal contra os estados. A diferença entre os dois formaria um desses fundos. Quando o guarda-chuva foi recusado, eu fiz um pedido para nossa base de apoio: que não votassem a...
05/03/2007|Yeda Crusius|15|Klécio Santos|Com a ajuda do seu vice, governadora.
05/03/2007|Yeda Crusius|16|Eliane Brum|Mas a senhora não teve nem o apoio do seu vice-governador. Como a senhora se sentiu com esse primeiro fracasso, antes mesmo de tomar posse?
