DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
14/11/1988|Zuenir Ventura|1|[Programa ao vivo, com participação dos telespectadores]|Programa ao vivo, com participação dos telespectadores]
14/11/1988|Zuenir Ventura|2|Augusto Nunes|Boa noite. Começa aqui mais um Roda Viva pela TV Cultura de São Paulo. Os telespectadores que desejarem poderão encaminhar perguntas ao nosso entrevistado. As perguntas serão anotadas pela Iara, pela Bernadete e pela Marta e, em seguida, encaminhadas ao nosso entrevistado desta noite, que é o jornalista e escritor Zuenir Ventura. Zuenir Ventura é seguramente um dos mais talentosos jornalistas brasileiros, ocupou praticamente todos os cargos importantes na direção de grandes jornais e é hoje o editor do caderno B Especial do Jornal do Brasil. Mas é também mais recentemente o autor de um do grande best-seller do ano, que é o livro 1968, o ano que não terminou. Para falar de sua carreira, do que é o jornalismo, sobre jornais, jornalistas e, sobretudo, para falar do seu livro sobre 1968, Zuenir Ventura estará sentado ao centro de uma roda viva formada pelos seguintes entrevistadores: Ana Maria Tahan, repórter da sucursal paulista do Jornal do Brasil; Terezinha Lopes, repórter da sucursal de São Paulo do jornal O Globo; Ricardo Soares, apresentador do Metrópolis, da TV Cultura, e repórter do jornal O Estado de S. Paulo; Ivan Ângelo, editor-chefe do Jornal da Tarde; Maria Cristina Duarte, jornalista responsável por novos projetos de revistas femininas da Editora Abril; Fernando Morais, jornalista e escritor; André Gustavo Stumpf, jornalista e professor da Universidade de Brasília, a UnB; Maurício Stycer, editor-assistente da Folha Ilustrada do jornal Folha de S.Paulo. Também estará conosco registrando algumas cenas do programa, alguns momentos do programa o cartunista Paulo Caruso. Também registramos e agradecemos a presença na platéia de convidados da editora Nova Fronteira. Zuenir Ventura, a primeira pergunta é um tanto óbvia, mas é inevitável. Por que 1968 não terminou?
14/11/1988|Zuenir Ventura|3|Zuenir Ventura|Olha, Augusto, é realmente inevitável ou seria inevitável se o livro, mais do que o livro, o tema não tivesse produzido tanta reação e tanto interesse, inclusive da garotada, da geração mais nova. Tenho impressão de que esse interesse prova que alguma coisa daquele ano ficou como um marco, ficou como marca na história, ficou como herança. Acho que um pouco, num momento com tanto desencanto, as pessoas estão procurando nesse livro e nesse ano alguma coisa para alguma motivação, enfim, tenho impressão de que é por isso. E, na verdade, 68...
14/11/1988|Zuenir Ventura|4|Augusto Nunes [interrompendo]|Falta ser explicado ainda 68, também.
14/11/1988|Zuenir Ventura|5|Zuenir Ventura|Acho que falta. Acho que 1968 é realmente um livro, uma obra aberta no sentido em que há “n” explicações. Acho que cada um de nós... quer dizer, quem viveu tem um 68 na memória e quem não viveu tem na imaginação. Então, acho que as pessoas estão buscando muito isso, se encontrando ou procurando a revelação daquele ano sobre o qual se falou muito, mas na verdade tinha ficado um pouco como um mito, como uma coisa mística.
14/11/1988|Zuenir Ventura|6|Augusto Nunes|Que idade têm os seus filhos Zuenir?
14/11/1988|Zuenir Ventura|7|Zuenir Ventura|Meus filhos têm 24 e 23 anos.
14/11/1988|Zuenir Ventura|8|Augusto Nunes|Que idéia eles faziam de 68? Quando você conversava com eles ao longo desses anos todos antes de escrever sobre, eles entendiam o que havia sido 1968, isso aí também justificou, te levou a escrever esse livro?
14/11/1988|Zuenir Ventura|9|Zuenir Ventura|Muito, muito. A geração, os colegas, os amigos dos meus filhos iam muito lá em casa e havia sempre uma idéia romantizada do ano. Era até uma coisa perigosa, porque, quando se falava do ano, eles contavam a parte dura do ano, as prisões e tal, mas ficava sempre uma mística romântica e um interesse muito grande e a geração... quer dizer, no caso os meus filhos, eles tinham de certa maneira acompanhado um pouco isso. Mas eu pensava muito em alunos meus, por exemplo, com 20, 22, 23 anos que não tinham a menor idéia de quem era Vladimir Palmeira , não tinham a menor idéia do que era passeata, do que foi Ibiúna , então isso realmente me motivou muito para escrever esse livro. Acho que a grande alegria que estou tendo é que a resposta dessa meninada está sendo realmente muito boa.
14/11/1988|Zuenir Ventura|10|André Gustavo Stumpf|Você, que conhece tão bem 68, podia fazer algum tipo de comparação entre 68 e 88? Eu me refiro especificamente a esse caso havido lá em Volta Redonda : muitos tiros, mortos, conflito, exército, trabalhadores. Isso faz lembrar 68 ou tem alguma coisa diferente?
14/11/1988|Zuenir Ventura|11|Augusto Nunes|Aliás, Zuenir, o Antônio Fernando, de Campinas, faz uma pergunta parecida: se você vê correlação dos acontecimentos 68 e os de agora. Então, essa preocupação está presente.
14/11/1988|Zuenir Ventura|12|André Gustavo Stumpf|Enfim, 68 terminou em 88 ou recomeçou?
14/11/1988|Zuenir Ventura|13|Zuenir Ventura|Na verdade, é uma pergunta que se faz e lá no jornal eles brincavam muito comigo: “Olha 88 recomeçando, continuando 68”. Acho que, na verdade, há um cheiro de pólvora no ar, todo mundo sente enfim. As analogias que se pode fazer sempre são muito perigosas. Acho que as condições são diferentes, acho que o Brasil hoje, infelizmente, não tem uma organização, nenhuma organização da sociedade, um canal como tinha em 68. Por que aqueles meninos se transformaram, de repente, em porta-vozes de toda aquela inquietação, de toda aquela angústia, de toda aquela insatisfação da classe média? Porque foi, num determinado momento, o único setor, o único segmento organizado. Hoje, acho que o grande perigo é isto: que você não tem nenhum partido, nem mesmo liderança a não ser lideranças mais messiânicas, mais carismáticas, e aí um negócio muito perigoso, mas você não tem um canal para ser expressão dessa inquietação. E tem um negócio hoje que não tem o fenômeno que tinha 68: é que 68 foi um ano de crença, foi um ano de fé, um ano em que as pessoas acreditavam. Acreditavam em história, acreditavam na política, acreditavam no amor, acreditavam... E hoje, acho que o grande problema é que há uma descrença generalizada, quer dizer, uma descrença com o presente...
14/11/1988|Zuenir Ventura|14|André Gustavo Stumpf|É uma situação potencialmente pior?
14/11/1988|Zuenir Ventura|15|Zuenir Ventura|Eu acho. Quer dizer, o que se teme? Qual é o grande temor hoje no mundo? É uma explosão, é uma comoção social sem objeto e sem canalização. Em 68, você tinha uma ditadura, o que era realmente muito ruim, você tinha um objetivo, tinha uma coisa muito definida que não tem hoje. Hoje é um pântano, quer dizer, você não sabe nem contra o quê.
14/11/1988|Zuenir Ventura|16|Maurício Stycer|Devia ser a última pergunta, mas a proposta da pergunta do André. Você tem saudades de 1968?
14/11/1988|Zuenir Ventura|17|Zuenir Ventura|Meus sentimentos em relação a 68 são muito confusos. Tive momentos de grandes alegrias e momentos de grande desgaste emocional, fiquei exaurido emocionalmente. Primeiro, porque esses encontros produzem sempre um pouco essa mescla de sentimentos. Tenho saudades de muita coisa de 68, realmente tenho. Procurei me controlar muito para não fazer um livro nostálgico, para não fazer um livro de “retro”, de ficar  que aquele tempo é que era bom e tal. Claro que havia coisas muito boas e coisas muito ruins, mas que há um negócio muito bonito no ano, que é isso de que falo com uma certa obsessão, que é aquela paixão daquele ano, realmente teve, foi um ano que empolgava e empolgava não só os estudantes.
14/11/1988|Zuenir Ventura|18|Maria Cristina Duarte|Zuenir, li o seu livro como uma meia-oitista. Acho que, de uma certa maneira, a gente se sente como eu, um pouco meia oitista, mas tive uma certa dificuldade. Vim lendo no vôo, fiquei muito comovida e, num certo momento, senti uma certa dificuldade. Fui testemunha ocular da história e senti que você descreve a Candelária , você descreve a Cinelândia  para quem nunca viu, parece um filme do  Bertolucci. Quando cheguei em São Paulo, os personagens são um pouco de chanchada. Sinto um Zé Dirceu, em comparação ao Vladimir Palmeira... parece que é um filme do Oscarito e Grande Otelo  e que parece uma Ibiúna um pouquinho chanchada e a Candelária uma coisa grandiosa. Então, não tem nada com Rio, São Paulo, Deus me livre e guarde...
14/11/1988|Zuenir Ventura|19|Zuenir Ventura|Deus me livre!
14/11/1988|Zuenir Ventura|20|Maria Cristina Duarte|...Deus me livre e guarde.
14/11/1988|Zuenir Ventura|21|Augusto Nunes|Só que Zuenir é mineiro...
14/11/1988|Zuenir Ventura|22|Maria Cristina Duarte|Pois é, eu sei. Mas senti... talvez São Paulo tenha que fazer parte desse livro, mas senti essa dificuldade, quer dizer, senti que faltou o Zé Arthur Gianotti , faltou a descrição do Crusp , faltou a descrição da Maria Antônia, faltou a queima dos livros da USP. Então, senti essa dificuldade. Você foi muito criticado por isso? Como é que está essa situação, de que eu, como meia-oitista, senti um pouquinho falta.
14/11/1988|Zuenir Ventura|23|Ana Maria Tahan|Só queria completar, Zuenir, exatamente em cima da pergunta dela: porque o seu livro tem uma visão tão carioca do processo?
14/11/1988|Zuenir Ventura|24|Zuenir Ventura|Primeiro, porque eu vivia lá em 68.
14/11/1988|Zuenir Ventura|25|Ana Maria Tahan|Mas foi proposital, foi proposital isso, não foi, como é que é?
14/11/1988|Zuenir Ventura|26|Zuenir Ventura|Vou tentar responder. Primeiro eu queria desfazer uma intriga que procura me colocar contra São Paulo, dizer que o livro trata muito bem o Rio e São Paulo, não, e tal. Acho que há várias razões, não quero ficar defendendo o livro. Acho que o livro está aí para ser realmente criticado e sempre antipatizei muito com aqueles diretores, autores de alguma coisa que correm para fazer defesas: acho que está aí para ser discutido mesmo. Em primeiro lugar, é o seguinte: 68 – isso eu procurei enfatizar no livro– é a minha história, é uma das histórias possíveis de 68. A primeira pessoa a me advertir sobre isso, talvez nem se lembre, foi Fernando Morais... um dia que ele ligou e disse assim: “Rapaz, olha onde você está entrando. Olha, invejo sua coragem!”. É um tema que você viveu, você tem esse filme na cabeça. Então, o que penso é o seguinte: é que é realmente um filme que eu fiz, em primeiro lugar.
14/11/1988|Zuenir Ventura|27|Maria Cristina Duarte|Por sinal, um filme muito agradável, muito bonito e muito emocionante.
